window,test_start,test_end,alpha,beta,adf_p,skipped,n_trades,y,x
0,2024-01-01 00:00:00+02:00,2024-04-01 00:00:00+03:00,1.2732694630120516,-0.28939460586142074,0.007109549190763656,,1.0,NZDCAD,CHFJPY
1,2024-04-01 00:00:00+03:00,2024-07-01 00:00:00+03:00,0.45709092099139054,-0.12824122499510432,0.010459478384014662,,1.0,NZDCAD,CHFJPY
2,2024-07-01 00:00:00+03:00,2024-10-01 00:00:00+03:00,-1.8829626003994986,0.3290401502136637,0.0033594938648569745,,2.0,NZDCAD,CHFJPY
3,2024-10-01 00:00:00+03:00,2025-01-01 00:00:00+02:00,-1.400926775407863,0.23571992172101924,0.035254351819522446,,2.0,NZDCAD,CHFJPY
4,2025-01-01 00:00:00+02:00,2025-04-01 00:00:00+03:00,-0.8253607775802327,0.1238032229329716,0.03417157977258247,,1.0,NZDCAD,CHFJPY
5,2025-04-01 00:00:00+03:00,2025-07-01 00:00:00+03:00,-1.249629623437259,0.20560317511051496,0.011721167262359897,,0.0,NZDCAD,CHFJPY
6,2025-07-01 00:00:00+03:00,2025-10-01 00:00:00+03:00,-0.3939868728154226,0.03892606335581915,0.0032293562816932703,,4.0,NZDCAD,CHFJPY
7,2025-10-01 00:00:00+03:00,2026-01-01 00:00:00+02:00,-0.037088285695494744,-0.03128433114309541,0.00017164273353238992,,1.0,NZDCAD,CHFJPY
8,2026-01-01 00:00:00+02:00,2026-04-01 00:00:00+03:00,0.5513668781814847,-0.14603807309176978,0.0005066891625686536,,1.0,NZDCAD,CHFJPY
0,2024-01-01 00:00:00+02:00,2024-04-01 00:00:00+03:00,-0.27643829549983506,0.23256762887028434,0.03514642021141302,,1.0,NZDCAD,EURCAD
1,2024-04-01 00:00:00+03:00,2024-07-01 00:00:00+03:00,-0.4544657899618066,0.6797905187459693,0.0064143058132418475,,1.0,NZDCAD,EURCAD
2,2024-07-01 00:00:00+03:00,2024-10-01 00:00:00+03:00,-0.4918044805281114,0.7720065445743474,0.020907573813732764,,2.0,NZDCAD,EURCAD
3,2024-10-01 00:00:00+03:00,2025-01-01 00:00:00+02:00,-0.40101865491284533,0.5428822769954741,0.026635488382832546,,1.0,NZDCAD,EURCAD
4,2025-01-01 00:00:00+02:00,2025-04-01 00:00:00+03:00,-0.3376665656059904,0.380257816072313,0.05999624428684798,,1.0,NZDCAD,EURCAD
5,2025-04-01 00:00:00+03:00,2025-07-01 00:00:00+03:00,-0.23699162750555328,0.11371105898380078,0.028837081697212556,,0.0,NZDCAD,EURCAD
6,2025-07-01 00:00:00+03:00,2025-10-01 00:00:00+03:00,-0.17988288640222752,-0.0326319838789137,0.0031943709158125653,,3.0,NZDCAD,EURCAD
7,2025-10-01 00:00:00+03:00,2026-01-01 00:00:00+02:00,-0.18301399458318354,-0.03620542741105883,0.00013872793006793744,,1.0,NZDCAD,EURCAD
