exit_time,net_$,cum_net_$,equity_$,drawdown_%
2025-01-23 18:10:00,-1.06,-1.06,998.94,0.0
2025-01-23 22:30:00,2.67,1.61,1001.61,0.0
2025-01-24 17:05:00,1.96,3.57,1003.57,0.0
2025-01-27 00:00:00,-2.68,0.89,1000.89,-0.27
2025-01-29 17:30:00,-2.02,-1.13,998.87,-0.47
2025-01-29 19:00:00,1.42,0.29,1000.29,-0.33
2025-01-30 16:35:00,0.78,1.07,1001.07,-0.25
2025-01-30 21:45:00,-2.14,-1.07,998.93,-0.46
2025-01-31 15:30:00,-0.99,-2.06,997.94,-0.56
2025-02-03 23:35:00,7.69,5.63,1005.63,0.0
2025-02-04 19:55:00,-1.17,4.46,1004.46,-0.12
2025-02-06 23:05:00,-0.93,3.53,1003.53,-0.21
2025-02-11 02:10:00,0.95,4.48,1004.48,-0.11
2025-02-13 21:05:00,-1.65,2.83,1002.83,-0.28
2025-02-19 17:30:00,2.67,5.5,1005.5,-0.01
2025-02-25 17:35:00,0.69,6.19,1006.19,0.0
2025-02-25 21:00:00,2.69,8.88,1008.88,0.0
2025-02-26 17:55:00,1.81,10.69,1010.69,0.0
2025-02-27 15:20:00,-1.0,9.69,1009.69,-0.1
2025-02-27 15:45:00,-0.99,8.7,1008.7,-0.2
2025-02-27 22:40:00,3.45,12.15,1012.15,0.0
2025-03-03 19:25:00,2.51,14.66,1014.66,0.0
2025-03-10 18:40:00,-0.99,13.67,1013.67,-0.1
2025-03-14 18:00:00,-1.77,11.9,1011.9,-0.27
2025-03-16 23:00:00,-1.59,10.31,1010.31,-0.43
2025-03-17 15:40:00,-1.64,8.67,1008.67,-0.59
2025-03-17 16:05:00,0.73,9.4,1009.4,-0.52
2025-03-17 20:55:00,2.71,12.11,1012.11,-0.25
2025-03-21 16:15:00,2.12,14.23,1014.23,-0.04
2025-03-31 00:25:00,4.07,18.3,1018.3,0.0
2025-04-01 23:55:00,3.32,21.62,1021.62,0.0
2025-04-04 01:00:00,3.86,25.48,1025.48,0.0
2025-04-07 17:10:00,-7.07,18.41,1018.41,-0.69
2025-04-08 19:15:00,8.47,26.88,1026.88,0.0
2025-04-09 18:40:00,5.43,32.31,1032.31,0.0
2025-04-11 16:45:00,-3.54,28.77,1028.77,-0.34
2025-04-11 20:35:00,-6.38,22.39,1022.39,-0.96
2025-04-25 19:05:00,-1.24,21.15,1021.15,-1.08
2025-05-01 00:00:00,1.67,22.82,1022.82,-0.92
2025-05-01 16:35:00,2.05,24.87,1024.87,-0.72
2025-05-01 18:25:00,-1.35,23.52,1023.52,-0.85
2025-05-01 21:10:00,-1.39,22.13,1022.13,-0.99
2025-05-05 01:55:00,3.21,25.34,1025.34,-0.68
2025-05-19 18:55:00,2.25,27.59,1027.59,-0.46
2025-05-26 21:45:00,2.02,29.61,1029.61,-0.26
2025-05-27 16:55:00,1.02,30.63,1030.63,-0.16
2025-05-27 21:45:00,-2.96,27.67,1027.67,-0.45
2025-06-06 15:30:00,-1.89,25.78,1025.78,-0.63
2025-06-06 20:10:00,-2.32,23.46,1023.46,-0.86
2025-06-09 15:45:00,-0.91,22.55,1022.55,-0.95
2025-06-09 16:05:00,-0.81,21.74,1021.74,-1.02
2025-06-09 16:40:00,0.92,22.66,1022.66,-0.93
2025-06-12 00:20:00,3.33,25.99,1025.99,-0.61
2025-06-13 00:10:00,0.3,26.29,1026.29,-0.58
2025-06-13 19:50:00,-1.11,25.18,1025.18,-0.69
2025-06-17 17:25:00,1.81,26.99,1026.99,-0.52
2025-06-18 16:05:00,0.84,27.83,1027.83,-0.43
2025-06-18 17:00:00,3.16,30.99,1030.99,-0.13
2025-06-19 01:05:00,1.61,32.6,1032.6,0.0
2025-06-25 00:00:00,-2.26,30.34,1030.34,-0.22
2025-06-25 21:40:00,2.36,32.7,1032.7,0.0
2025-06-26 16:05:00,-1.02,31.68,1031.68,-0.1
2025-06-30 16:30:00,1.37,33.05,1033.05,0.0
2025-07-01 00:35:00,1.11,34.16,1034.16,0.0
2025-07-07 18:30:00,-0.75,33.41,1033.41,-0.07
2025-07-07 18:45:00,0.26,33.67,1033.67,-0.05
