symbol,quarter,trades,wins,WR_%,exp_R,PF,pass
AUDCAD,2023Q1,43,24,55.81,0.558,2.43,True
AUDCAD,2023Q2,30,17,56.67,0.507,2.43,True
AUDCAD,2023Q3,30,20,66.67,0.82,3.46,True
AUDCAD,2023Q4,32,14,43.75,0.264,1.51,False
AUDCAD,2024Q1,26,11,42.31,0.311,1.73,False
AUDCAD,2024Q2,41,20,48.78,0.186,1.36,True
AUDCAD,2024Q3,40,20,50.0,0.402,1.9,True
AUDCAD,2024Q4,23,10,43.48,0.195,1.39,False
AUDCAD,2025Q1,34,17,50.0,0.479,2.0,True
AUDCAD,2025Q2,36,20,55.56,0.473,2.06,True
AUDCAD,2025Q3,43,20,46.51,0.166,1.34,False
AUDCAD,2025Q4,37,15,40.54,0.154,1.27,False
AUDCAD,2026Q1,16,7,43.75,0.142,1.25,False
