symbol,mode,confirms,memory,min_r,atr_min,session,trades,WR_%,exp_R,PF,q_pass_%,score
AUDCAD,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-13,527,46.87,0.406,1.59,46.2,21.95
AUDCAD,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-13,453,46.8,0.404,1.64,46.2,21.88
AUDCAD,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-13,511,46.97,0.409,1.59,38.5,18.2
AUDCAD,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-13,440,46.59,0.398,1.62,38.5,17.82
AUDCAD,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-12,423,46.57,0.397,1.62,38.5,17.8
AUDCAD,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-12,481,46.57,0.397,1.56,38.5,17.8
AUDCAD,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-12,492,46.54,0.396,1.57,38.5,17.78
AUDCAD,RSI-gated,f_candle|f_ema,15,-,0.0,NY07-16,796,45.35,0.361,1.53,38.5,16.58
AUDCAD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-12,1488,44.76,0.343,1.45,38.5,15.99
AUDCAD,OR,f_candle|f_ema,10,1,0.9,NY08-12,1389,44.42,0.333,1.41,38.5,15.65
AUDCAD,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-12,415,46.27,0.388,1.59,30.8,13.65
AUDCAD,RSI-gated,f_candle|f_ema,15,-,0.9,NY07-16,647,44.98,0.349,1.48,30.8,12.36
AUDCAD,RSI-gated,f_candle|f_ema,10,-,0.0,NY07-16,699,44.49,0.335,1.52,30.8,11.88
AUDCAD,OR,f_candle|f_ema,10,1,0.9,NY08-13,1479,44.49,0.335,1.41,30.8,11.87
AUDCAD,RSI-gated,f_candle|f_ema,10,-,0.9,NY07-16,567,43.74,0.312,1.45,23.1,7.28
AUDCAD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-13,1584,44.63,0.339,1.44,15.4,4.33
AUDCAD,OR,f_candle|f_ema,10,1,0.9,NY07-16,1817,42.49,0.275,1.32,15.4,2.18
AUDCAD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY07-16,1964,42.46,0.274,1.33,15.4,2.16
