symbol,overlay,trades,WR_%,exp_R,PF,q_pass_%,score
AUDCAD,{'require_h1_rsi_align': True},156,48.72,0.462,1.65,40.0,20.72
AUDCAD,{'add_vol_confirm': True},218,45.87,0.376,1.51,40.0,17.87
AUDCAD,{},185,44.86,0.346,1.44,40.0,16.86
AUDCAD,{'require_macd_align': True},140,47.14,0.414,1.41,20.0,9.14
AUDCAD,"{'adx_min': 18.0, 'add_vol_confirm': True}",205,46.34,0.39,1.51,20.0,8.34
AUDCAD,{'adx_min': 18.0},170,44.71,0.341,1.4,20.0,6.71
AUDCAD,"{'adx_min': 18.0, 'require_h1_rsi_align': True}",141,46.81,0.404,1.48,0.0,-1.19
AUDCAD,"{'adx_min': 18.0, 'require_macd_align': True}",124,45.16,0.355,1.25,0.0,-2.84
AUDCAD,{'adx_min': 22.0},134,43.28,0.299,1.35,0.0,-4.72
AUDCAD,"{'adx_min': 20.0, 'require_h1_rsi_align': True, 'require_macd_align': True}",93,50.54,0.516,1.5,0.0,-7.46
AUDCAD,"{'require_h1_rsi_align': True, 'require_macd_align': True}",119,50.42,0.513,1.64,0.0,-7.58
