entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 17:00:00,2023-01-04 01:00:00,S,0.91884,0.91938,0.92162,0.91328,-0.194,time,-0.78,0.29,-1.07,-1.07
2023-01-05 14:40:00,2023-01-05 15:15:00,S,0.92254,0.92114,0.92324,0.92114,2.0,tp,2.03,0.29,1.74,0.67
2023-01-05 21:35:00,2023-01-06 01:00:00,S,0.91729,0.91548,0.91819,0.91548,2.0,tp,2.61,0.29,2.32,2.99
2023-01-06 17:05:00,2023-01-09 00:00:00,L,0.91818,0.92608,0.91423,0.92608,2.0,tp,11.43,0.29,11.14,14.13
2023-01-09 14:30:00,2023-01-09 16:35:00,L,0.92526,0.92842,0.92368,0.92842,2.0,tp,4.58,0.29,4.29,18.42
2023-01-09 19:35:00,2023-01-09 20:35:00,L,0.92741,0.92669,0.92669,0.92884,-1.0,sl,-1.04,0.29,-1.33,17.09
2023-01-09 21:25:00,2023-01-09 22:05:00,L,0.92663,0.92603,0.92603,0.92784,-1.0,sl,-0.87,0.29,-1.16,15.93
2023-01-09 22:20:00,2023-01-09 22:30:00,L,0.92591,0.92538,0.92538,0.92697,-1.0,sl,-0.77,0.29,-1.06,14.87
2023-01-12 15:05:00,2023-01-12 15:25:00,L,0.92672,0.92558,0.92558,0.92899,-1.0,sl,-1.64,0.29,-1.93,12.94
2023-01-12 15:35:00,2023-01-12 23:35:00,L,0.92944,0.93093,0.92347,0.94138,0.25,time,2.16,0.29,1.87,14.81
2023-01-13 14:45:00,2023-01-13 15:00:00,L,0.93022,0.92917,0.92917,0.93232,-1.0,sl,-1.52,0.29,-1.81,13.0
2023-01-13 15:25:00,2023-01-13 16:45:00,L,0.92987,0.93204,0.92878,0.93204,2.0,tp,3.15,0.29,2.86,15.86
2023-01-17 14:05:00,2023-01-17 17:30:00,L,0.93178,0.9343,0.93052,0.9343,2.0,tp,3.65,0.29,3.36,19.22
2023-01-18 18:30:00,2023-01-18 18:40:00,L,0.93927,0.93823,0.93823,0.94136,-1.0,sl,-1.51,0.29,-1.8,17.42
2023-01-18 19:20:00,2023-01-18 19:25:00,L,0.93788,0.93724,0.93724,0.93915,-1.0,sl,-0.92,0.29,-1.21,16.21
2023-01-18 19:40:00,2023-01-18 20:00:00,L,0.93728,0.93827,0.93678,0.93827,2.0,tp,1.44,0.29,1.15,17.36
2023-01-18 21:10:00,2023-01-18 21:55:00,L,0.93677,0.93607,0.93607,0.93817,-1.0,sl,-1.01,0.29,-1.3,16.06
2023-01-20 14:15:00,2023-01-20 14:45:00,L,0.93221,0.93315,0.93174,0.93315,2.0,tp,1.36,0.29,1.07,17.13
2023-01-20 14:50:00,2023-01-20 15:50:00,L,0.93317,0.93174,0.93174,0.93604,-1.0,sl,-2.07,0.29,-2.36,14.77
2023-01-20 16:15:00,2023-01-23 00:00:00,L,0.93265,0.93132,0.93132,0.93532,-1.0,sl,-1.93,0.29,-2.22,12.55
2023-01-23 14:45:00,2023-01-23 15:35:00,L,0.93542,0.93408,0.93408,0.9381,-1.0,sl,-1.94,0.29,-2.23,10.32
2023-01-23 16:15:00,2023-01-23 17:30:00,L,0.93415,0.93591,0.93327,0.93591,2.0,tp,2.55,0.29,2.26,12.58
2023-01-24 15:10:00,2023-01-24 15:25:00,L,0.93757,0.93975,0.93648,0.93975,2.0,tp,3.16,0.29,2.87,15.45
2023-01-25 14:50:00,2023-01-25 15:30:00,L,0.94628,0.94562,0.94562,0.9476,-1.0,sl,-0.95,0.29,-1.24,14.21
2023-01-25 16:15:00,2023-01-25 17:00:00,L,0.9451,0.94709,0.94411,0.94709,2.0,tp,2.87,0.29,2.58,16.79
2023-01-25 17:05:00,2023-01-26 01:05:00,L,0.94938,0.95117,0.944,0.96014,0.333,time,2.59,0.29,2.3,19.09
2023-01-26 14:50:00,2023-01-26 15:20:00,L,0.95241,0.95105,0.95105,0.95513,-1.0,sl,-1.97,0.29,-2.26,16.83
2023-02-01 17:30:00,2023-02-01 21:45:00,L,0.94216,0.94753,0.93948,0.94753,2.0,tp,7.76,0.29,7.47,24.3
