entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2026-02-20 15:05:00,2026-02-20 16:35:00,L,0.96465,0.966,0.96398,0.966,2.0,tp,1.95,0.29,1.66,1.66
2026-02-24 17:05:00,2026-02-24 17:30:00,L,0.96525,0.96746,0.96415,0.96746,2.0,tp,3.19,0.29,2.9,4.56
2026-03-13 15:35:00,2026-03-13 22:00:00,S,0.96445,0.95933,0.96701,0.95933,2.0,tp,7.41,0.29,7.12,11.68
2026-03-23 17:20:00,2026-03-23 17:55:00,S,0.96439,0.95931,0.96693,0.95931,2.0,tp,7.34,0.29,7.05,18.73
2026-03-24 19:05:00,2026-03-24 21:05:00,S,0.95754,0.9599,0.9599,0.95282,-1.0,sl,-3.42,0.29,-3.71,15.02
2026-03-27 18:10:00,2026-03-30 00:20:00,S,0.95545,0.95218,0.95708,0.95218,2.0,tp,4.73,0.29,4.44,19.46
2026-03-30 16:05:00,2026-03-30 16:30:00,S,0.9555,0.95482,0.95584,0.95482,2.0,tp,0.99,0.29,0.7,20.16
2026-03-30 16:35:00,2026-03-31 00:35:00,S,0.95395,0.95314,0.95584,0.95016,0.428,time,1.17,0.29,0.88,21.04
2026-04-07 15:05:00,2026-04-07 17:00:00,L,0.96522,0.96403,0.96403,0.9676,-1.0,sl,-1.72,0.29,-2.01,19.03
2026-04-09 16:20:00,2026-04-09 17:55:00,L,0.97388,0.97549,0.97307,0.97549,2.0,tp,2.33,0.29,2.04,21.07
2026-04-10 19:50:00,2026-04-10 21:50:00,L,0.9779,0.9789,0.9774,0.9789,2.0,tp,1.44,0.29,1.15,22.22
2026-04-13 16:05:00,2026-04-13 20:20:00,L,0.97496,0.97786,0.97351,0.97786,2.0,tp,4.19,0.29,3.9,26.12
2026-04-28 15:05:00,2026-04-28 15:20:00,L,0.97804,0.97882,0.97765,0.97882,2.0,tp,1.14,0.29,0.85,26.97
2026-04-28 15:30:00,2026-04-28 18:00:00,L,0.97887,0.98134,0.97764,0.98134,2.0,tp,3.57,0.29,3.28,30.25
2026-04-30 19:50:00,2026-05-01 03:50:00,L,0.97758,0.97725,0.97668,0.97938,-0.367,time,-0.48,0.29,-0.77,29.48
2026-05-06 15:45:00,2026-05-06 23:45:00,L,0.98572,0.98638,0.98391,0.98934,0.365,time,0.96,0.29,0.67,30.15
2026-05-07 15:05:00,2026-05-07 16:40:00,L,0.98882,0.98799,0.98799,0.99047,-1.0,sl,-1.2,0.29,-1.49,28.66
2026-05-11 20:00:00,2026-05-11 21:05:00,L,0.9906,0.9912,0.9903,0.9912,2.0,tp,0.86,0.29,0.57,29.23
2026-05-12 15:40:00,2026-05-12 23:40:00,L,0.99027,0.99154,0.98928,0.99225,1.281,time,1.84,0.29,1.55,30.78
2026-05-13 16:15:00,2026-05-13 17:50:00,L,0.99234,0.99417,0.99142,0.99417,2.0,tp,2.65,0.29,2.36,33.14
2026-05-25 19:40:00,2026-05-26 00:00:00,L,0.98972,0.98931,0.98931,0.99054,-1.0,sl,-0.59,0.29,-0.88,32.26
2026-05-26 19:05:00,2026-05-26 20:30:00,L,0.98863,0.98943,0.98823,0.98943,2.0,tp,1.15,0.29,0.86,33.12
