entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 17:00:00,2023-01-04 01:00:00,S,0.91884,0.91938,0.92162,0.91328,-0.194,time,-0.78,0.29,-1.07,-1.07
2023-01-05 15:05:00,2023-01-05 15:25:00,S,0.92219,0.92008,0.92324,0.92008,2.0,tp,3.05,0.29,2.76,1.69
2023-01-06 17:05:00,2023-01-09 00:00:00,L,0.91818,0.92608,0.91423,0.92608,2.0,tp,11.43,0.29,11.14,12.83
2023-01-09 15:05:00,2023-01-09 16:45:00,L,0.92551,0.92916,0.92368,0.92916,2.0,tp,5.28,0.29,4.99,17.82
2023-01-09 19:35:00,2023-01-09 20:35:00,L,0.92741,0.92669,0.92669,0.92884,-1.0,sl,-1.04,0.29,-1.33,16.49
2023-01-12 15:05:00,2023-01-12 15:25:00,L,0.92672,0.92558,0.92558,0.92899,-1.0,sl,-1.64,0.29,-1.93,14.56
2023-01-12 15:35:00,2023-01-12 23:35:00,L,0.92944,0.93093,0.92347,0.94138,0.25,time,2.16,0.29,1.87,16.43
2023-01-13 16:10:00,2023-01-13 19:25:00,L,0.93037,0.9333,0.92891,0.9333,2.0,tp,4.24,0.29,3.95,20.38
2023-01-18 18:30:00,2023-01-18 18:40:00,L,0.93927,0.93823,0.93823,0.94136,-1.0,sl,-1.51,0.29,-1.8,18.58
2023-01-18 19:20:00,2023-01-18 19:25:00,L,0.93788,0.93724,0.93724,0.93915,-1.0,sl,-0.92,0.29,-1.21,17.37
2023-01-18 19:40:00,2023-01-18 20:00:00,L,0.93728,0.93827,0.93678,0.93827,2.0,tp,1.44,0.29,1.15,18.52
2023-01-20 16:15:00,2023-01-23 00:00:00,L,0.93265,0.93132,0.93132,0.93532,-1.0,sl,-1.93,0.29,-2.22,16.3
2023-01-23 15:10:00,2023-01-23 15:35:00,L,0.93528,0.93408,0.93408,0.93767,-1.0,sl,-1.73,0.29,-2.02,14.28
