exit_time,net_$,cum_net_$,equity_$,drawdown_%
2023-01-04 21:00:00,-2.87,-2.87,997.13,0.0
2023-01-09 15:25:00,-2.55,-5.42,994.58,-0.26
2023-01-09 16:25:00,-2.26,-7.68,992.32,-0.48
2023-01-09 22:30:00,-2.79,-10.47,989.53,-0.76
2023-01-13 15:35:00,-1.98,-12.45,987.55,-0.96
2023-01-13 18:15:00,-2.53,-14.98,985.02,-1.21
2023-01-19 18:50:00,4.55,-10.43,989.57,-0.76
2023-01-23 17:40:00,2.64,-7.79,992.21,-0.49
2023-01-25 16:50:00,-1.71,-9.5,990.5,-0.66
2023-01-25 17:40:00,1.24,-8.26,991.74,-0.54
2023-01-26 01:55:00,1.4,-6.86,993.14,-0.4
2023-02-20 01:00:00,0.56,-6.3,993.7,-0.34
2023-02-21 17:30:00,-2.66,-8.96,991.04,-0.61
2023-02-22 02:10:00,1.35,-7.61,992.39,-0.48
2023-02-22 19:50:00,-2.83,-10.44,989.56,-0.76
2023-03-02 18:35:00,3.24,-7.2,992.8,-0.43
2023-03-03 02:40:00,-4.18,-11.38,988.62,-0.85
2023-03-08 18:30:00,3.52,-7.86,992.14,-0.5
2023-03-09 15:25:00,-1.07,-8.93,991.07,-0.61
2023-03-09 15:30:00,-2.41,-11.34,988.66,-0.85
2023-03-09 17:10:00,2.15,-9.19,990.81,-0.63
2023-03-13 18:00:00,3.83,-5.36,994.64,-0.25
2023-03-14 02:05:00,5.33,-0.03,999.97,0.0
2023-03-14 17:55:00,4.73,4.7,1004.7,0.0
2023-03-29 16:40:00,-2.1,2.6,1002.6,-0.21
2023-04-04 15:50:00,3.07,5.67,1005.67,0.0
2023-04-05 16:45:00,-3.05,2.62,1002.62,-0.3
2023-04-10 01:15:00,1.48,4.1,1004.1,-0.16
2023-04-12 16:40:00,4.23,8.33,1008.33,0.0
2023-04-13 16:50:00,-3.3,5.03,1005.03,-0.33
2023-04-13 17:05:00,-3.53,1.5,1001.5,-0.68
2023-04-14 17:30:00,4.36,5.86,1005.86,-0.24
2023-04-17 15:05:00,-1.47,4.39,1004.39,-0.39
2023-04-17 16:20:00,-1.93,2.46,1002.46,-0.58
2023-04-17 17:30:00,-2.45,0.01,1000.01,-0.83
2023-04-25 01:55:00,-0.71,-0.7,999.3,-0.9
2023-04-25 19:15:00,1.57,0.87,1000.87,-0.74
2023-05-03 21:00:00,-2.8,-1.93,998.07,-1.02
2023-05-04 16:40:00,2.58,0.65,1000.65,-0.76
2023-05-04 20:00:00,-4.74,-4.09,995.91,-1.23
2023-05-17 01:10:00,1.73,-2.36,997.64,-1.06
2023-05-17 17:50:00,4.49,2.13,1002.13,-0.61
2023-05-22 16:35:00,-1.26,0.87,1000.87,-0.74
2023-05-22 17:25:00,-3.02,-2.15,997.85,-1.04
2023-05-22 20:15:00,1.1,-1.05,998.95,-0.93
2023-05-24 17:50:00,4.01,2.96,1002.96,-0.53
2023-05-26 17:50:00,2.22,5.18,1005.18,-0.31
2023-06-07 16:55:00,2.17,7.35,1007.35,-0.1
2023-06-07 17:35:00,-2.97,4.38,1004.38,-0.39
2023-06-07 20:10:00,-2.71,1.67,1001.67,-0.66
2023-06-16 00:25:00,0.31,1.98,1001.98,-0.63
2023-06-20 00:20:00,-0.61,1.37,1001.37,-0.69
2023-06-26 19:15:00,-3.57,-2.2,997.8,-1.04
2023-06-27 17:50:00,-3.69,-5.89,994.11,-1.41
2023-06-28 02:10:00,3.49,-2.4,997.6,-1.06
2023-06-28 16:30:00,3.57,1.17,1001.17,-0.71
2023-07-10 15:25:00,0.64,1.81,1001.81,-0.65
2023-07-10 16:50:00,-2.39,-0.58,999.42,-0.88
2023-07-11 01:10:00,-0.56,-1.14,998.86,-0.94
2023-07-13 00:00:00,2.85,1.71,1001.71,-0.66
2023-07-17 00:00:00,4.18,5.89,1005.89,-0.24
2023-07-17 16:00:00,0.8,6.69,1006.69,-0.16
2023-07-19 02:30:00,0.28,6.97,1006.97,-0.13
2023-07-19 17:55:00,3.13,10.1,1010.1,0.0
2023-07-20 02:00:00,-0.87,9.23,1009.23,-0.09
2023-07-26 20:50:00,1.2,10.43,1010.43,0.0
2023-08-02 17:10:00,2.34,12.77,1012.77,0.0
2023-08-08 15:55:00,-1.06,11.71,1011.71,-0.1
2023-08-08 16:35:00,0.95,12.66,1012.66,-0.01
2023-08-08 20:20:00,-3.17,9.49,1009.49,-0.32
2023-08-10 17:40:00,2.77,12.26,1012.26,-0.05
2023-08-14 16:30:00,0.93,13.19,1013.19,0.0
2023-08-15 00:35:00,0.23,13.42,1013.42,0.0
2023-08-15 15:25:00,-1.75,11.67,1011.67,-0.17
2023-08-15 15:30:00,-1.41,10.26,1010.26,-0.31
2023-08-15 15:45:00,-1.91,8.35,1008.35,-0.5
2023-08-15 16:05:00,-2.52,5.83,1005.83,-0.75
2023-08-15 16:45:00,1.42,7.25,1007.25,-0.61
2023-08-15 17:55:00,-3.87,3.38,1003.38,-0.99
2023-08-15 19:25:00,1.39,4.77,1004.77,-0.85
2023-08-16 15:35:00,0.94,5.71,1005.71,-0.76
2023-08-16 18:40:00,3.54,9.25,1009.25,-0.41
2023-08-17 15:35:00,-1.99,7.26,1007.26,-0.61
2023-08-21 16:30:00,-1.73,5.53,1005.53,-0.78
2023-08-22 01:05:00,0.33,5.86,1005.86,-0.75
2023-08-29 22:05:00,-3.71,2.15,1002.15,-1.11
2023-09-05 18:10:00,-2.15,0.0,1000.0,-1.32
2023-09-05 19:05:00,-1.77,-1.77,998.23,-1.5
2023-09-15 16:45:00,-1.8,-3.57,996.43,-1.68
2023-09-15 17:00:00,0.68,-2.89,997.11,-1.61
2023-09-15 18:05:00,-2.88,-5.77,994.23,-1.89
2023-09-18 17:35:00,1.75,-4.02,995.98,-1.72
2023-09-19 01:50:00,0.54,-3.48,996.52,-1.67
2023-09-22 00:10:00,1.3,-2.18,997.82,-1.54
2023-09-29 18:30:00,-2.49,-4.67,995.33,-1.79
2023-09-29 20:00:00,-2.36,-7.03,992.97,-2.02
2023-10-20 17:40:00,1.24,-5.79,994.21,-1.9
2023-10-23 01:15:00,-2.68,-8.47,991.53,-2.16
2023-11-02 16:05:00,-1.5,-9.97,990.03,-2.31
2023-11-02 17:25:00,-2.29,-12.26,987.74,-2.53
2023-11-02 18:40:00,2.54,-9.72,990.28,-2.28
2023-11-09 15:35:00,-1.14,-10.86,989.14,-2.4
2023-11-09 16:50:00,-1.7,-12.56,987.44,-2.56
2023-11-09 18:00:00,1.28,-11.28,988.72,-2.44
2023-11-09 21:05:00,4.89,-6.39,993.61,-1.95
2023-11-10 16:05:00,0.59,-5.8,994.2,-1.9
2023-11-10 21:05:00,-2.66,-8.46,991.54,-2.16
2023-11-15 17:35:00,1.89,-6.57,993.43,-1.97
2023-11-16 01:40:00,-0.84,-7.41,992.59,-2.06
2023-11-16 17:10:00,4.02,-3.39,996.61,-1.66
2023-11-17 18:00:00,-1.39,-4.78,995.22,-1.8
2023-11-20 23:00:00,4.55,-0.23,999.77,-1.35
2023-11-21 17:25:00,-2.65,-2.88,997.12,-1.61
2023-11-21 20:20:00,-2.8,-5.68,994.32,-1.88
2023-11-22 16:05:00,-1.97,-7.65,992.35,-2.08
2023-11-24 00:45:00,-2.99,-10.64,989.36,-2.37
2023-11-24 17:05:00,1.15,-9.49,990.51,-2.26
2023-11-28 01:10:00,0.61,-8.88,991.12,-2.2
2023-11-28 17:35:00,1.73,-7.15,992.85,-2.03
2023-12-04 16:40:00,-2.28,-9.43,990.57,-2.25
2023-12-06 01:20:00,-0.1,-9.53,990.47,-2.26
