symbol,quarter,trades,wins,WR_%,exp_R,PF,pass
AUDCHF,2023Q1,25,12,48.0,0.215,1.42,False
AUDCHF,2023Q2,31,15,48.39,0.335,1.74,True
AUDCHF,2023Q3,40,21,52.5,0.429,2.01,True
AUDCHF,2023Q4,40,17,42.5,0.178,1.32,False
AUDCHF,2024Q1,27,11,40.74,0.183,1.36,False
AUDCHF,2024Q2,33,16,48.48,0.207,1.44,True
AUDCHF,2024Q3,41,23,56.1,0.603,2.42,True
AUDCHF,2024Q4,35,15,42.86,0.276,1.52,False
AUDCHF,2025Q1,24,13,54.17,0.458,2.03,False
AUDCHF,2025Q2,36,14,38.89,0.073,1.13,False
AUDCHF,2025Q3,33,19,57.58,0.395,1.93,True
AUDCHF,2025Q4,32,19,59.38,0.66,2.67,True
AUDCHF,2026Q1,15,4,26.67,-0.101,0.84,False
