symbol,mode,confirms,memory,min_r,atr_min,session,trades,WR_%,exp_R,PF,q_pass_%,score
AUDCHF,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-12,412,48.3,0.449,1.67,46.2,23.38
AUDCHF,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-12,401,47.13,0.414,1.58,38.5,18.36
AUDCHF,OR,f_candle|f_ema,10,1,0.9,NY08-12,1436,46.8,0.404,1.58,38.5,18.03
AUDCHF,OR,f_candle|f_ema,10,1,0.9,NY08-13,1534,46.48,0.394,1.56,38.5,17.71
AUDCHF,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-12,1531,45.98,0.379,1.53,38.5,17.21
AUDCHF,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-13,468,46.58,0.397,1.56,30.8,13.97
AUDCHF,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-13,444,46.17,0.385,1.53,30.8,13.56
AUDCHF,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-13,1635,45.81,0.374,1.52,30.8,13.2
AUDCHF,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-12,352,48.58,0.457,1.66,23.1,12.12
AUDCHF,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-12,341,47.51,0.425,1.58,23.1,11.05
AUDCHF,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-13,401,46.63,0.399,1.55,23.1,10.17
AUDCHF,RSI-gated,f_candle|f_ema,15,-,0.9,NY07-16,583,45.45,0.364,1.5,23.1,8.99
AUDCHF,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-13,379,45.91,0.377,1.49,15.4,5.6
AUDCHF,OR,f_candle|f_ema,10,1,0.9,NY07-16,1886,45.39,0.362,1.5,15.4,5.08
AUDCHF,RSI-gated,f_candle|f_ema,15,-,0.0,NY07-16,718,44.99,0.35,1.49,15.4,4.68
AUDCHF,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY07-16,2019,44.97,0.349,1.48,15.4,4.67
AUDCHF,RSI-gated,f_candle|f_ema,10,-,0.9,NY07-16,506,43.87,0.316,1.4,15.4,3.57
AUDCHF,RSI-gated,f_candle|f_ema,10,-,0.0,NY07-16,631,43.74,0.312,1.42,15.4,3.43
