symbol,overlay,trades,WR_%,exp_R,PF,q_pass_%,score
AUDCHF,{},412,48.3,0.449,1.67,46.2,23.38
AUDCHF,"{'adx_min': 18.0, 'add_vol_confirm': True}",438,46.8,0.404,1.58,38.5,18.03
AUDCHF,{'add_vol_confirm': True},491,46.64,0.399,1.58,38.5,17.87
AUDCHF,{'adx_min': 18.0},368,48.37,0.451,1.66,30.8,15.75
AUDCHF,"{'adx_min': 18.0, 'require_h1_rsi_align': True}",269,53.53,0.606,2.08,15.4,13.22
AUDCHF,{'require_h1_rsi_align': True},308,52.6,0.578,2.0,15.4,12.29
AUDCHF,"{'adx_min': 20.0, 'require_h1_rsi_align': True, 'require_macd_align': True}",156,52.56,0.577,1.9,0.0,4.56
AUDCHF,"{'require_h1_rsi_align': True, 'require_macd_align': True}",221,51.58,0.548,1.8,0.0,3.58
AUDCHF,{'require_macd_align': True},283,47.7,0.431,1.52,0.0,-0.3
AUDCHF,{'adx_min': 22.0},269,47.58,0.428,1.64,0.0,-0.42
AUDCHF,"{'adx_min': 18.0, 'require_macd_align': True}",241,47.3,0.419,1.47,0.0,-0.7
