entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 23:00:00,2023-01-03 23:10:00,L,0.62968,0.62922,0.62922,0.6306,-1.0,sl,-1.17,0.56,-1.73,-1.73
2023-01-04 19:00:00,2023-01-04 21:00:00,L,0.63585,0.63494,0.63494,0.63767,-1.0,sl,-2.31,0.56,-2.87,-4.6
2023-01-09 14:35:00,2023-01-09 15:25:00,L,0.63887,0.63786,0.63786,0.64088,-1.0,sl,-2.56,0.56,-3.12,-7.72
2023-01-09 16:20:00,2023-01-09 16:25:00,L,0.63741,0.63674,0.63674,0.63874,-1.0,sl,-1.7,0.56,-2.26,-9.98
2023-01-09 17:00:00,2023-01-09 22:30:00,L,0.63743,0.63656,0.63656,0.63918,-1.0,sl,-2.23,0.56,-2.79,-12.77
2023-01-13 15:30:00,2023-01-13 15:35:00,L,0.6447,0.64409,0.64409,0.64591,-1.0,sl,-1.55,0.56,-2.11,-14.88
2023-01-13 15:50:00,2023-01-13 18:15:00,L,0.64448,0.64371,0.64371,0.64603,-1.0,sl,-1.97,0.56,-2.53,-17.41
2023-01-19 16:50:00,2023-01-19 18:50:00,S,0.63307,0.63107,0.63407,0.63107,2.0,tp,5.11,0.56,4.55,-12.86
2023-01-19 21:55:00,2023-01-19 23:55:00,S,0.63311,0.63233,0.6335,0.63233,2.0,tp,1.98,0.56,1.42,-11.44
2023-01-23 16:25:00,2023-01-23 17:40:00,L,0.6434,0.64466,0.64277,0.64466,2.0,tp,3.2,0.56,2.64,-8.8
2023-01-23 22:15:00,2023-01-24 00:50:00,L,0.64804,0.64725,0.64725,0.64961,-1.0,sl,-2.01,0.56,-2.57,-11.37
2023-01-25 14:50:00,2023-01-25 14:50:00,L,0.65226,0.65179,0.65179,0.6532,-1.0,sl,-1.2,0.56,-1.76,-13.13
2023-01-25 15:50:00,2023-01-25 16:50:00,L,0.65163,0.65118,0.65118,0.65253,-1.0,sl,-1.15,0.56,-1.71,-14.84
2023-01-25 17:25:00,2023-01-25 17:40:00,L,0.64973,0.65044,0.64938,0.65044,2.0,tp,1.8,0.56,1.24,-13.6
2023-01-25 17:55:00,2023-01-26 01:55:00,L,0.65101,0.65178,0.64935,0.65434,0.463,time,1.96,0.56,1.4,-12.2
2023-02-15 22:00:00,2023-02-16 02:30:00,S,0.63781,0.63703,0.6382,0.63703,2.0,tp,1.98,0.56,1.42,-10.78
2023-02-16 19:20:00,2023-02-16 20:05:00,S,0.63696,0.6377,0.6377,0.63548,-1.0,sl,-1.89,0.56,-2.45,-13.23
2023-02-17 16:55:00,2023-02-20 01:00:00,S,0.63589,0.63545,0.63696,0.63374,0.41,time,1.12,0.56,0.56,-12.67
2023-02-21 17:00:00,2023-02-21 17:30:00,S,0.63663,0.63745,0.63745,0.63498,-1.0,sl,-2.1,0.56,-2.66,-15.33
2023-02-21 18:10:00,2023-02-22 02:10:00,S,0.63703,0.63628,0.63858,0.63393,0.484,time,1.91,0.56,1.35,-13.98
2023-02-22 14:20:00,2023-02-22 14:25:00,S,0.63348,0.63376,0.63376,0.63292,-1.0,sl,-0.72,0.56,-1.28,-15.26
