entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2026-02-18 16:10:00,2026-02-18 16:30:00,L,0.54453,0.54415,0.54415,0.54528,-1.0,sl,-0.96,0.56,-1.52,-1.52
2026-02-18 16:55:00,2026-02-18 21:35:00,L,0.54485,0.544,0.544,0.54655,-1.0,sl,-2.16,0.56,-2.72,-4.24
2026-02-19 16:50:00,2026-02-20 00:50:00,L,0.5457,0.54668,0.54484,0.54742,1.14,time,2.5,0.56,1.94,-2.3
2026-02-20 15:20:00,2026-02-20 16:40:00,L,0.54695,0.5481,0.54638,0.5481,2.0,tp,2.92,0.56,2.36,0.06
2026-02-23 16:20:00,2026-02-23 16:50:00,L,0.548,0.5476,0.5476,0.54879,-1.0,sl,-1.01,0.56,-1.57,-1.51
2026-02-25 16:50:00,2026-02-25 17:05:00,L,0.54861,0.54841,0.54841,0.549,-1.0,sl,-0.5,0.56,-1.06,-2.57
2026-02-25 17:30:00,2026-02-25 20:55:00,L,0.54885,0.55003,0.54826,0.55003,2.0,tp,3.01,0.56,2.45,-0.12
2026-03-04 15:05:00,2026-03-04 23:05:00,L,0.55024,0.55155,0.54909,0.55255,1.136,time,3.34,0.56,2.78,2.66
2026-03-11 15:05:00,2026-03-11 16:00:00,L,0.55725,0.5585,0.55662,0.5585,2.0,tp,3.19,0.56,2.63,5.29
2026-03-12 17:25:00,2026-03-12 18:20:00,L,0.55523,0.55637,0.55466,0.55637,2.0,tp,2.9,0.56,2.34,7.63
2026-03-12 18:25:00,2026-03-13 02:25:00,L,0.55599,0.5559,0.55497,0.55804,-0.088,time,-0.23,0.56,-0.79,6.84
2026-03-17 17:00:00,2026-03-17 17:00:00,L,0.55826,0.55794,0.55794,0.5589,-1.0,sl,-0.81,0.56,-1.37,5.47
2026-03-17 17:45:00,2026-03-17 18:10:00,L,0.55721,0.55807,0.55678,0.55807,2.0,tp,2.2,0.56,1.64,7.11
2026-03-17 18:15:00,2026-03-18 02:15:00,L,0.55781,0.55791,0.55678,0.55988,0.097,time,0.25,0.56,-0.31,6.8
2026-03-18 16:05:00,2026-03-18 17:05:00,L,0.55681,0.5585,0.55596,0.5585,2.0,tp,4.32,0.56,3.76,10.56
2026-03-26 16:20:00,2026-03-26 16:50:00,S,0.54898,0.54806,0.54944,0.54806,2.0,tp,2.35,0.56,1.79,12.35
2026-03-30 16:10:00,2026-03-30 17:05:00,S,0.54863,0.54737,0.54926,0.54737,2.0,tp,3.22,0.56,2.66,15.01
2026-04-01 16:10:00,2026-04-01 16:30:00,L,0.54966,0.55029,0.54934,0.55029,2.0,tp,1.62,0.56,1.06,16.07
2026-04-01 16:35:00,2026-04-01 21:20:00,L,0.55032,0.54934,0.54934,0.55227,-1.0,sl,-2.49,0.56,-3.05,13.02
2026-04-06 16:25:00,2026-04-06 17:00:00,L,0.55234,0.55207,0.55207,0.55288,-1.0,sl,-0.68,0.56,-1.24,11.78
2026-04-06 17:15:00,2026-04-06 17:35:00,L,0.55243,0.55197,0.55197,0.55334,-1.0,sl,-1.16,0.56,-1.72,10.06
2026-04-08 15:15:00,2026-04-08 23:15:00,L,0.55608,0.55772,0.55495,0.55834,1.453,time,4.18,0.56,3.62,13.68
2026-04-10 17:10:00,2026-04-10 17:20:00,L,0.55667,0.55721,0.5564,0.55721,2.0,tp,1.38,0.56,0.82,14.5
2026-04-10 17:25:00,2026-04-10 17:55:00,L,0.55721,0.55883,0.5564,0.55883,2.0,tp,4.13,0.56,3.57,18.07
2026-04-16 17:50:00,2026-04-16 19:30:00,L,0.56137,0.56098,0.56098,0.56214,-1.0,sl,-0.98,0.56,-1.54,16.53
2026-04-17 17:20:00,2026-04-17 17:50:00,L,0.56078,0.56047,0.56047,0.5614,-1.0,sl,-0.79,0.56,-1.35,15.18
2026-04-23 15:05:00,2026-04-23 16:40:00,L,0.56077,0.56162,0.56034,0.56162,2.0,tp,2.17,0.56,1.61,16.79
2026-04-28 15:10:00,2026-04-28 17:15:00,L,0.56571,0.5669,0.56512,0.5669,2.0,tp,3.03,0.56,2.47,19.26
2026-05-06 16:15:00,2026-05-06 18:10:00,L,0.56416,0.56366,0.56366,0.56516,-1.0,sl,-1.27,0.56,-1.83,17.43
2026-05-06 18:55:00,2026-05-06 19:55:00,L,0.56356,0.56334,0.56334,0.564,-1.0,sl,-0.56,0.56,-1.12,16.31
