entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-04 19:00:00,2023-01-04 21:00:00,L,0.63585,0.63494,0.63494,0.63767,-1.0,sl,-2.31,0.56,-2.87,-2.87
2023-01-09 15:15:00,2023-01-09 15:25:00,L,0.63865,0.63787,0.63787,0.64021,-1.0,sl,-1.99,0.56,-2.55,-5.42
2023-01-09 16:20:00,2023-01-09 16:25:00,L,0.63741,0.63674,0.63674,0.63874,-1.0,sl,-1.7,0.56,-2.26,-7.68
2023-01-09 17:00:00,2023-01-09 22:30:00,L,0.63743,0.63656,0.63656,0.63918,-1.0,sl,-2.23,0.56,-2.79,-10.47
2023-01-13 15:10:00,2023-01-13 15:35:00,L,0.64465,0.64409,0.64409,0.64576,-1.0,sl,-1.42,0.56,-1.98,-12.45
2023-01-13 15:50:00,2023-01-13 18:15:00,L,0.64448,0.64371,0.64371,0.64603,-1.0,sl,-1.97,0.56,-2.53,-14.98
2023-01-19 16:50:00,2023-01-19 18:50:00,S,0.63307,0.63107,0.63407,0.63107,2.0,tp,5.11,0.56,4.55,-10.43
2023-01-23 16:25:00,2023-01-23 17:40:00,L,0.6434,0.64466,0.64277,0.64466,2.0,tp,3.2,0.56,2.64,-7.79
2023-01-25 15:50:00,2023-01-25 16:50:00,L,0.65163,0.65118,0.65118,0.65253,-1.0,sl,-1.15,0.56,-1.71,-9.5
2023-01-25 17:25:00,2023-01-25 17:40:00,L,0.64973,0.65044,0.64938,0.65044,2.0,tp,1.8,0.56,1.24,-8.26
2023-01-25 17:55:00,2023-01-26 01:55:00,L,0.65101,0.65178,0.64935,0.65434,0.463,time,1.96,0.56,1.4,-6.86
2023-02-17 16:55:00,2023-02-20 01:00:00,S,0.63589,0.63545,0.63696,0.63374,0.41,time,1.12,0.56,0.56,-6.3
2023-02-21 17:00:00,2023-02-21 17:30:00,S,0.63663,0.63745,0.63745,0.63498,-1.0,sl,-2.1,0.56,-2.66,-8.96
2023-02-21 18:10:00,2023-02-22 02:10:00,S,0.63703,0.63628,0.63858,0.63393,0.484,time,1.91,0.56,1.35,-7.61
2023-02-22 15:15:00,2023-02-22 19:50:00,S,0.63357,0.63446,0.63446,0.63179,-1.0,sl,-2.27,0.56,-2.83,-10.44
2023-03-02 17:40:00,2023-03-02 18:35:00,S,0.63409,0.6326,0.63484,0.6326,2.0,tp,3.8,0.56,3.24,-7.2
2023-03-02 18:40:00,2023-03-03 02:40:00,S,0.63275,0.63417,0.63449,0.62928,-0.818,time,-3.62,0.56,-4.18,-11.38
2023-03-08 17:20:00,2023-03-08 18:30:00,S,0.62221,0.62061,0.62301,0.62061,2.0,tp,4.08,0.56,3.52,-7.86
2023-03-09 15:15:00,2023-03-09 15:25:00,S,0.62072,0.62092,0.62092,0.62032,-1.0,sl,-0.51,0.56,-1.07,-8.93
2023-03-09 15:30:00,2023-03-09 15:30:00,S,0.62033,0.62106,0.62106,0.61888,-1.0,sl,-1.85,0.56,-2.41,-11.34
2023-03-09 16:30:00,2023-03-09 17:10:00,S,0.62111,0.62005,0.62164,0.62005,2.0,tp,2.71,0.56,2.15,-9.19
2023-03-13 17:35:00,2023-03-13 18:00:00,S,0.61087,0.60915,0.61173,0.60915,2.0,tp,4.39,0.56,3.83,-5.36
2023-03-13 18:05:00,2023-03-14 02:05:00,S,0.60898,0.60667,0.61173,0.60348,0.84,time,5.89,0.56,5.33,-0.03
2023-03-14 17:10:00,2023-03-14 17:55:00,S,0.61061,0.60853,0.61165,0.60853,2.0,tp,5.29,0.56,4.73,4.7
2023-03-29 15:35:00,2023-03-29 16:40:00,S,0.61378,0.61438,0.61438,0.61257,-1.0,sl,-1.54,0.56,-2.1,2.6
2023-04-04 15:05:00,2023-04-04 15:50:00,S,0.61632,0.6149,0.61703,0.6149,2.0,tp,3.63,0.56,3.07,5.67
2023-04-05 15:35:00,2023-04-05 16:45:00,S,0.60599,0.60697,0.60697,0.60403,-1.0,sl,-2.49,0.56,-3.05,2.62
2023-04-07 17:05:00,2023-04-10 01:15:00,S,0.60389,0.60309,0.60522,0.60123,0.601,time,2.04,0.56,1.48,4.1
2023-04-12 15:50:00,2023-04-12 16:40:00,S,0.60245,0.60057,0.60339,0.60057,2.0,tp,4.79,0.56,4.23,8.33
2023-04-13 15:55:00,2023-04-13 16:50:00,S,0.59961,0.60068,0.60068,0.59746,-1.0,sl,-2.74,0.56,-3.3,5.03
2023-04-13 17:00:00,2023-04-13 17:05:00,S,0.60038,0.60155,0.60155,0.59805,-1.0,sl,-2.97,0.56,-3.53,1.5
2023-04-14 17:05:00,2023-04-14 17:30:00,S,0.60215,0.60022,0.60311,0.60022,2.0,tp,4.92,0.56,4.36,5.86
2023-04-17 15:05:00,2023-04-17 15:05:00,S,0.59963,0.59999,0.59999,0.59892,-1.0,sl,-0.91,0.56,-1.47,4.39
2023-04-17 15:25:00,2023-04-17 16:20:00,S,0.59956,0.6001,0.6001,0.59849,-1.0,sl,-1.37,0.56,-1.93,2.46
2023-04-17 16:50:00,2023-04-17 17:30:00,S,0.60016,0.6009,0.6009,0.59868,-1.0,sl,-1.89,0.56,-2.45,0.01
2023-04-24 17:55:00,2023-04-25 01:55:00,S,0.59436,0.59442,0.595,0.59307,-0.093,time,-0.15,0.56,-0.71,-0.7
2023-04-25 18:05:00,2023-04-25 19:15:00,S,0.59167,0.59084,0.59209,0.59084,2.0,tp,2.13,0.56,1.57,0.87
2023-05-03 15:05:00,2023-05-03 21:00:00,S,0.59206,0.59294,0.59294,0.59031,-1.0,sl,-2.24,0.56,-2.8,-1.93
2023-05-04 16:05:00,2023-05-04 16:40:00,S,0.5923,0.59107,0.59292,0.59107,2.0,tp,3.14,0.56,2.58,0.65
2023-05-04 16:45:00,2023-05-04 20:00:00,S,0.59127,0.59291,0.59291,0.58799,-1.0,sl,-4.18,0.56,-4.74,-4.09
2023-05-16 17:10:00,2023-05-17 01:10:00,S,0.5974,0.5965,0.59873,0.59473,0.674,time,2.29,0.56,1.73,-2.36
2023-05-17 17:05:00,2023-05-17 17:50:00,S,0.59978,0.5978,0.60077,0.5978,2.0,tp,5.05,0.56,4.49,2.13
2023-05-22 16:20:00,2023-05-22 16:35:00,S,0.59582,0.59609,0.59609,0.59527,-1.0,sl,-0.7,0.56,-1.26,0.87
2023-05-22 17:10:00,2023-05-22 17:25:00,S,0.59564,0.59661,0.59661,0.59371,-1.0,sl,-2.46,0.56,-3.02,-2.15
2023-05-22 18:10:00,2023-05-22 20:15:00,S,0.5971,0.59645,0.59743,0.59645,2.0,tp,1.66,0.56,1.1,-1.05
2023-05-24 15:35:00,2023-05-24 17:50:00,S,0.59316,0.59137,0.59406,0.59137,2.0,tp,4.57,0.56,4.01,2.96
2023-05-26 15:15:00,2023-05-26 17:50:00,S,0.59006,0.58897,0.59061,0.58897,2.0,tp,2.78,0.56,2.22,5.18
2023-06-07 16:20:00,2023-06-07 16:55:00,L,0.60616,0.60723,0.60562,0.60723,2.0,tp,2.73,0.56,2.17,7.35
2023-06-07 17:10:00,2023-06-07 17:35:00,L,0.60659,0.60564,0.60564,0.60848,-1.0,sl,-2.41,0.56,-2.97,4.38
