exit_time,net_$,cum_net_$,equity_$,drawdown_%
2023-01-03 16:40:00,-2.15,-2.15,997.85,0.0
2023-01-03 17:35:00,-4.18,-6.33,993.67,-0.42
2023-01-03 20:05:00,2.57,-3.76,996.24,-0.16
2023-01-05 17:20:00,-1.4,-5.16,994.84,-0.3
2023-01-05 18:50:00,-1.1,-6.26,993.74,-0.41
2023-01-05 19:15:00,-1.68,-7.94,992.06,-0.58
2023-01-06 17:00:00,-2.76,-10.7,989.3,-0.86
2023-01-09 17:00:00,1.97,-8.73,991.27,-0.66
2023-01-09 19:05:00,-3.07,-11.8,988.2,-0.97
2023-01-11 23:05:00,0.6,-11.2,988.8,-0.91
2023-01-18 15:30:00,-2.67,-13.87,986.13,-1.17
2023-01-18 16:20:00,-3.03,-16.9,983.1,-1.48
2023-01-18 17:55:00,-3.95,-20.85,979.15,-1.87
2023-01-19 16:25:00,-1.62,-22.47,977.53,-2.04
2023-01-19 17:05:00,-1.71,-24.18,975.82,-2.21
2023-01-25 16:20:00,-3.06,-27.24,972.76,-2.51
2023-01-26 02:05:00,0.31,-26.93,973.07,-2.48
2023-01-30 00:00:00,-2.09,-29.02,970.98,-2.69
2023-02-28 17:50:00,-2.07,-31.09,968.91,-2.9
2023-03-09 19:45:00,2.29,-28.8,971.2,-2.67
2023-03-13 16:45:00,-3.16,-31.96,968.04,-2.99
2023-03-13 17:45:00,-1.29,-33.25,966.75,-3.12
2023-03-13 18:45:00,2.91,-30.34,969.66,-2.83
2023-03-21 01:20:00,1.48,-28.86,971.14,-2.68
2023-03-24 16:30:00,-1.96,-30.82,969.18,-2.87
2023-03-24 17:45:00,-4.34,-35.16,964.84,-3.31
2023-03-24 21:20:00,-1.73,-36.89,963.11,-3.48
2023-04-03 17:40:00,-2.08,-38.97,961.03,-3.69
2023-04-03 18:10:00,-1.9,-40.87,959.13,-3.88
2023-04-03 19:05:00,2.09,-38.78,961.22,-3.67
2023-04-06 15:30:00,2.53,-36.25,963.75,-3.42
2023-04-06 23:50:00,-1.29,-37.54,962.46,-3.55
2023-04-10 01:10:00,1.52,-36.02,963.98,-3.39
2023-04-13 16:35:00,-1.27,-37.29,962.71,-3.52
2023-04-13 18:00:00,3.11,-34.18,965.82,-3.21
2023-04-14 18:50:00,-1.19,-35.37,964.63,-3.33
2023-04-14 20:30:00,-1.18,-36.55,963.45,-3.45
2023-04-19 02:00:00,-0.5,-37.05,962.95,-3.5
2023-04-20 23:55:00,-1.03,-38.08,961.92,-3.6
2023-04-24 18:25:00,-1.53,-39.61,960.39,-3.75
2023-05-05 15:30:00,2.16,-37.45,962.55,-3.54
2023-05-05 21:50:00,7.31,-30.14,969.86,-2.81
2023-05-15 19:50:00,4.22,-25.92,974.08,-2.38
2023-05-16 15:30:00,-1.46,-27.38,972.62,-2.53
2023-05-16 23:35:00,-1.34,-28.72,971.28,-2.66
2023-05-18 21:45:00,2.73,-25.99,974.01,-2.39
2023-05-29 16:00:00,0.23,-25.76,974.24,-2.37
2023-05-29 16:30:00,-0.7,-26.46,973.54,-2.44
2023-05-29 17:25:00,0.69,-25.77,974.23,-2.37
2023-06-01 17:50:00,3.67,-22.1,977.9,-2.0
2023-06-05 17:00:00,-1.95,-24.05,975.95,-2.19
2023-06-06 01:40:00,-0.05,-24.1,975.9,-2.2
2023-06-07 18:15:00,1.04,-23.06,976.94,-2.1
2023-06-07 20:30:00,-2.45,-25.51,974.49,-2.34
2023-06-08 17:45:00,-1.85,-27.36,972.64,-2.53
2023-06-08 18:20:00,1.11,-26.25,973.75,-2.42
2023-06-13 23:35:00,3.79,-22.46,977.54,-2.04
2023-06-15 15:10:00,-0.96,-23.42,976.58,-2.13
2023-06-15 17:55:00,4.55,-18.87,981.13,-1.68
2023-06-19 17:00:00,-1.91,-20.78,979.22,-1.87
2023-06-20 01:30:00,1.32,-19.46,980.54,-1.73
2023-06-22 16:10:00,-1.0,-20.46,979.54,-1.83
2023-06-22 21:50:00,3.55,-16.91,983.09,-1.48
2023-06-27 17:50:00,3.8,-13.11,986.89,-1.1
2023-07-17 01:55:00,-2.33,-15.44,984.56,-1.33
2023-07-19 17:55:00,-3.15,-18.59,981.41,-1.65
2023-07-20 16:50:00,1.58,-17.01,982.99,-1.49
2023-07-20 22:05:00,-2.23,-19.24,980.76,-1.71
2023-07-24 00:45:00,0.05,-19.19,980.81,-1.71
2023-07-24 18:10:00,3.43,-15.76,984.24,-1.36
2023-07-28 18:35:00,-1.83,-17.59,982.41,-1.55
2023-08-08 19:15:00,-1.92,-19.51,980.49,-1.74
2023-08-14 19:00:00,3.84,-15.67,984.33,-1.35
2023-08-23 20:10:00,-1.38,-17.05,982.95,-1.49
2023-08-29 16:45:00,1.56,-15.49,984.51,-1.34
2023-08-30 00:55:00,1.63,-13.86,986.14,-1.17
2023-08-30 21:05:00,-1.46,-15.32,984.68,-1.32
2023-09-05 01:45:00,0.45,-14.87,985.13,-1.27
2023-09-11 16:20:00,1.35,-13.52,986.48,-1.14
2023-09-11 16:55:00,-2.95,-16.47,983.53,-1.44
2023-09-12 01:20:00,0.31,-16.16,983.84,-1.4
2023-09-15 16:00:00,-0.8,-16.96,983.04,-1.48
2023-09-15 16:25:00,-1.01,-17.97,982.03,-1.59
2023-09-15 16:45:00,-1.61,-19.58,980.42,-1.75
2023-09-15 17:00:00,0.94,-18.64,981.36,-1.65
2023-09-15 20:05:00,-1.52,-20.16,979.84,-1.8
2023-09-26 02:20:00,0.69,-19.47,980.53,-1.74
2023-09-29 17:50:00,-2.01,-21.48,978.52,-1.94
2023-09-29 17:55:00,-1.63,-23.11,976.89,-2.1
2023-09-29 19:50:00,-1.51,-24.62,975.38,-2.25
2023-10-03 17:00:00,1.13,-23.49,976.51,-2.14
2023-10-03 17:10:00,6.07,-17.42,982.58,-1.53
2023-10-04 01:15:00,-0.55,-17.97,982.03,-1.59
2023-10-04 16:55:00,1.58,-16.39,983.61,-1.43
2023-10-06 20:20:00,8.26,-8.13,991.87,-0.6
2023-10-09 20:30:00,1.94,-6.19,993.81,-0.4
2023-10-10 23:00:00,2.54,-3.65,996.35,-0.15
2023-10-17 16:30:00,1.41,-2.24,997.76,-0.01
2023-10-18 15:10:00,-0.84,-3.08,996.92,-0.09
2023-10-20 19:05:00,1.66,-1.42,998.58,0.0
2023-10-23 18:25:00,3.19,1.77,1001.77,0.0
2023-10-31 15:25:00,-1.16,0.61,1000.61,-0.12
2023-10-31 17:15:00,-1.62,-1.01,998.99,-0.28
2023-11-01 20:00:00,1.11,0.1,1000.1,-0.17
2023-11-02 16:05:00,-1.38,-1.28,998.72,-0.3
