symbol,quarter,trades,wins,WR_%,exp_R,PF,pass
AUDJPY,2023Q1,27,7,25.93,-0.404,0.45,False
AUDJPY,2023Q2,37,19,51.35,0.495,2.23,True
AUDJPY,2023Q3,26,11,42.31,-0.014,0.98,False
AUDJPY,2023Q4,36,20,55.56,0.569,2.41,True
AUDJPY,2024Q1,37,14,37.84,-0.081,0.87,False
AUDJPY,2024Q2,33,18,54.55,0.447,2.11,True
AUDJPY,2024Q3,33,16,48.48,0.364,1.72,True
AUDJPY,2024Q4,18,10,55.56,0.577,2.3,False
AUDJPY,2025Q1,29,12,41.38,0.153,1.27,False
AUDJPY,2025Q2,29,11,37.93,-0.075,0.88,False
AUDJPY,2025Q3,44,22,50.0,0.339,1.68,True
AUDJPY,2025Q4,34,19,55.88,0.543,2.44,True
AUDJPY,2026Q1,18,6,33.33,-0.065,0.89,False
