symbol,mode,confirms,memory,min_r,atr_min,session,trades,WR_%,exp_R,PF,q_pass_%,score
AUDJPY,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-12,401,46.13,0.384,1.47,46.2,21.21
AUDJPY,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-12,387,45.74,0.372,1.45,38.5,16.97
AUDJPY,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-13,425,45.18,0.355,1.41,38.5,16.41
AUDJPY,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-12,450,44.44,0.333,1.38,38.5,15.68
AUDJPY,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-13,473,43.97,0.319,1.35,38.5,15.21
AUDJPY,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-13,454,45.15,0.355,1.42,30.8,12.54
AUDJPY,RSI-gated,f_candle|f_ema,10,-,0.9,NY07-16,530,44.91,0.347,1.4,30.8,12.29
AUDJPY,RSI-gated,f_candle|f_ema,10,-,0.0,NY07-16,660,44.39,0.332,1.41,30.8,11.78
AUDJPY,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-12,432,43.98,0.319,1.35,30.8,11.37
AUDJPY,RSI-gated,f_candle|f_ema,15,-,0.0,NY07-16,732,43.58,0.307,1.37,30.8,10.96
AUDJPY,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-13,506,44.07,0.322,1.36,23.1,7.61
AUDJPY,RSI-gated,f_candle|f_ema,15,-,0.9,NY07-16,591,43.99,0.32,1.36,23.1,7.53
AUDJPY,OR,f_candle|f_ema,10,1,0.9,NY07-16,1761,43.16,0.295,1.31,23.1,6.7
AUDJPY,OR,f_candle|f_ema,10,1,0.9,NY08-12,1364,42.52,0.276,1.26,23.1,6.06
AUDJPY,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY07-16,1900,42.42,0.273,1.29,23.1,5.96
AUDJPY,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-12,1459,42.02,0.26,1.24,23.1,5.55
AUDJPY,OR,f_candle|f_ema,10,1,0.9,NY08-13,1458,42.32,0.27,1.25,15.4,2.01
AUDJPY,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-13,1569,41.75,0.252,1.22,15.4,1.44
