symbol,overlay,trades,WR_%,exp_R,PF,q_pass_%,score
AUDJPY,{},401,46.13,0.384,1.47,46.2,21.21
AUDJPY,{'add_vol_confirm': True},466,45.49,0.365,1.45,30.8,12.88
AUDJPY,"{'adx_min': 18.0, 'add_vol_confirm': True}",417,44.36,0.331,1.38,30.8,11.75
AUDJPY,"{'adx_min': 20.0, 'require_h1_rsi_align': True, 'require_macd_align': True}",147,57.14,0.714,2.02,0.0,9.14
AUDJPY,{'adx_min': 18.0},355,44.79,0.344,1.36,23.1,8.33
AUDJPY,"{'require_h1_rsi_align': True, 'require_macd_align': True}",209,55.02,0.651,2.02,0.0,7.02
AUDJPY,{'require_h1_rsi_align': True},321,49.22,0.477,1.72,7.7,5.07
AUDJPY,{'require_macd_align': True},262,51.53,0.546,1.67,0.0,3.53
AUDJPY,"{'adx_min': 18.0, 'require_macd_align': True}",224,50.45,0.513,1.57,0.0,2.45
AUDJPY,"{'adx_min': 18.0, 'require_h1_rsi_align': True}",281,48.4,0.452,1.61,0.0,0.4
AUDJPY,{'adx_min': 22.0},274,44.53,0.336,1.32,0.0,-3.47
