entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 16:20:00,2023-01-03 16:40:00,S,87.931,88.07472,88.07472,87.64356,-1.0,sl,-1.81,0.34,-2.15,-2.15
2023-01-03 17:00:00,2023-01-03 17:35:00,S,87.859,88.16437,88.16437,87.24825,-1.0,sl,-3.84,0.34,-4.18,-6.33
2023-01-03 17:45:00,2023-01-03 20:05:00,S,88.122,87.88997,88.23801,87.88997,2.0,tp,2.91,0.34,2.57,-3.76
2023-01-03 22:05:00,2023-01-03 23:55:00,S,88.065,88.1519,88.1519,87.8912,-1.0,sl,-1.09,0.34,-1.43,-5.19
2023-01-05 17:00:00,2023-01-05 17:20:00,L,90.468,90.38364,90.38364,90.63672,-1.0,sl,-1.06,0.34,-1.4,-6.59
2023-01-05 18:45:00,2023-01-05 18:50:00,L,90.053,89.99246,89.99246,90.17408,-1.0,sl,-0.76,0.34,-1.1,-7.69
2023-01-05 18:55:00,2023-01-05 19:15:00,L,90.08,89.97309,89.97309,90.29382,-1.0,sl,-1.34,0.34,-1.68,-9.37
2023-01-05 20:10:00,2023-01-05 20:30:00,L,89.888,90.06563,89.79918,90.06563,2.0,tp,2.23,0.34,1.89,-7.48
2023-01-05 20:35:00,2023-01-06 04:35:00,L,90.053,90.383,89.81406,90.53088,1.381,time,4.14,0.34,3.8,-3.68
2023-01-06 16:00:00,2023-01-06 17:00:00,L,90.534,90.34129,90.34129,90.91942,-1.0,sl,-2.42,0.34,-2.76,-6.44
2023-01-09 16:10:00,2023-01-09 17:00:00,L,91.355,91.53869,91.26316,91.53869,2.0,tp,2.31,0.34,1.97,-4.47
2023-01-09 17:15:00,2023-01-09 19:05:00,L,91.499,91.28129,91.28129,91.93441,-1.0,sl,-2.73,0.34,-3.07,-7.54
2023-01-09 19:35:00,2023-01-09 20:35:00,L,91.391,91.27629,91.27629,91.62042,-1.0,sl,-1.44,0.34,-1.78,-9.32
2023-01-09 22:20:00,2023-01-09 22:35:00,L,91.2,91.11638,91.11638,91.36724,-1.0,sl,-1.05,0.34,-1.39,-10.71
2023-01-11 14:50:00,2023-01-11 22:50:00,L,91.4,91.525,91.17186,91.85629,0.548,time,1.57,0.34,1.23,-9.48
2023-01-13 19:55:00,2023-01-13 20:40:00,S,88.948,88.99349,88.99349,88.85703,-1.0,sl,-0.57,0.34,-0.91,-10.39
2023-01-13 21:35:00,2023-01-13 21:55:00,S,89.106,89.19038,89.19038,88.93724,-1.0,sl,-1.06,0.34,-1.4,-11.79
2023-01-13 23:00:00,2023-01-16 00:00:00,S,89.229,89.12314,89.28193,89.12314,2.0,tp,1.33,0.34,0.99,-10.8
2023-01-18 14:30:00,2023-01-18 15:30:00,L,90.552,90.45283,90.45283,90.75034,-1.0,sl,-1.25,0.34,-1.59,-12.39
2023-01-18 15:50:00,2023-01-18 16:20:00,L,90.323,90.10873,90.10873,90.75154,-1.0,sl,-2.69,0.34,-3.03,-15.42
2023-01-18 17:00:00,2023-01-18 17:55:00,L,90.294,90.00684,90.00684,90.86832,-1.0,sl,-3.61,0.34,-3.95,-19.37
2023-01-19 16:10:00,2023-01-19 16:25:00,S,88.616,88.71809,88.71809,88.41182,-1.0,sl,-1.28,0.34,-1.62,-20.99
2023-01-19 16:35:00,2023-01-19 17:05:00,S,88.669,88.77825,88.77825,88.45049,-1.0,sl,-1.37,0.34,-1.71,-22.7
2023-01-19 22:15:00,2023-01-20 02:15:00,S,88.795,88.90708,88.90708,88.57085,-1.0,sl,-1.41,0.34,-1.75,-24.45
2023-01-20 20:35:00,2023-01-20 22:50:00,L,90.178,90.3406,90.0967,90.3406,2.0,tp,2.04,0.34,1.7,-22.75
2023-01-23 22:05:00,2023-01-24 02:35:00,L,91.773,91.62102,91.62102,92.07695,-1.0,sl,-1.91,0.34,-2.25,-25.0
2023-01-25 14:15:00,2023-01-25 14:25:00,L,91.953,91.79704,91.79704,92.26492,-1.0,sl,-1.96,0.34,-2.3,-27.3
2023-01-25 15:00:00,2023-01-25 16:20:00,L,91.834,91.64374,91.64374,92.21451,-1.0,sl,-2.39,0.34,-2.73,-30.03
