entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 16:20:00,2023-01-03 16:40:00,S,87.931,88.07472,88.07472,87.64356,-1.0,sl,-1.81,0.34,-2.15,-2.15
2023-01-03 17:00:00,2023-01-03 17:35:00,S,87.859,88.16437,88.16437,87.24825,-1.0,sl,-3.84,0.34,-4.18,-6.33
2023-01-03 17:45:00,2023-01-03 20:05:00,S,88.122,87.88997,88.23801,87.88997,2.0,tp,2.91,0.34,2.57,-3.76
2023-01-05 17:00:00,2023-01-05 17:20:00,L,90.468,90.38364,90.38364,90.63672,-1.0,sl,-1.06,0.34,-1.4,-5.16
2023-01-05 18:45:00,2023-01-05 18:50:00,L,90.053,89.99246,89.99246,90.17408,-1.0,sl,-0.76,0.34,-1.1,-6.26
2023-01-05 18:55:00,2023-01-05 19:15:00,L,90.08,89.97309,89.97309,90.29382,-1.0,sl,-1.34,0.34,-1.68,-7.94
2023-01-06 16:00:00,2023-01-06 17:00:00,L,90.534,90.34129,90.34129,90.91942,-1.0,sl,-2.42,0.34,-2.76,-10.7
2023-01-09 16:10:00,2023-01-09 17:00:00,L,91.355,91.53869,91.26316,91.53869,2.0,tp,2.31,0.34,1.97,-8.73
2023-01-09 17:15:00,2023-01-09 19:05:00,L,91.499,91.28129,91.28129,91.93441,-1.0,sl,-2.73,0.34,-3.07,-11.8
2023-01-11 15:05:00,2023-01-11 23:05:00,L,91.429,91.504,91.17226,91.94247,0.292,time,0.94,0.34,0.6,-11.2
2023-01-18 15:10:00,2023-01-18 15:30:00,L,90.661,90.47543,90.47543,91.03214,-1.0,sl,-2.33,0.34,-2.67,-13.87
2023-01-18 15:50:00,2023-01-18 16:20:00,L,90.323,90.10873,90.10873,90.75154,-1.0,sl,-2.69,0.34,-3.03,-16.9
2023-01-18 17:00:00,2023-01-18 17:55:00,L,90.294,90.00684,90.00684,90.86832,-1.0,sl,-3.61,0.34,-3.95,-20.85
2023-01-19 16:10:00,2023-01-19 16:25:00,S,88.616,88.71809,88.71809,88.41182,-1.0,sl,-1.28,0.34,-1.62,-22.47
2023-01-19 16:35:00,2023-01-19 17:05:00,S,88.669,88.77825,88.77825,88.45049,-1.0,sl,-1.37,0.34,-1.71,-24.18
2023-01-25 15:15:00,2023-01-25 16:20:00,L,91.861,91.64448,91.64448,92.29404,-1.0,sl,-2.72,0.34,-3.06,-27.24
2023-01-25 18:05:00,2023-01-26 02:05:00,L,91.807,91.859,91.39847,92.62405,0.127,time,0.65,0.34,0.31,-26.93
2023-01-27 18:10:00,2023-01-30 00:00:00,L,92.187,92.04777,92.04777,92.46545,-1.0,sl,-1.75,0.34,-2.09,-29.02
2023-02-28 17:35:00,2023-02-28 17:50:00,L,91.95,91.81218,91.81218,92.22564,-1.0,sl,-1.73,0.34,-2.07,-31.09
2023-03-09 16:55:00,2023-03-09 19:45:00,S,90.209,89.99958,90.31371,89.99958,2.0,tp,2.63,0.34,2.29,-28.8
2023-03-13 16:05:00,2023-03-13 16:45:00,S,88.564,88.78849,88.78849,88.11501,-1.0,sl,-2.82,0.34,-3.16,-31.96
2023-03-13 17:30:00,2023-03-13 17:45:00,S,89.081,89.15655,89.15655,88.9299,-1.0,sl,-0.95,0.34,-1.29,-33.25
2023-03-13 17:55:00,2023-03-13 18:45:00,S,89.053,88.79436,89.18232,88.79436,2.0,tp,3.25,0.34,2.91,-30.34
2023-03-20 17:20:00,2023-03-21 01:20:00,S,88.375,88.23,88.59108,87.94283,0.671,time,1.82,0.34,1.48,-28.86
2023-03-24 16:15:00,2023-03-24 16:30:00,S,86.686,86.8147,86.8147,86.4286,-1.0,sl,-1.62,0.34,-1.96,-30.82
2023-03-24 17:10:00,2023-03-24 17:45:00,S,86.538,86.85645,86.85645,85.9011,-1.0,sl,-4.0,0.34,-4.34,-35.16
2023-03-24 19:00:00,2023-03-24 21:20:00,S,86.847,86.95766,86.95766,86.62569,-1.0,sl,-1.39,0.34,-1.73,-36.89
2023-04-03 17:15:00,2023-04-03 17:40:00,L,89.764,89.62584,89.62584,90.04031,-1.0,sl,-1.74,0.34,-2.08,-38.97
