exit_time,net_$,cum_net_$,equity_$,drawdown_%
2023-01-04 15:20:00,-1.0,-1.0,999.0,0.0
2023-01-04 16:05:00,-0.93,-1.93,998.07,-0.09
2023-01-04 16:15:00,-0.8,-2.73,997.27,-0.17
2023-01-04 16:30:00,0.59,-2.14,997.86,-0.11
2023-01-05 00:00:00,-2.25,-4.39,995.61,-0.34
2023-01-05 18:20:00,-1.74,-6.13,993.87,-0.51
2023-01-05 20:00:00,0.68,-5.45,994.55,-0.45
2023-01-06 16:40:00,-1.83,-7.28,992.72,-0.63
2023-01-10 00:05:00,0.98,-6.3,993.7,-0.53
2023-01-18 19:35:00,2.39,-3.91,996.09,-0.29
2023-01-20 17:10:00,0.76,-3.15,996.85,-0.22
2023-01-23 01:25:00,-0.17,-3.32,996.68,-0.23
2023-01-25 23:05:00,3.4,0.08,1000.08,0.0
2023-01-26 18:35:00,0.37,0.45,1000.45,0.0
2023-02-08 19:20:00,-0.83,-0.38,999.62,-0.08
2023-02-16 17:00:00,-1.22,-1.6,998.4,-0.2
2023-02-16 17:30:00,1.36,-0.24,999.76,-0.07
2023-02-17 00:00:00,-3.67,-3.91,996.09,-0.44
2023-02-20 15:25:00,0.89,-3.02,996.98,-0.35
2023-02-20 23:45:00,-1.13,-4.15,995.85,-0.46
2023-02-21 17:20:00,2.01,-2.14,997.86,-0.26
2023-03-02 23:40:00,-0.79,-2.93,997.07,-0.34
2023-03-08 23:05:00,1.28,-1.65,998.35,-0.21
2023-03-09 17:05:00,0.29,-1.36,998.64,-0.18
2023-03-09 23:25:00,-1.8,-3.16,996.84,-0.36
2023-03-14 15:45:00,-1.4,-4.56,995.44,-0.5
2023-03-14 16:20:00,-1.2,-5.76,994.24,-0.62
2023-03-14 16:55:00,-0.74,-6.5,993.5,-0.69
2023-03-14 17:45:00,0.81,-5.69,994.31,-0.61
2023-03-24 15:55:00,-1.02,-6.71,993.29,-0.72
2023-03-24 21:00:00,-1.47,-8.18,991.82,-0.86
2023-03-31 15:55:00,-0.77,-8.95,991.05,-0.94
2023-03-31 16:15:00,-0.8,-9.75,990.25,-1.02
2023-03-31 22:00:00,1.64,-8.11,991.89,-0.86
2023-04-05 15:45:00,1.28,-6.83,993.17,-0.73
2023-04-05 18:15:00,-2.95,-9.78,990.22,-1.02
2023-04-05 21:00:00,-1.42,-11.2,988.8,-1.16
2023-04-07 23:40:00,4.67,-6.53,993.47,-0.7
2023-04-13 15:30:00,-1.67,-8.2,991.8,-0.86
2023-04-21 17:00:00,-1.35,-9.55,990.45,-1.0
2023-04-21 17:10:00,-1.02,-10.57,989.43,-1.1
2023-04-21 17:40:00,-0.87,-11.44,988.56,-1.19
2023-04-21 18:45:00,0.59,-10.85,989.15,-1.13
2023-04-24 00:00:00,-1.53,-12.38,987.62,-1.28
2023-04-27 17:15:00,-1.39,-13.77,986.23,-1.42
2023-04-28 00:00:00,1.31,-12.46,987.54,-1.29
2023-05-10 00:00:00,1.14,-11.32,988.68,-1.18
2023-05-10 16:40:00,1.62,-9.7,990.3,-1.01
2023-05-11 00:45:00,1.53,-8.17,991.83,-0.86
2023-05-11 23:25:00,-1.48,-9.65,990.35,-1.01
2023-05-16 16:40:00,-0.74,-10.39,989.61,-1.08
2023-05-16 17:05:00,0.63,-9.76,990.24,-1.02
2023-05-17 00:00:00,2.78,-6.98,993.02,-0.74
2023-05-18 00:40:00,-2.05,-9.03,990.97,-0.95
2023-05-18 17:55:00,-0.88,-9.91,990.09,-1.04
2023-05-18 23:55:00,0.61,-9.3,990.7,-0.97
2023-05-22 18:25:00,-0.01,-9.31,990.69,-0.98
2023-05-24 00:00:00,3.19,-6.12,993.88,-0.66
2023-05-29 17:15:00,0.45,-5.67,994.33,-0.61
