symbol,quarter,trades,wins,WR_%,exp_R,PF,pass
AUDNZD,2023Q1,34,15,44.12,0.255,1.48,False
AUDNZD,2023Q2,36,18,50.0,0.381,1.76,True
AUDNZD,2023Q3,48,24,50.0,0.348,1.7,True
AUDNZD,2023Q4,33,10,30.3,-0.214,0.68,False
AUDNZD,2024Q1,33,19,57.58,0.434,2.06,True
AUDNZD,2024Q2,37,18,48.65,0.377,1.78,True
AUDNZD,2024Q3,33,16,48.48,0.304,1.63,True
AUDNZD,2024Q4,26,10,38.46,0.174,1.29,False
AUDNZD,2025Q1,38,20,52.63,0.448,1.95,True
AUDNZD,2025Q2,36,15,41.67,0.221,1.38,False
AUDNZD,2025Q3,60,19,31.67,-0.082,0.88,False
AUDNZD,2025Q4,46,20,43.48,0.271,1.49,False
AUDNZD,2026Q1,17,9,52.94,0.4,1.85,False
