symbol,mode,confirms,memory,min_r,atr_min,session,trades,WR_%,exp_R,PF,q_pass_%,score
AUDNZD,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-12,469,43.5,0.305,1.33,38.5,14.73
AUDNZD,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-13,437,42.79,0.284,1.28,30.8,10.18
AUDNZD,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-13,506,42.69,0.281,1.3,30.8,10.07
AUDNZD,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-12,418,43.78,0.313,1.33,23.1,7.32
AUDNZD,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-13,449,40.98,0.229,1.22,23.1,4.52
AUDNZD,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-12,364,42.58,0.277,1.29,15.4,2.27
AUDNZD,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-12,412,42.23,0.267,1.28,15.4,1.93
AUDNZD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-12,1382,40.23,0.207,1.19,15.4,-0.08
AUDNZD,OR,f_candle|f_ema,10,1,0.9,NY08-12,1301,40.05,0.201,1.17,15.4,-0.26
AUDNZD,RSI-gated,f_candle|f_ema,15,-,0.9,NY07-16,531,39.92,0.198,1.17,15.4,-0.38
AUDNZD,RSI-gated,f_candle|f_ema,15,-,0.0,NY07-16,763,38.66,0.16,1.14,15.4,-1.64
AUDNZD,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-13,381,41.21,0.236,1.22,7.7,-2.95
AUDNZD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-13,1446,39.7,0.191,1.17,7.7,-4.46
AUDNZD,OR,f_candle|f_ema,10,1,0.9,NY08-13,1360,39.41,0.182,1.14,7.7,-4.74
AUDNZD,OR,f_candle|f_ema,10,1,0.9,NY07-16,1611,38.49,0.155,1.1,7.7,-5.67
AUDNZD,RSI-gated,f_candle|f_ema,10,-,0.9,NY07-16,467,38.12,0.143,1.09,7.7,-6.04
AUDNZD,RSI-gated,f_candle|f_ema,10,-,0.0,NY07-16,694,37.61,0.128,1.1,7.7,-6.55
AUDNZD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY07-16,1726,39.05,0.171,1.14,0.0,-8.95
