symbol,overlay,trades,WR_%,exp_R,PF,q_pass_%,score
AUDNZD,"{'adx_min': 18.0, 'add_vol_confirm': True}",477,44.65,0.34,1.44,46.2,19.73
AUDNZD,{'add_vol_confirm': True},567,43.56,0.307,1.4,38.5,14.79
AUDNZD,{},469,43.5,0.305,1.33,38.5,14.73
AUDNZD,{'adx_min': 18.0},392,43.62,0.309,1.33,23.1,7.16
AUDNZD,{'require_h1_rsi_align': True},361,45.98,0.38,1.46,15.4,5.68
AUDNZD,"{'adx_min': 18.0, 'require_h1_rsi_align': True}",297,46.46,0.394,1.47,7.7,2.31
AUDNZD,{'require_macd_align': True},331,44.11,0.323,1.25,7.7,-0.05
AUDNZD,"{'require_h1_rsi_align': True, 'require_macd_align': True}",264,46.21,0.386,1.35,0.0,-1.79
AUDNZD,"{'adx_min': 18.0, 'require_macd_align': True}",271,45.76,0.373,1.33,0.0,-2.24
AUDNZD,"{'adx_min': 20.0, 'require_h1_rsi_align': True, 'require_macd_align': True}",185,45.41,0.362,1.31,0.0,-2.59
AUDNZD,{'adx_min': 22.0},315,41.9,0.257,1.26,0.0,-6.1
