entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-04 15:10:00,2023-01-04 15:20:00,L,1.08526,1.08479,1.08479,1.08619,-1.0,sl,-0.54,0.46,-1.0,-1.0
2023-01-04 15:35:00,2023-01-04 16:05:00,L,1.08489,1.08449,1.08449,1.0857,-1.0,sl,-0.47,0.46,-0.93,-1.93
2023-01-04 16:10:00,2023-01-04 16:15:00,L,1.08472,1.08443,1.08443,1.0853,-1.0,sl,-0.34,0.46,-0.8,-2.73
2023-01-04 16:20:00,2023-01-04 16:30:00,L,1.08483,1.08573,1.08438,1.08573,2.0,tp,1.05,0.46,0.59,-2.14
2023-01-05 14:05:00,2023-01-05 14:40:00,L,1.08539,1.08397,1.08397,1.08823,-1.0,sl,-1.66,0.46,-2.12,-4.26
2023-01-05 17:30:00,2023-01-05 18:20:00,L,1.08457,1.08347,1.08347,1.08677,-1.0,sl,-1.28,0.46,-1.74,-6.0
2023-01-05 18:35:00,2023-01-05 20:00:00,L,1.0833,1.08427,1.08281,1.08427,2.0,tp,1.14,0.46,0.68,-5.32
2023-01-06 15:50:00,2023-01-06 16:40:00,L,1.08449,1.08277,1.08277,1.08794,-1.0,sl,-2.02,0.46,-2.48,-7.8
2023-01-09 16:05:00,2023-01-10 00:05:00,L,1.08384,1.08507,1.08217,1.08718,0.737,time,1.44,0.46,0.98,-6.82
2023-01-11 20:55:00,2023-01-11 21:55:00,L,1.08486,1.08434,1.08434,1.08591,-1.0,sl,-0.61,0.46,-1.07,-7.89
2023-01-11 22:15:00,2023-01-12 00:00:00,L,1.08523,1.08429,1.08429,1.08712,-1.0,sl,-1.1,0.46,-1.56,-9.45
2023-01-18 17:45:00,2023-01-18 18:20:00,S,1.08376,1.0824,1.08444,1.0824,2.0,tp,1.59,0.46,1.13,-8.32
2023-01-18 18:25:00,2023-01-18 23:40:00,S,1.08229,1.078,1.08443,1.078,2.0,tp,5.02,0.46,4.56,-3.76
2023-01-20 16:35:00,2023-01-20 17:10:00,S,1.07933,1.07829,1.07985,1.07829,2.0,tp,1.22,0.46,0.76,-3.0
2023-01-20 17:15:00,2023-01-23 00:00:00,S,1.07827,1.0751,1.07985,1.0751,2.0,tp,3.71,0.46,3.25,0.25
2023-01-23 21:55:00,2023-01-23 21:55:00,L,1.08305,1.08361,1.08277,1.08361,2.0,tp,0.66,0.46,0.2,0.45
2023-01-23 22:20:00,2023-01-23 22:40:00,L,1.08327,1.08277,1.08277,1.08427,-1.0,sl,-0.58,0.46,-1.04,-0.59
2023-01-25 15:00:00,2023-01-25 18:05:00,L,1.09263,1.09556,1.09116,1.09556,2.0,tp,3.43,0.46,2.97,2.38
2023-01-26 17:55:00,2023-01-27 00:00:00,L,1.09647,1.09578,1.09578,1.09785,-1.0,sl,-0.81,0.46,-1.27,1.11
2023-01-27 17:25:00,2023-01-27 17:25:00,L,1.09547,1.09596,1.09522,1.09596,2.0,tp,0.58,0.46,0.12,1.23
2023-01-27 17:30:00,2023-01-27 19:00:00,L,1.09597,1.09522,1.09522,1.09746,-1.0,sl,-0.87,0.46,-1.33,-0.1
2023-01-27 20:00:00,2023-01-27 23:15:00,L,1.09492,1.0945,1.0945,1.09576,-1.0,sl,-0.49,0.46,-0.95,-1.05
