entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2026-02-17 16:45:00,2026-02-17 16:50:00,S,1.17035,1.1698,1.17063,1.1698,2.0,tp,0.65,0.46,0.19,0.19
2026-02-17 16:55:00,2026-02-17 17:05:00,S,1.17002,1.17063,1.17063,1.1688,-1.0,sl,-0.71,0.46,-1.17,-0.98
2026-02-19 15:15:00,2026-02-19 23:15:00,L,1.18164,1.18134,1.18069,1.18354,-0.316,time,-0.35,0.46,-0.81,-1.79
2026-02-20 15:05:00,2026-02-20 15:35:00,L,1.18346,1.18415,1.18312,1.18415,2.0,tp,0.8,0.46,0.34,-1.45
2026-02-20 15:40:00,2026-02-20 23:40:00,L,1.18414,1.18539,1.18311,1.1862,1.215,time,1.46,0.46,1.0,-0.45
2026-02-23 16:05:00,2026-02-23 16:20:00,L,1.18396,1.18428,1.1838,1.18428,2.0,tp,0.38,0.46,-0.08,-0.53
2026-02-23 16:35:00,2026-02-23 17:40:00,L,1.18436,1.1838,1.1838,1.18549,-1.0,sl,-0.66,0.46,-1.12,-1.65
2026-02-23 18:20:00,2026-02-23 21:50:00,L,1.18364,1.18455,1.18319,1.18455,2.0,tp,1.06,0.46,0.6,-1.05
2026-02-26 15:50:00,2026-02-26 16:20:00,L,1.18817,1.18786,1.18786,1.18878,-1.0,sl,-0.36,0.46,-0.82,-1.87
2026-02-26 16:35:00,2026-02-26 16:45:00,L,1.18786,1.18743,1.18743,1.18873,-1.0,sl,-0.51,0.46,-0.97,-2.84
2026-02-26 16:55:00,2026-02-26 17:00:00,L,1.18752,1.18736,1.18736,1.18784,-1.0,sl,-0.19,0.46,-0.65,-3.49
2026-02-26 17:40:00,2026-02-27 00:55:00,L,1.1873,1.18589,1.18589,1.19012,-1.0,sl,-1.65,0.46,-2.11,-5.6
2026-02-27 15:50:00,2026-02-27 19:15:00,L,1.18764,1.18672,1.18672,1.18947,-1.0,sl,-1.07,0.46,-1.53,-7.13
2026-03-03 17:30:00,2026-03-04 01:30:00,L,1.19112,1.19481,1.18857,1.19621,1.449,time,4.32,0.46,3.86,-3.27
2026-03-06 16:30:00,2026-03-06 16:45:00,L,1.19094,1.19016,1.19016,1.1925,-1.0,sl,-0.91,0.46,-1.37,-4.64
2026-03-06 16:50:00,2026-03-06 16:50:00,L,1.19025,1.19101,1.18987,1.19101,2.0,tp,0.89,0.46,0.43,-4.21
2026-03-06 16:55:00,2026-03-06 18:00:00,L,1.19092,1.18987,1.18987,1.19302,-1.0,sl,-1.23,0.46,-1.69,-5.9
2026-03-12 15:50:00,2026-03-12 15:55:00,L,1.20836,1.20802,1.20802,1.20904,-1.0,sl,-0.4,0.46,-0.86,-6.76
2026-03-12 16:05:00,2026-03-12 16:45:00,L,1.20835,1.20773,1.20773,1.2096,-1.0,sl,-0.73,0.46,-1.19,-7.95
2026-03-12 16:55:00,2026-03-12 17:15:00,L,1.20811,1.20764,1.20764,1.20904,-1.0,sl,-0.55,0.46,-1.01,-8.96
2026-03-17 18:00:00,2026-03-17 21:55:00,L,1.21204,1.2129,1.21161,1.2129,2.0,tp,1.01,0.46,0.55,-8.41
2026-03-30 17:15:00,2026-03-30 18:50:00,L,1.19829,1.20006,1.19741,1.20006,2.0,tp,2.07,0.46,1.61,-6.8
2026-03-31 17:35:00,2026-03-31 17:55:00,L,1.20027,1.19974,1.19974,1.20134,-1.0,sl,-0.62,0.46,-1.08,-7.88
2026-03-31 18:00:00,2026-04-01 00:35:00,L,1.20074,1.19945,1.19945,1.20333,-1.0,sl,-1.51,0.46,-1.97,-9.85
2026-04-03 15:05:00,2026-04-03 15:15:00,L,1.2094,1.20989,1.20915,1.20989,2.0,tp,0.57,0.46,0.11,-9.74
2026-04-03 15:20:00,2026-04-03 22:05:00,L,1.20988,1.21134,1.20915,1.21134,2.0,tp,1.7,0.46,1.24,-8.5
2026-04-06 17:55:00,2026-04-07 00:10:00,L,1.21022,1.20949,1.20949,1.21168,-1.0,sl,-0.86,0.46,-1.32,-9.82
2026-04-07 17:20:00,2026-04-07 17:30:00,L,1.21555,1.21638,1.21513,1.21638,2.0,tp,0.97,0.46,0.51,-9.31
2026-04-07 17:35:00,2026-04-08 00:20:00,L,1.2169,1.22044,1.21513,1.22044,2.0,tp,4.15,0.46,3.69,-5.62
2026-04-10 16:00:00,2026-04-10 16:30:00,L,1.20927,1.20867,1.20867,1.21047,-1.0,sl,-0.7,0.46,-1.16,-6.78
2026-04-10 17:10:00,2026-04-10 17:35:00,L,1.20844,1.20907,1.20813,1.20907,2.0,tp,0.73,0.46,0.27,-6.51
2026-04-10 17:40:00,2026-04-10 19:00:00,L,1.20927,1.21142,1.2082,1.21142,2.0,tp,2.51,0.46,2.05,-4.46
2026-04-16 18:05:00,2026-04-16 19:30:00,L,1.2162,1.2159,1.2159,1.21679,-1.0,sl,-0.35,0.46,-0.81,-5.27
2026-04-23 15:05:00,2026-04-23 15:55:00,L,1.215,1.21595,1.21452,1.21595,2.0,tp,1.11,0.46,0.65,-4.62
2026-04-24 17:05:00,2026-04-24 17:20:00,L,1.21586,1.21535,1.21535,1.21688,-1.0,sl,-0.6,0.46,-1.06,-5.68
2026-04-24 17:25:00,2026-04-24 17:25:00,L,1.21546,1.2153,1.2153,1.21578,-1.0,sl,-0.19,0.46,-0.65,-6.33
2026-04-24 17:40:00,2026-04-27 00:05:00,L,1.21569,1.21507,1.21507,1.21693,-1.0,sl,-0.73,0.46,-1.19,-7.52
2026-04-29 17:10:00,2026-04-29 22:20:00,L,1.22164,1.22059,1.22059,1.22373,-1.0,sl,-1.22,0.46,-1.68,-9.2
2026-04-30 17:10:00,2026-04-30 23:00:00,L,1.21992,1.21834,1.21834,1.22308,-1.0,sl,-1.85,0.46,-2.31,-11.51
2026-05-01 17:30:00,2026-05-01 17:30:00,L,1.21987,1.21965,1.21965,1.22031,-1.0,sl,-0.26,0.46,-0.72,-12.23
2026-05-01 17:45:00,2026-05-01 18:10:00,L,1.21976,1.21948,1.21948,1.22032,-1.0,sl,-0.33,0.46,-0.79,-13.02
2026-05-11 15:55:00,2026-05-11 16:30:00,L,1.21702,1.21738,1.21684,1.21738,2.0,tp,0.42,0.46,-0.04,-13.06
2026-05-11 16:35:00,2026-05-11 17:15:00,L,1.21734,1.21684,1.21684,1.21835,-1.0,sl,-0.59,0.46,-1.05,-14.11
