entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-04 15:10:00,2023-01-04 15:20:00,L,1.08526,1.08479,1.08479,1.08619,-1.0,sl,-0.54,0.46,-1.0,-1.0
2023-01-04 15:35:00,2023-01-04 16:05:00,L,1.08489,1.08449,1.08449,1.0857,-1.0,sl,-0.47,0.46,-0.93,-1.93
2023-01-04 16:10:00,2023-01-04 16:15:00,L,1.08472,1.08443,1.08443,1.0853,-1.0,sl,-0.34,0.46,-0.8,-2.73
2023-01-04 16:20:00,2023-01-04 16:30:00,L,1.08483,1.08573,1.08438,1.08573,2.0,tp,1.05,0.46,0.59,-2.14
2023-01-04 16:35:00,2023-01-05 00:00:00,L,1.08591,1.08438,1.08438,1.08898,-1.0,sl,-1.79,0.46,-2.25,-4.39
2023-01-05 17:30:00,2023-01-05 18:20:00,L,1.08457,1.08347,1.08347,1.08677,-1.0,sl,-1.28,0.46,-1.74,-6.13
2023-01-05 18:35:00,2023-01-05 20:00:00,L,1.0833,1.08427,1.08281,1.08427,2.0,tp,1.14,0.46,0.68,-5.45
2023-01-06 15:35:00,2023-01-06 16:40:00,L,1.08394,1.08277,1.08277,1.08629,-1.0,sl,-1.37,0.46,-1.83,-7.28
2023-01-09 16:05:00,2023-01-10 00:05:00,L,1.08384,1.08507,1.08217,1.08718,0.737,time,1.44,0.46,0.98,-6.3
2023-01-18 17:50:00,2023-01-18 19:35:00,S,1.08322,1.08079,1.08444,1.08079,2.0,tp,2.85,0.46,2.39,-3.91
2023-01-20 16:35:00,2023-01-20 17:10:00,S,1.07933,1.07829,1.07985,1.07829,2.0,tp,1.22,0.46,0.76,-3.15
2023-01-20 17:20:00,2023-01-23 01:25:00,S,1.07768,1.07743,1.07986,1.07333,0.115,time,0.29,0.46,-0.17,-3.32
2023-01-25 15:05:00,2023-01-25 23:05:00,L,1.09304,1.09634,1.09117,1.09678,1.763,time,3.86,0.46,3.4,0.08
2023-01-26 17:15:00,2023-01-26 18:35:00,L,1.09614,1.09685,1.09578,1.09685,2.0,tp,0.83,0.46,0.37,0.45
2023-02-08 19:00:00,2023-02-08 19:20:00,L,1.09946,1.09914,1.09914,1.10009,-1.0,sl,-0.37,0.46,-0.83,-0.38
2023-02-16 16:05:00,2023-02-16 17:00:00,L,1.09833,1.09768,1.09768,1.09964,-1.0,sl,-0.76,0.46,-1.22,-1.6
2023-02-16 17:10:00,2023-02-16 17:30:00,L,1.0978,1.09935,1.09702,1.09935,2.0,tp,1.82,0.46,1.36,-0.24
2023-02-16 17:40:00,2023-02-17 00:00:00,L,1.09977,1.09703,1.09703,1.10525,-1.0,sl,-3.21,0.46,-3.67,-3.91
2023-02-20 15:05:00,2023-02-20 15:25:00,L,1.10507,1.10622,1.1045,1.10622,2.0,tp,1.35,0.46,0.89,-3.02
2023-02-20 15:45:00,2023-02-20 23:45:00,L,1.10571,1.10514,1.10448,1.10816,-0.465,time,-0.67,0.46,-1.13,-4.15
2023-02-21 16:05:00,2023-02-21 17:20:00,L,1.10225,1.10436,1.1012,1.10436,2.0,tp,2.47,0.46,2.01,-2.14
2023-03-02 15:40:00,2023-03-02 23:40:00,S,1.08198,1.08226,1.08258,1.08078,-0.466,time,-0.33,0.46,-0.79,-2.93
