exit_time,net_$,cum_net_$,equity_$,drawdown_%
2023-01-04 01:05:00,4.0,4.0,1004.0,0.0
2023-01-04 17:00:00,-3.18,0.82,1000.82,-0.32
2023-01-04 21:00:00,-3.21,-2.39,997.61,-0.64
2023-01-06 15:30:00,4.96,2.57,1002.57,-0.14
2023-01-06 17:15:00,12.38,14.95,1014.95,0.0
2023-01-11 00:05:00,-0.38,14.57,1014.57,-0.04
2023-01-11 23:15:00,2.4,16.97,1016.97,0.0
2023-01-13 17:45:00,5.95,22.92,1022.92,0.0
2023-01-20 17:20:00,6.05,28.97,1028.97,0.0
2023-01-23 15:45:00,-4.64,24.33,1024.33,-0.45
2023-01-23 17:30:00,4.17,28.5,1028.5,-0.05
2023-01-24 01:35:00,6.9,35.4,1035.4,0.0
2023-01-24 17:20:00,5.83,41.23,1041.23,0.0
2023-01-25 01:45:00,-1.22,40.01,1040.01,-0.12
2023-01-25 15:30:00,-2.22,37.79,1037.79,-0.33
2023-01-25 16:35:00,1.86,39.65,1039.65,-0.15
2023-01-26 00:40:00,3.92,43.57,1043.57,0.0
2023-01-26 18:20:00,-2.07,41.5,1041.5,-0.2
2023-01-26 22:10:00,4.55,46.05,1046.05,0.0
2023-02-01 19:15:00,-2.29,43.76,1043.76,-0.22
2023-02-02 21:55:00,-5.38,38.38,1038.38,-0.73
2023-02-06 16:00:00,3.78,42.16,1042.16,-0.37
2023-02-14 17:10:00,9.41,51.57,1051.57,0.0
2023-02-15 01:35:00,1.14,52.71,1052.71,0.0
2023-02-17 15:45:00,-1.12,51.59,1051.59,-0.11
2023-02-17 17:00:00,-2.03,49.56,1049.56,-0.3
2023-02-17 19:10:00,-4.33,45.23,1045.23,-0.71
2023-02-22 02:10:00,2.02,47.25,1047.25,-0.52
2023-02-22 21:55:00,6.2,53.45,1053.45,0.0
2023-02-23 16:50:00,-2.53,50.92,1050.92,-0.24
2023-02-27 17:05:00,-1.83,49.09,1049.09,-0.41
2023-02-27 21:00:00,-2.24,46.85,1046.85,-0.63
2023-03-03 02:00:00,-1.08,45.77,1045.77,-0.73
2023-03-03 21:10:00,-4.58,41.19,1041.19,-1.16
2023-03-06 17:05:00,-2.17,39.02,1039.02,-1.37
2023-03-07 01:30:00,0.28,39.3,1039.3,-1.34
2023-03-08 17:20:00,-2.44,36.86,1036.86,-1.57
2023-03-09 01:50:00,2.44,39.3,1039.3,-1.34
2023-03-09 21:30:00,5.11,44.41,1044.41,-0.86
2023-03-30 02:05:00,0.46,44.87,1044.87,-0.81
2023-04-03 01:10:00,5.37,50.24,1050.24,-0.3
2023-04-05 17:00:00,-1.61,48.63,1048.63,-0.46
2023-04-06 01:10:00,-3.34,45.29,1045.29,-0.77
2023-04-17 15:05:00,-0.76,44.53,1044.53,-0.85
2023-04-17 15:30:00,0.93,45.46,1045.46,-0.76
2023-04-17 23:35:00,-0.32,45.14,1045.14,-0.79
2023-04-19 16:55:00,-1.34,43.8,1043.8,-0.92
2023-04-19 17:00:00,-1.74,42.06,1042.06,-1.08
2023-04-20 02:05:00,2.82,44.88,1044.88,-0.81
2023-04-20 17:05:00,6.95,51.83,1051.83,-0.15
2023-04-21 16:25:00,-0.97,50.86,1050.86,-0.25
2023-04-24 00:55:00,-1.06,49.8,1049.8,-0.35
2023-04-25 01:05:00,-2.37,47.43,1047.43,-0.57
2023-04-26 18:55:00,-2.38,45.05,1045.05,-0.8
2023-04-27 15:30:00,-0.64,44.41,1044.41,-0.86
2023-04-27 20:45:00,-3.93,40.48,1040.48,-1.23
2023-05-03 17:35:00,-2.09,38.39,1038.39,-1.43
2023-05-05 17:25:00,6.58,44.97,1044.97,-0.8
2023-05-09 16:55:00,1.95,46.92,1046.92,-0.62
2023-05-10 15:30:00,2.11,49.03,1049.03,-0.42
2023-05-10 23:35:00,-0.22,48.81,1048.81,-0.44
2023-05-11 16:05:00,4.86,53.67,1053.67,0.0
2023-05-17 16:05:00,-2.22,51.45,1051.45,-0.21
2023-05-17 16:20:00,-1.17,50.28,1050.28,-0.32
2023-05-17 20:00:00,-3.06,47.22,1047.22,-0.61
2023-05-22 21:00:00,-2.19,45.03,1045.03,-0.82
2023-05-24 01:40:00,1.46,46.49,1046.49,-0.68
2023-05-24 16:55:00,4.36,50.85,1050.85,-0.27
2023-05-26 15:35:00,2.33,53.18,1053.18,-0.05
2023-05-31 20:40:00,-4.83,48.35,1048.35,-0.5
2023-06-06 16:55:00,-1.54,46.81,1046.81,-0.65
2023-06-07 01:10:00,3.0,49.81,1049.81,-0.37
2023-06-12 17:30:00,-1.99,47.82,1047.82,-0.56
2023-06-13 00:00:00,-3.07,44.75,1044.75,-0.85
2023-06-15 15:30:00,-1.86,42.89,1042.89,-1.02
2023-06-15 16:55:00,8.29,51.18,1051.18,-0.24
2023-06-16 17:15:00,-1.92,49.26,1049.26,-0.42
2023-06-16 17:45:00,-1.68,47.58,1047.58,-0.58
2023-06-26 16:00:00,1.1,48.68,1048.68,-0.47
2023-06-27 16:05:00,-2.11,46.57,1046.57,-0.67
2023-06-28 01:05:00,1.42,47.99,1047.99,-0.54
2023-06-29 23:35:00,-1.4,46.59,1046.59,-0.67
2023-07-06 00:50:00,2.78,49.37,1049.37,-0.41
2023-07-06 15:15:00,1.51,50.88,1050.88,-0.26
2023-07-06 23:20:00,5.72,56.6,1056.6,0.0
2023-07-07 17:35:00,7.8,64.4,1064.4,0.0
2023-07-10 18:50:00,-2.96,61.44,1061.44,-0.28
2023-07-14 16:05:00,-2.55,58.89,1058.89,-0.52
2023-07-14 17:00:00,-1.78,57.11,1057.11,-0.68
2023-07-20 17:15:00,-2.93,54.18,1054.18,-0.96
2023-07-25 16:15:00,-2.41,51.77,1051.77,-1.19
2023-07-26 00:35:00,3.84,55.61,1055.61,-0.83
2023-07-28 15:30:00,-1.81,53.8,1053.8,-1.0
2023-07-28 23:40:00,4.24,58.04,1058.04,-0.6
