symbol,quarter,trades,wins,WR_%,exp_R,PF,pass
AUDUSD,2023Q1,41,22,53.66,0.377,1.94,True
AUDUSD,2023Q2,41,15,36.59,0.019,1.03,False
AUDUSD,2023Q3,33,18,54.55,0.463,2.13,True
AUDUSD,2023Q4,37,18,48.65,0.281,1.61,True
AUDUSD,2024Q1,32,12,37.5,0.077,1.13,False
AUDUSD,2024Q2,42,21,50.0,0.354,1.74,True
AUDUSD,2024Q3,46,24,52.17,0.472,2.05,True
AUDUSD,2024Q4,41,20,48.78,0.526,2.17,True
AUDUSD,2025Q1,23,8,34.78,-0.085,0.87,False
AUDUSD,2025Q2,43,17,39.53,0.063,1.1,False
AUDUSD,2025Q3,49,16,32.65,-0.103,0.85,False
AUDUSD,2025Q4,35,17,48.57,0.464,2.01,True
AUDUSD,2026Q1,14,9,64.29,0.749,3.5,False
