symbol,mode,confirms,memory,min_r,atr_min,session,trades,WR_%,exp_R,PF,q_pass_%,score
AUDUSD,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-12,477,45.49,0.365,1.51,53.8,24.42
AUDUSD,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-12,467,45.18,0.355,1.5,46.2,20.26
AUDUSD,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-12,419,44.15,0.325,1.43,46.2,19.23
AUDUSD,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-13,539,45.64,0.369,1.52,38.5,16.87
AUDUSD,RSI-gated,f_candle|f_ema,15,-,0.9,NY07-16,678,44.4,0.332,1.46,38.5,15.63
AUDUSD,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-12,410,44.15,0.324,1.44,38.5,15.38
AUDUSD,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-13,465,44.09,0.323,1.44,38.5,15.32
AUDUSD,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-13,477,44.03,0.321,1.43,38.5,15.26
AUDUSD,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-13,526,45.44,0.363,1.51,30.8,12.82
AUDUSD,RSI-gated,f_candle|f_ema,15,-,0.0,NY07-16,809,43.02,0.29,1.39,30.8,10.4
AUDUSD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-12,1502,45.87,0.376,1.49,23.1,9.41
AUDUSD,OR,f_candle|f_ema,10,1,0.9,NY08-12,1402,45.79,0.374,1.47,23.1,9.33
AUDUSD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-13,1638,45.48,0.364,1.47,23.1,9.02
AUDUSD,OR,f_candle|f_ema,10,1,0.9,NY08-13,1526,45.48,0.364,1.46,23.1,9.02
AUDUSD,RSI-gated,f_candle|f_ema,10,-,0.9,NY07-16,609,42.2,0.266,1.33,23.1,5.74
AUDUSD,OR,f_candle|f_ema,10,1,0.9,NY07-16,1948,43.99,0.32,1.39,7.7,-0.16
AUDUSD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY07-16,2075,43.9,0.317,1.39,7.7,-0.25
AUDUSD,RSI-gated,f_candle|f_ema,10,-,0.0,NY07-16,728,41.48,0.245,1.31,7.7,-2.67
