entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 17:05:00,2023-01-04 01:05:00,S,0.67481,0.67266,0.67676,0.67092,1.104,time,4.3,0.3,4.0,4.0
2023-01-04 15:25:00,2023-01-04 17:00:00,L,0.68666,0.68522,0.68522,0.68954,-1.0,sl,-2.88,0.3,-3.18,0.82
2023-01-04 17:20:00,2023-01-04 21:00:00,L,0.68476,0.6833,0.6833,0.68767,-1.0,sl,-2.91,0.3,-3.21,-2.39
2023-01-04 21:20:00,2023-01-05 04:05:00,L,0.68444,0.68181,0.68181,0.68971,-1.0,sl,-5.27,0.3,-5.57,-7.96
2023-01-05 21:15:00,2023-01-06 03:00:00,S,0.6758,0.67727,0.67727,0.67286,-1.0,sl,-2.94,0.3,-3.24,-11.2
2023-01-06 15:15:00,2023-01-06 15:30:00,L,0.67344,0.67607,0.67213,0.67607,2.0,tp,5.26,0.3,4.96,-6.24
2023-01-06 15:35:00,2023-01-06 17:15:00,L,0.67518,0.68152,0.67201,0.68152,2.0,tp,12.68,0.3,12.38,6.14
2023-01-09 21:00:00,2023-01-09 22:15:00,L,0.69253,0.69192,0.69192,0.69376,-1.0,sl,-1.23,0.3,-1.53,4.61
2023-01-10 16:05:00,2023-01-11 00:05:00,L,0.68915,0.68911,0.68585,0.69574,-0.012,time,-0.08,0.3,-0.38,4.23
2023-01-11 15:15:00,2023-01-11 23:15:00,L,0.68938,0.69073,0.6872,0.69373,0.62,time,2.7,0.3,2.4,6.63
2023-01-13 16:10:00,2023-01-13 17:45:00,L,0.69299,0.69612,0.69143,0.69612,2.0,tp,6.25,0.3,5.95,12.58
2023-01-20 14:40:00,2023-01-20 15:50:00,L,0.69234,0.69137,0.69137,0.69428,-1.0,sl,-1.94,0.3,-2.24,10.34
2023-01-20 16:15:00,2023-01-20 17:20:00,L,0.6925,0.69567,0.69091,0.69567,2.0,tp,6.35,0.3,6.05,16.39
2023-01-23 14:45:00,2023-01-23 15:45:00,L,0.69984,0.69808,0.69808,0.70336,-1.0,sl,-3.52,0.3,-3.82,12.57
2023-01-23 16:45:00,2023-01-23 17:30:00,L,0.69721,0.69945,0.69609,0.69945,2.0,tp,4.47,0.3,4.17,16.74
2023-01-23 22:05:00,2023-01-24 06:05:00,L,0.7025,0.70282,0.70096,0.70557,0.208,time,0.64,0.3,0.34,17.08
2023-01-24 17:10:00,2023-01-24 17:20:00,L,0.70073,0.70379,0.6992,0.70379,2.0,tp,6.13,0.3,5.83,22.91
2023-01-24 17:45:00,2023-01-25 01:45:00,L,0.70451,0.70405,0.6992,0.71512,-0.087,time,-0.92,0.3,-1.22,21.69
2023-01-25 15:00:00,2023-01-25 15:30:00,L,0.70833,0.70713,0.70713,0.71074,-1.0,sl,-2.41,0.3,-2.71,18.98
2023-01-25 16:10:00,2023-01-25 16:45:00,L,0.70694,0.70861,0.70611,0.70861,2.0,tp,3.33,0.3,3.03,22.01
2023-01-26 18:15:00,2023-01-26 18:20:00,L,0.70882,0.70793,0.70793,0.71059,-1.0,sl,-1.77,0.3,-2.07,19.94
