entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2026-02-19 17:55:00,2026-02-20 01:55:00,S,0.7055,0.70565,0.7068,0.70289,-0.115,time,-0.3,0.3,-0.6,-0.6
2026-02-20 15:10:00,2026-02-20 15:40:00,L,0.70473,0.70412,0.70412,0.70596,-1.0,sl,-1.23,0.3,-1.53,-2.13
2026-02-20 15:55:00,2026-02-20 17:00:00,L,0.70502,0.70717,0.70395,0.70717,2.0,tp,4.29,0.3,3.99,1.86
2026-02-23 17:05:00,2026-02-23 18:00:00,S,0.70745,0.70583,0.70826,0.70583,2.0,tp,3.24,0.3,2.94,4.8
2026-02-24 17:55:00,2026-02-24 18:05:00,S,0.70524,0.70597,0.70597,0.70378,-1.0,sl,-1.46,0.3,-1.76,3.04
2026-02-26 15:10:00,2026-02-26 15:40:00,L,0.71198,0.71115,0.71115,0.71364,-1.0,sl,-1.66,0.3,-1.96,1.08
2026-02-26 16:30:00,2026-02-26 16:30:00,L,0.71086,0.71031,0.71031,0.71196,-1.0,sl,-1.1,0.3,-1.4,-0.32
2026-02-26 16:50:00,2026-02-26 17:00:00,L,0.71096,0.7101,0.7101,0.71268,-1.0,sl,-1.72,0.3,-2.02,-2.34
2026-02-27 17:05:00,2026-03-02 00:00:00,L,0.71094,0.70965,0.70965,0.71353,-1.0,sl,-2.59,0.3,-2.89,-5.23
2026-03-03 19:00:00,2026-03-03 19:30:00,S,0.70246,0.70151,0.70294,0.70151,2.0,tp,1.9,0.3,1.6,-3.63
2026-03-11 18:25:00,2026-03-11 19:35:00,L,0.71518,0.71443,0.71443,0.71667,-1.0,sl,-1.49,0.3,-1.79,-5.42
2026-03-13 15:05:00,2026-03-13 17:20:00,S,0.70475,0.70163,0.70631,0.70163,2.0,tp,6.24,0.3,5.94,0.52
2026-03-16 18:40:00,2026-03-16 20:25:00,L,0.70532,0.70721,0.70437,0.70721,2.0,tp,3.78,0.3,3.48,4.0
2026-03-17 17:45:00,2026-03-17 19:05:00,L,0.70916,0.71068,0.7084,0.71068,2.0,tp,3.04,0.3,2.74,6.74
2026-03-18 17:15:00,2026-03-18 20:00:00,S,0.70809,0.70891,0.70891,0.70645,-1.0,sl,-1.64,0.3,-1.94,4.8
2026-03-23 17:20:00,2026-03-24 01:20:00,S,0.70358,0.70172,0.70631,0.69812,0.682,time,3.72,0.3,3.42,8.22
2026-04-02 16:10:00,2026-04-02 16:45:00,S,0.6879,0.6887,0.6887,0.68631,-1.0,sl,-1.59,0.3,-1.89,6.33
2026-04-13 16:20:00,2026-04-13 19:30:00,L,0.70448,0.70749,0.70297,0.70749,2.0,tp,6.02,0.3,5.72,12.05
2026-04-16 18:40:00,2026-04-16 19:30:00,L,0.71693,0.716,0.716,0.71878,-1.0,sl,-1.85,0.3,-2.15,9.9
2026-04-17 18:25:00,2026-04-17 18:30:00,L,0.7188,0.71944,0.71848,0.71944,2.0,tp,1.27,0.3,0.97,10.87
2026-04-22 16:05:00,2026-04-22 16:05:00,L,0.71487,0.71551,0.71455,0.71551,2.0,tp,1.27,0.3,0.97,11.84
2026-04-22 16:20:00,2026-04-23 00:20:00,L,0.71546,0.71556,0.71454,0.71729,0.109,time,0.2,0.3,-0.1,11.74
2026-04-28 16:15:00,2026-04-29 00:15:00,L,0.71636,0.71776,0.71521,0.71866,1.219,time,2.8,0.3,2.5,14.24
2026-05-06 15:45:00,2026-05-06 16:05:00,L,0.72432,0.7231,0.7231,0.72676,-1.0,sl,-2.44,0.3,-2.74,11.5
2026-05-06 16:15:00,2026-05-06 19:50:00,L,0.72377,0.7228,0.7228,0.72572,-1.0,sl,-1.95,0.3,-2.25,9.25
2026-05-07 16:15:00,2026-05-07 17:00:00,L,0.72482,0.72442,0.72442,0.72561,-1.0,sl,-0.79,0.3,-1.09,8.16
2026-05-07 17:10:00,2026-05-07 17:15:00,L,0.72447,0.72506,0.72417,0.72506,2.0,tp,1.19,0.3,0.89,9.05
2026-05-07 17:25:00,2026-05-07 18:50:00,L,0.72521,0.72417,0.72417,0.72728,-1.0,sl,-2.07,0.3,-2.37,6.68
