entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 17:05:00,2023-01-04 01:05:00,S,0.67481,0.67266,0.67676,0.67092,1.104,time,4.3,0.3,4.0,4.0
2023-01-04 15:25:00,2023-01-04 17:00:00,L,0.68666,0.68522,0.68522,0.68954,-1.0,sl,-2.88,0.3,-3.18,0.82
2023-01-04 17:20:00,2023-01-04 21:00:00,L,0.68476,0.6833,0.6833,0.68767,-1.0,sl,-2.91,0.3,-3.21,-2.39
2023-01-06 15:15:00,2023-01-06 15:30:00,L,0.67344,0.67607,0.67213,0.67607,2.0,tp,5.26,0.3,4.96,2.57
2023-01-06 15:35:00,2023-01-06 17:15:00,L,0.67518,0.68152,0.67201,0.68152,2.0,tp,12.68,0.3,12.38,14.95
2023-01-10 16:05:00,2023-01-11 00:05:00,L,0.68915,0.68911,0.68585,0.69574,-0.012,time,-0.08,0.3,-0.38,14.57
2023-01-11 15:15:00,2023-01-11 23:15:00,L,0.68938,0.69073,0.6872,0.69373,0.62,time,2.7,0.3,2.4,16.97
2023-01-13 16:10:00,2023-01-13 17:45:00,L,0.69299,0.69612,0.69143,0.69612,2.0,tp,6.25,0.3,5.95,22.92
2023-01-20 16:15:00,2023-01-20 17:20:00,L,0.6925,0.69567,0.69091,0.69567,2.0,tp,6.35,0.3,6.05,28.97
2023-01-23 15:05:00,2023-01-23 15:45:00,L,0.70025,0.69808,0.69808,0.70459,-1.0,sl,-4.34,0.3,-4.64,24.33
2023-01-23 16:45:00,2023-01-23 17:30:00,L,0.69721,0.69945,0.69609,0.69945,2.0,tp,4.47,0.3,4.17,28.5
2023-01-23 17:35:00,2023-01-24 01:35:00,L,0.69928,0.70288,0.69643,0.70498,1.264,time,7.2,0.3,6.9,35.4
2023-01-24 17:10:00,2023-01-24 17:20:00,L,0.70073,0.70379,0.6992,0.70379,2.0,tp,6.13,0.3,5.83,41.23
2023-01-24 17:45:00,2023-01-25 01:45:00,L,0.70451,0.70405,0.6992,0.71512,-0.087,time,-0.92,0.3,-1.22,40.01
2023-01-25 15:10:00,2023-01-25 15:30:00,L,0.70809,0.70713,0.70713,0.71001,-1.0,sl,-1.92,0.3,-2.22,37.79
2023-01-25 16:00:00,2023-01-25 16:35:00,L,0.70665,0.70773,0.70611,0.70773,2.0,tp,2.16,0.3,1.86,39.65
2023-01-25 16:40:00,2023-01-26 00:40:00,L,0.70785,0.70996,0.70609,0.71136,1.202,time,4.22,0.3,3.92,43.57
2023-01-26 18:15:00,2023-01-26 18:20:00,L,0.70882,0.70793,0.70793,0.71059,-1.0,sl,-1.77,0.3,-2.07,41.5
2023-01-26 18:30:00,2023-01-26 22:10:00,L,0.70901,0.71143,0.7078,0.71143,2.0,tp,4.85,0.3,4.55,46.05
2023-02-01 17:15:00,2023-02-01 19:15:00,L,0.70711,0.70612,0.70612,0.7091,-1.0,sl,-1.99,0.3,-2.29,43.76
2023-02-02 17:35:00,2023-02-02 21:55:00,L,0.70941,0.70687,0.70687,0.71449,-1.0,sl,-5.08,0.3,-5.38,38.38
