exit_time,net_$,cum_net_$,equity_$,drawdown_%
2023-01-03 16:40:00,1.13,1.13,1001.13,0.0
2023-01-03 17:05:00,3.93,5.06,1005.06,0.0
2023-01-03 21:35:00,-7.32,-2.26,997.74,-0.73
2023-01-04 17:00:00,3.57,1.31,1001.31,-0.37
2023-01-05 01:50:00,5.83,7.14,1007.14,0.0
2023-01-05 23:55:00,0.94,8.08,1008.08,0.0
2023-01-06 23:35:00,0.66,8.74,1008.74,0.0
2023-01-10 17:00:00,-4.02,4.72,1004.72,-0.4
2023-01-12 00:15:00,1.81,6.53,1006.53,-0.22
2023-01-12 15:25:00,-4.97,1.56,1001.56,-0.71
2023-01-12 17:10:00,-7.74,-6.18,993.82,-1.48
2023-01-13 02:10:00,-1.76,-7.94,992.06,-1.65
2023-01-18 15:30:00,3.59,-4.35,995.65,-1.3
2023-01-18 23:55:00,6.9,2.55,1002.55,-0.61
2023-01-20 00:45:00,1.65,4.2,1004.2,-0.45
2023-01-23 01:35:00,4.81,9.01,1009.01,0.0
2023-01-24 02:45:00,-1.61,7.4,1007.4,-0.16
2023-01-24 22:45:00,-2.07,5.33,1005.33,-0.36
2023-01-27 00:35:00,5.22,10.55,1010.55,0.0
2023-01-27 18:05:00,-2.35,8.2,1008.2,-0.23
2023-01-30 23:25:00,-1.61,6.59,1006.59,-0.39
2023-02-01 16:35:00,-1.98,4.61,1004.61,-0.59
2023-02-01 21:45:00,8.32,12.93,1012.93,0.0
2023-02-03 03:55:00,1.04,13.97,1013.97,0.0
2023-02-03 15:35:00,5.44,19.41,1019.41,0.0
2023-02-03 17:00:00,2.39,21.8,1021.8,0.0
2023-02-06 01:10:00,2.32,24.12,1024.12,0.0
2023-02-08 18:15:00,2.85,26.97,1026.97,0.0
2023-02-09 02:20:00,0.33,27.3,1027.3,0.0
2023-02-09 15:30:00,-1.89,25.41,1025.41,-0.18
2023-02-09 23:50:00,-0.89,24.52,1024.52,-0.27
2023-02-15 01:10:00,2.8,27.32,1027.32,0.0
2023-02-20 01:25:00,3.82,31.14,1031.14,0.0
2023-02-20 16:55:00,1.11,32.25,1032.25,0.0
2023-02-21 01:00:00,-0.28,31.97,1031.97,-0.03
2023-02-21 23:45:00,-0.15,31.82,1031.82,-0.04
2023-02-23 02:30:00,2.27,34.09,1034.09,0.0
2023-02-24 21:15:00,6.42,40.51,1040.51,0.0
2023-03-02 01:05:00,3.95,44.46,1044.46,0.0
2023-03-02 23:40:00,2.47,46.93,1046.93,0.0
2023-03-06 17:10:00,2.82,49.75,1049.75,0.0
2023-03-07 01:30:00,2.52,52.27,1052.27,0.0
2023-03-08 17:25:00,5.52,57.79,1057.79,0.0
2023-03-09 01:35:00,0.23,58.02,1058.02,0.0
2023-03-09 19:40:00,2.87,60.89,1060.89,0.0
2023-03-13 00:20:00,4.33,65.22,1065.22,0.0
2023-03-13 16:35:00,-6.22,59.0,1059.0,-0.58
2023-03-14 02:20:00,3.26,62.26,1062.26,-0.28
2023-03-21 17:40:00,7.63,69.89,1069.89,0.0
2023-03-22 02:05:00,0.71,70.6,1070.6,0.0
2023-03-23 18:35:00,4.82,75.42,1075.42,0.0
2023-03-23 21:15:00,3.86,79.28,1079.28,0.0
2023-03-24 15:55:00,-2.8,76.48,1076.48,-0.26
2023-03-30 22:00:00,-3.24,73.24,1073.24,-0.56
2023-03-31 22:55:00,-4.57,68.67,1068.67,-0.98
2023-04-04 17:05:00,2.49,71.16,1071.16,-0.75
2023-04-04 18:05:00,7.63,78.79,1078.79,-0.05
2023-04-05 02:35:00,1.5,80.29,1080.29,0.0
2023-04-05 16:45:00,-1.84,78.45,1078.45,-0.17
2023-04-05 19:20:00,-4.49,73.96,1073.96,-0.59
2023-04-07 02:50:00,0.89,74.85,1074.85,-0.5
2023-04-07 21:25:00,4.04,78.89,1078.89,-0.13
2023-04-12 15:30:00,3.5,82.39,1082.39,0.0
