symbol,quarter,trades,wins,WR_%,exp_R,PF,pass
CADCHF,2023Q1,55,39,70.91,0.62,3.59,True
CADCHF,2023Q2,54,30,55.56,0.367,1.99,True
CADCHF,2023Q3,67,34,50.75,0.345,1.87,True
CADCHF,2023Q4,59,30,50.85,0.304,1.84,True
CADCHF,2024Q1,53,20,37.74,-0.016,0.97,False
CADCHF,2024Q2,47,22,46.81,0.129,1.26,False
CADCHF,2024Q3,55,34,61.82,0.367,1.97,True
CADCHF,2024Q4,61,32,52.46,0.226,1.57,True
CADCHF,2025Q1,56,29,51.79,0.375,2.02,True
CADCHF,2025Q2,59,30,50.85,0.311,1.71,True
CADCHF,2025Q3,56,29,51.79,0.432,2.06,True
CADCHF,2025Q4,55,29,52.73,0.297,1.65,True
CADCHF,2026Q1,28,12,42.86,0.13,1.26,False
