symbol,mode,confirms,memory,min_r,atr_min,session,trades,WR_%,exp_R,PF,q_pass_%,score
CADCHF,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-13,1560,48.72,0.462,1.68,69.2,35.33
CADCHF,OR,f_candle|f_ema,10,1,0.9,NY08-12,1367,49.31,0.479,1.69,61.5,32.07
CADCHF,OR,f_candle|f_ema,10,1,0.9,NY08-13,1463,49.28,0.478,1.69,61.5,32.05
CADCHF,RSI-gated,f_candle|f_ema,10,-,0.9,NY07-16,503,49.3,0.479,1.71,53.8,28.23
CADCHF,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-12,1451,48.79,0.464,1.68,53.8,27.72
CADCHF,RSI-gated,f_candle|f_ema,10,-,0.0,NY07-16,564,48.4,0.452,1.65,53.8,27.33
CADCHF,OR,f_candle|f_ema,10,1,0.9,NY07-16,2026,47.78,0.433,1.62,53.8,26.7
CADCHF,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-13,413,51.33,0.54,1.72,46.2,26.41
CADCHF,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-13,410,50.98,0.529,1.7,46.2,26.05
CADCHF,RSI-gated,f_candle|f_ema,15,-,0.9,NY07-16,564,49.47,0.484,1.7,46.2,24.55
CADCHF,RSI-gated,f_candle|f_ema,15,-,0.0,NY07-16,628,48.73,0.462,1.64,46.2,23.8
CADCHF,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY07-16,2160,47.27,0.418,1.6,46.2,22.35
CADCHF,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-12,375,51.47,0.544,1.72,30.8,18.85
CADCHF,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-12,374,51.34,0.54,1.71,30.8,18.72
CADCHF,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-13,362,51.1,0.533,1.73,23.1,14.64
CADCHF,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-13,359,50.7,0.521,1.7,23.1,14.23
CADCHF,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-12,329,50.76,0.523,1.7,15.4,10.45
CADCHF,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-12,328,50.61,0.518,1.69,15.4,10.3
