symbol,overlay,trades,WR_%,exp_R,PF,q_pass_%,score
CADCHF,"{'adx_min': 20.0, 'require_h1_rsi_align': True, 'require_macd_align': True}",705,52.48,0.574,1.77,76.9,42.94
CADCHF,"{'require_h1_rsi_align': True, 'require_macd_align': True}",935,52.94,0.588,1.87,69.2,39.56
CADCHF,{'require_h1_rsi_align': True},1376,52.03,0.561,1.95,69.2,38.65
CADCHF,{'require_macd_align': True},1027,50.63,0.519,1.68,69.2,37.25
CADCHF,"{'adx_min': 18.0, 'require_h1_rsi_align': True}",1164,50.6,0.518,1.81,69.2,37.22
CADCHF,{},1560,48.72,0.462,1.68,69.2,35.33
CADCHF,"{'adx_min': 18.0, 'require_macd_align': True}",850,50.71,0.521,1.65,61.5,33.48
CADCHF,{'adx_min': 22.0},1050,48.76,0.463,1.62,61.5,31.53
CADCHF,{'add_vol_confirm': True},1648,48.54,0.456,1.68,61.5,31.31
CADCHF,{'adx_min': 18.0},1322,48.03,0.441,1.61,53.8,26.96
CADCHF,"{'adx_min': 18.0, 'add_vol_confirm': True}",1384,47.9,0.437,1.6,53.8,26.83
