entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 16:20:00,2023-01-03 16:40:00,L,0.68419,0.68482,0.68388,0.68482,2.0,tp,1.59,0.46,1.13,1.13
2023-01-03 16:55:00,2023-01-03 17:05:00,L,0.68478,0.6865,0.68392,0.6865,2.0,tp,4.39,0.46,3.93,5.06
2023-01-03 17:20:00,2023-01-03 21:35:00,L,0.68662,0.68393,0.68393,0.692,-1.0,sl,-6.86,0.46,-7.32,-2.26
2023-01-03 22:45:00,2023-01-04 00:00:00,L,0.6844,0.68506,0.68407,0.68506,2.0,tp,1.68,0.46,1.22,-1.04
2023-01-06 15:35:00,2023-01-06 23:35:00,L,0.68994,0.69038,0.68727,0.69527,0.165,time,1.12,0.46,0.66,-0.38
2023-01-12 17:55:00,2023-01-12 18:25:00,L,0.69241,0.69417,0.69153,0.69417,2.0,tp,4.48,0.46,4.02,3.64
2023-01-12 18:40:00,2023-01-13 02:40:00,L,0.69376,0.69318,0.69155,0.69818,-0.263,time,-1.48,0.46,-1.94,1.7
2023-01-19 16:20:00,2023-01-20 00:20:00,S,0.68059,0.68012,0.68156,0.67866,0.487,time,1.2,0.46,0.74,2.44
2023-01-23 17:50:00,2023-01-24 01:50:00,L,0.68896,0.68935,0.68765,0.69159,0.297,time,0.99,0.46,0.53,2.97
2023-01-25 15:30:00,2023-01-25 16:55:00,L,0.68931,0.6884,0.6884,0.69112,-1.0,sl,-2.31,0.46,-2.77,0.2
2023-02-03 15:25:00,2023-02-03 15:35:00,L,0.68409,0.6864,0.68293,0.6864,2.0,tp,5.9,0.46,5.44,5.64
2023-02-06 17:45:00,2023-02-06 20:50:00,L,0.68894,0.6907,0.68806,0.6907,2.0,tp,4.48,0.46,4.02,9.66
2023-02-09 14:15:00,2023-02-09 22:15:00,S,0.68528,0.68543,0.68625,0.68334,-0.155,time,-0.38,0.46,-0.84,8.82
2023-02-09 22:35:00,2023-02-10 02:25:00,S,0.68539,0.6859,0.6859,0.68437,-1.0,sl,-1.3,0.46,-1.76,7.06
2023-02-13 15:30:00,2023-02-13 16:40:00,L,0.69087,0.68987,0.68987,0.69286,-1.0,sl,-2.54,0.46,-3.0,4.06
2023-02-13 17:10:00,2023-02-13 17:25:00,L,0.68964,0.69032,0.6893,0.69032,2.0,tp,1.73,0.46,1.27,5.33
2023-02-13 17:30:00,2023-02-13 22:50:00,L,0.6907,0.68929,0.68929,0.69351,-1.0,sl,-3.58,0.46,-4.04,1.29
2023-02-20 16:00:00,2023-02-20 16:55:00,S,0.68674,0.6861,0.68706,0.6861,2.0,tp,1.62,0.46,1.16,2.45
2023-02-20 17:00:00,2023-02-21 01:00:00,S,0.68612,0.68605,0.68707,0.68422,0.074,time,0.18,0.46,-0.28,2.17
2023-02-23 18:50:00,2023-02-23 19:20:00,L,0.68843,0.68804,0.68804,0.68921,-1.0,sl,-0.99,0.46,-1.45,0.72
2023-02-23 19:40:00,2023-02-24 03:40:00,L,0.68883,0.68965,0.68786,0.69077,0.845,time,2.09,0.46,1.63,2.35
2023-02-24 14:05:00,2023-02-24 15:45:00,L,0.68857,0.6878,0.6878,0.69011,-1.0,sl,-1.96,0.46,-2.42,-0.07
2023-02-24 17:05:00,2023-02-24 21:15:00,L,0.6882,0.6909,0.68685,0.6909,2.0,tp,6.88,0.46,6.42,6.35
2023-02-27 14:15:00,2023-02-27 14:40:00,L,0.69113,0.69168,0.69086,0.69168,2.0,tp,1.4,0.46,0.94,7.29
2023-02-27 14:45:00,2023-02-27 15:50:00,L,0.69182,0.69084,0.69084,0.69377,-1.0,sl,-2.49,0.46,-2.95,4.34
2023-02-27 17:35:00,2023-02-27 20:40:00,L,0.69034,0.68969,0.68969,0.69164,-1.0,sl,-1.66,0.46,-2.12,2.22
2023-03-02 14:45:00,2023-03-02 17:15:00,L,0.69102,0.69256,0.69025,0.69256,2.0,tp,3.91,0.46,3.45,5.67
2023-03-07 14:50:00,2023-03-07 16:25:00,S,0.68442,0.68489,0.68489,0.68347,-1.0,sl,-1.21,0.46,-1.67,4.0
2023-03-09 15:05:00,2023-03-09 16:05:00,S,0.67979,0.6805,0.6805,0.67836,-1.0,sl,-1.82,0.46,-2.28,1.72
2023-03-09 16:50:00,2023-03-09 19:40:00,S,0.68039,0.6792,0.68098,0.6792,2.0,tp,3.03,0.46,2.57,4.29
2023-03-10 14:35:00,2023-03-10 16:15:00,S,0.67119,0.66884,0.67236,0.66884,2.0,tp,5.99,0.46,5.53,9.82
2023-03-13 17:30:00,2023-03-13 17:45:00,S,0.66545,0.66595,0.66595,0.66444,-1.0,sl,-1.28,0.46,-1.74,8.08
2023-03-13 18:05:00,2023-03-13 18:30:00,S,0.66565,0.66381,0.66657,0.66381,2.0,tp,4.68,0.46,4.22,12.3
2023-03-13 18:50:00,2023-03-14 02:50:00,S,0.66389,0.66381,0.66655,0.65856,0.03,time,0.2,0.46,-0.26,12.04
2023-03-22 15:25:00,2023-03-22 15:50:00,S,0.67368,0.67414,0.67414,0.67277,-1.0,sl,-1.16,0.46,-1.62,10.42
2023-03-23 14:25:00,2023-03-23 15:00:00,S,0.67089,0.67002,0.67132,0.67002,2.0,tp,2.21,0.46,1.75,12.17
2023-04-05 15:15:00,2023-04-05 15:15:00,S,0.67247,0.67188,0.67277,0.67188,2.0,tp,1.51,0.46,1.05,13.22
2023-04-05 15:20:00,2023-04-05 16:45:00,S,0.67214,0.67277,0.67277,0.67088,-1.0,sl,-1.6,0.46,-2.06,11.16
2023-04-05 19:55:00,2023-04-05 20:15:00,S,0.67288,0.67346,0.67346,0.67171,-1.0,sl,-1.49,0.46,-1.95,9.21
2023-04-05 21:20:00,2023-04-06 00:00:00,S,0.67367,0.67288,0.67407,0.67288,2.0,tp,2.02,0.46,1.56,10.77
2023-04-07 16:15:00,2023-04-07 17:05:00,S,0.67113,0.67049,0.67145,0.67049,2.0,tp,1.62,0.46,1.16,11.93
2023-04-07 17:10:00,2023-04-10 01:15:00,S,0.67039,0.66961,0.67144,0.66828,0.741,time,1.99,0.46,1.53,13.46
2023-04-11 17:20:00,2023-04-12 01:20:00,S,0.67092,0.67042,0.67156,0.66964,0.784,time,1.27,0.46,0.81,14.27
2023-04-13 21:25:00,2023-04-13 21:40:00,S,0.66542,0.66562,0.66562,0.66503,-1.0,sl,-0.5,0.46,-0.96,13.31
2023-04-20 19:05:00,2023-04-20 21:55:00,S,0.66399,0.66287,0.66455,0.66287,2.0,tp,2.84,0.46,2.38,15.69
2023-04-25 18:05:00,2023-04-25 19:15:00,S,0.65511,0.65428,0.65552,0.65428,2.0,tp,2.11,0.46,1.65,17.34
2023-04-26 15:30:00,2023-04-26 16:25:00,S,0.65242,0.64999,0.65363,0.64999,2.0,tp,6.19,0.46,5.73,23.07
2023-04-26 20:20:00,2023-04-26 21:05:00,S,0.65473,0.6539,0.65514,0.6539,2.0,tp,2.1,0.46,1.64,24.71
2023-05-03 14:55:00,2023-05-03 17:00:00,S,0.65232,0.65081,0.65307,0.65081,2.0,tp,3.85,0.46,3.39,28.1
2023-05-03 20:15:00,2023-05-03 20:55:00,S,0.65203,0.65125,0.65242,0.65125,2.0,tp,1.98,0.46,1.52,29.62
2023-05-04 17:25:00,2023-05-04 20:05:00,S,0.652,0.65374,0.65374,0.64852,-1.0,sl,-4.43,0.46,-4.89,24.73
2023-05-12 14:45:00,2023-05-12 16:20:00,S,0.66218,0.66307,0.66307,0.6604,-1.0,sl,-2.27,0.46,-2.73,22.0
2023-05-12 17:05:00,2023-05-15 01:10:00,S,0.66283,0.66222,0.66429,0.65992,0.419,time,1.55,0.46,1.09,23.09
2023-05-18 19:35:00,2023-05-19 03:35:00,L,0.66955,0.67031,0.66905,0.67056,1.511,time,1.94,0.46,1.48,24.57
2023-05-22 15:25:00,2023-05-22 15:40:00,S,0.66338,0.66387,0.66387,0.66241,-1.0,sl,-1.24,0.46,-1.7,22.87
2023-05-22 17:10:00,2023-05-22 17:50:00,S,0.66361,0.66515,0.66515,0.66053,-1.0,sl,-3.93,0.46,-4.39,18.48
2023-05-22 18:20:00,2023-05-22 18:55:00,S,0.66508,0.66552,0.66552,0.66421,-1.0,sl,-1.11,0.46,-1.57,16.91
2023-05-22 19:05:00,2023-05-22 19:20:00,S,0.66525,0.66464,0.66556,0.66464,2.0,tp,1.56,0.46,1.1,18.01
2023-05-24 17:05:00,2023-05-25 01:05:00,S,0.66657,0.6654,0.66747,0.66476,1.293,time,2.98,0.46,2.52,20.53
2023-06-01 14:05:00,2023-06-01 15:10:00,L,0.66943,0.67056,0.66887,0.67056,2.0,tp,2.88,0.46,2.42,22.95
2023-06-01 22:05:00,2023-06-01 23:55:00,L,0.67386,0.67327,0.67327,0.67503,-1.0,sl,-1.49,0.46,-1.95,21.0
2023-06-06 16:35:00,2023-06-06 17:05:00,L,0.67557,0.67673,0.67499,0.67673,2.0,tp,2.96,0.46,2.5,23.5
2023-06-06 17:10:00,2023-06-07 01:10:00,L,0.6768,0.67691,0.67499,0.68042,0.061,time,0.28,0.46,-0.18,23.32
2023-06-08 15:00:00,2023-06-08 15:00:00,L,0.68035,0.68001,0.68001,0.68103,-1.0,sl,-0.87,0.46,-1.33,21.99
2023-06-09 16:20:00,2023-06-12 00:25:00,L,0.6754,0.67703,0.67397,0.67826,1.141,time,4.15,0.46,3.69,25.68
2023-06-20 15:45:00,2023-06-20 23:45:00,L,0.67823,0.67833,0.67724,0.6802,0.101,time,0.25,0.46,-0.21,25.47
2023-06-21 18:35:00,2023-06-21 19:00:00,L,0.67839,0.67921,0.67798,0.67921,2.0,tp,2.09,0.46,1.63,27.1
2023-06-22 14:35:00,2023-06-22 20:45:00,L,0.67918,0.68169,0.67792,0.68169,2.0,tp,6.4,0.46,5.94,33.04
2023-06-23 17:05:00,2023-06-26 01:15:00,L,0.6788,0.68004,0.67714,0.68212,0.748,time,3.16,0.46,2.7,35.74
2023-06-30 14:55:00,2023-06-30 15:25:00,L,0.67875,0.67828,0.67828,0.67968,-1.0,sl,-1.19,0.46,-1.65,34.09
2023-07-03 16:45:00,2023-07-03 17:00:00,L,0.67759,0.67659,0.67659,0.67959,-1.0,sl,-2.54,0.46,-3.0,31.09
2023-07-03 17:15:00,2023-07-03 18:45:00,L,0.67773,0.67645,0.67645,0.68029,-1.0,sl,-3.27,0.46,-3.73,27.36
2023-07-07 15:35:00,2023-07-07 16:35:00,S,0.66995,0.67119,0.67119,0.66748,-1.0,sl,-3.15,0.46,-3.61,23.75
2023-07-10 15:25:00,2023-07-10 15:45:00,S,0.67027,0.67051,0.67051,0.66978,-1.0,sl,-0.62,0.46,-1.08,22.67
2023-07-10 15:55:00,2023-07-10 16:25:00,S,0.67019,0.66932,0.67063,0.66932,2.0,tp,2.23,0.46,1.77,24.44
2023-07-11 22:30:00,2023-07-11 22:40:00,S,0.66435,0.66455,0.66455,0.66396,-1.0,sl,-0.5,0.46,-0.96,23.48
2023-07-11 22:55:00,2023-07-11 23:15:00,S,0.66454,0.66464,0.66464,0.66433,-1.0,sl,-0.27,0.46,-0.73,22.75
2023-07-13 21:45:00,2023-07-14 00:00:00,S,0.65514,0.65537,0.65537,0.65468,-1.0,sl,-0.59,0.46,-1.05,21.7
2023-07-14 14:30:00,2023-07-14 15:05:00,S,0.65453,0.65516,0.65516,0.65328,-1.0,sl,-1.6,0.46,-2.06,19.64
2023-07-14 16:30:00,2023-07-14 17:40:00,S,0.65561,0.65296,0.65693,0.65296,2.0,tp,6.74,0.46,6.28,25.92
2023-07-17 17:40:00,2023-07-17 18:00:00,S,0.65295,0.65368,0.65368,0.6515,-1.0,sl,-1.85,0.46,-2.31,23.61
2023-07-17 18:35:00,2023-07-18 02:35:00,S,0.65288,0.6517,0.65387,0.6509,1.191,time,3.01,0.46,2.55,26.16
2023-07-18 17:30:00,2023-07-18 17:30:00,S,0.65033,0.65087,0.65087,0.64925,-1.0,sl,-1.38,0.46,-1.84,24.32
2023-07-18 17:50:00,2023-07-18 17:50:00,S,0.65068,0.65139,0.65139,0.64925,-1.0,sl,-1.82,0.46,-2.28,22.04
2023-07-18 18:05:00,2023-07-18 19:45:00,S,0.65078,0.65149,0.65149,0.64936,-1.0,sl,-1.81,0.46,-2.27,19.77
2023-07-18 20:35:00,2023-07-19 04:35:00,S,0.65099,0.65121,0.65181,0.64936,-0.269,time,-0.56,0.46,-1.02,18.75
2023-07-21 22:10:00,2023-07-24 00:00:00,S,0.65537,0.65447,0.65582,0.65447,2.0,tp,2.28,0.46,1.82,20.57
2023-07-25 21:30:00,2023-07-25 23:00:00,S,0.65688,0.65594,0.65735,0.65594,2.0,tp,2.4,0.46,1.94,22.51
2023-07-26 17:35:00,2023-07-27 00:00:00,S,0.65305,0.65102,0.65407,0.65102,2.0,tp,5.18,0.46,4.72,27.23
2023-07-27 14:55:00,2023-07-27 14:55:00,S,0.6504,0.65062,0.65062,0.64996,-1.0,sl,-0.56,0.46,-1.02,26.21
2023-08-03 17:05:00,2023-08-04 01:05:00,S,0.65565,0.65476,0.65674,0.65346,0.813,time,2.27,0.46,1.81,28.02
2023-08-04 19:15:00,2023-08-04 19:20:00,S,0.65351,0.65371,0.65371,0.65311,-1.0,sl,-0.51,0.46,-0.97,27.05
2023-08-04 19:30:00,2023-08-04 19:40:00,S,0.65343,0.65376,0.65376,0.65278,-1.0,sl,-0.83,0.46,-1.29,25.76
2023-08-04 20:05:00,2023-08-04 21:05:00,S,0.65358,0.65286,0.65394,0.65286,2.0,tp,1.84,0.46,1.38,27.14
2023-08-08 14:15:00,2023-08-08 15:20:00,S,0.65133,0.65006,0.65197,0.65006,2.0,tp,3.24,0.46,2.78,29.92
2023-08-08 19:25:00,2023-08-08 20:00:00,S,0.65113,0.65141,0.65141,0.65058,-1.0,sl,-0.7,0.46,-1.16,28.76
2023-08-10 16:45:00,2023-08-10 17:35:00,S,0.65245,0.65117,0.65309,0.65117,2.0,tp,3.27,0.46,2.81,31.57
2023-08-15 15:30:00,2023-08-15 15:30:00,S,0.65021,0.65058,0.65058,0.64946,-1.0,sl,-0.95,0.46,-1.41,30.16
2023-08-15 15:45:00,2023-08-15 16:50:00,S,0.65168,0.65036,0.65234,0.65036,2.0,tp,3.37,0.46,2.91,33.07
2023-08-15 17:05:00,2023-08-16 01:05:00,S,0.65083,0.65063,0.65183,0.64883,0.2,time,0.51,0.46,0.05,33.12
2023-08-17 20:30:00,2023-08-17 22:00:00,S,0.65008,0.64914,0.65055,0.64914,2.0,tp,2.39,0.46,1.93,35.05
2023-08-28 15:50:00,2023-08-28 16:35:00,S,0.64998,0.65092,0.65092,0.6481,-1.0,sl,-2.39,0.46,-2.85,32.2
2023-09-04 17:45:00,2023-09-05 01:45:00,S,0.6507,0.6506,0.65122,0.64966,0.193,time,0.25,0.46,-0.21,31.99
2023-09-11 17:35:00,2023-09-11 18:35:00,L,0.65623,0.65515,0.65515,0.65839,-1.0,sl,-2.75,0.46,-3.21,28.78
2023-09-11 19:00:00,2023-09-12 03:00:00,L,0.65593,0.65618,0.65495,0.65788,0.256,time,0.64,0.46,0.18,28.96
2023-09-12 19:30:00,2023-09-12 22:20:00,L,0.6575,0.65722,0.65722,0.65806,-1.0,sl,-0.71,0.46,-1.17,27.79
2023-09-12 22:30:00,2023-09-13 00:00:00,L,0.65736,0.65712,0.65712,0.65783,-1.0,sl,-0.6,0.46,-1.06,26.73
2023-09-14 22:50:00,2023-09-14 22:55:00,L,0.66285,0.66273,0.66273,0.66308,-1.0,sl,-0.3,0.46,-0.76,25.97
2023-09-15 16:45:00,2023-09-15 17:00:00,L,0.66248,0.66155,0.66155,0.66434,-1.0,sl,-2.37,0.46,-2.83,23.14
2023-09-19 19:25:00,2023-09-19 20:50:00,L,0.66798,0.66768,0.66768,0.66857,-1.0,sl,-0.75,0.46,-1.21,21.93
2023-09-19 21:15:00,2023-09-19 23:50:00,L,0.6679,0.6675,0.6675,0.6687,-1.0,sl,-1.01,0.46,-1.47,20.46
2023-09-20 16:20:00,2023-09-20 17:05:00,L,0.66738,0.66695,0.66695,0.66824,-1.0,sl,-1.1,0.46,-1.56,18.9
2023-09-20 17:45:00,2023-09-20 19:50:00,L,0.66689,0.66628,0.66628,0.6681,-1.0,sl,-1.55,0.46,-2.01,16.89
2023-09-20 20:25:00,2023-09-20 21:00:00,L,0.66664,0.66763,0.66615,0.66763,2.0,tp,2.51,0.46,2.05,18.94
2023-09-20 21:05:00,2023-09-21 05:05:00,L,0.66817,0.66723,0.66616,0.67219,-0.467,time,-2.4,0.46,-2.86,16.08
2023-09-22 16:00:00,2023-09-22 16:05:00,L,0.67324,0.67287,0.67287,0.67399,-1.0,sl,-0.95,0.46,-1.41,14.67
2023-09-22 16:15:00,2023-09-22 16:45:00,L,0.67323,0.67276,0.67276,0.67417,-1.0,sl,-1.19,0.46,-1.65,13.02
2023-09-22 17:05:00,2023-09-22 19:30:00,L,0.67286,0.67247,0.67247,0.67363,-1.0,sl,-0.98,0.46,-1.44,11.58
2023-09-26 15:20:00,2023-09-26 15:30:00,L,0.67582,0.67548,0.67548,0.67651,-1.0,sl,-0.88,0.46,-1.34,10.24
2023-09-26 15:45:00,2023-09-26 16:15:00,L,0.67561,0.67628,0.67527,0.67628,2.0,tp,1.71,0.46,1.25,11.49
2023-10-06 15:35:00,2023-10-06 23:35:00,L,0.66769,0.66572,0.66402,0.67502,-0.537,time,-5.02,0.46,-5.48,6.01
2023-10-09 21:05:00,2023-10-09 23:20:00,L,0.66607,0.66707,0.66557,0.66707,2.0,tp,2.56,0.46,2.1,8.11
2023-10-12 15:30:00,2023-10-12 15:30:00,S,0.66185,0.66334,0.66334,0.65886,-1.0,sl,-3.81,0.46,-4.27,3.84
2023-10-12 15:50:00,2023-10-12 23:50:00,S,0.66396,0.6635,0.66486,0.66216,0.51,time,1.17,0.46,0.71,4.55
2023-10-13 18:10:00,2023-10-16 02:15:00,S,0.6618,0.66133,0.66363,0.65815,0.257,time,1.2,0.46,0.74,5.29
