entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2026-02-17 16:15:00,2026-02-18 00:15:00,L,0.56449,0.56435,0.56362,0.56623,-0.161,time,-0.36,0.46,-0.82,-0.82
2026-02-18 16:55:00,2026-02-18 20:40:00,L,0.5645,0.56416,0.56416,0.56518,-1.0,sl,-0.87,0.46,-1.33,-2.15
2026-02-19 15:10:00,2026-02-19 17:05:00,L,0.56615,0.56551,0.56551,0.56743,-1.0,sl,-1.63,0.46,-2.09,-4.24
2026-02-19 18:25:00,2026-02-20 02:25:00,L,0.56636,0.56647,0.5656,0.56789,0.144,time,0.28,0.46,-0.18,-4.42
2026-02-20 16:00:00,2026-02-20 17:10:00,L,0.56699,0.56616,0.56616,0.56864,-1.0,sl,-2.11,0.46,-2.57,-6.99
2026-02-25 17:30:00,2026-02-25 19:15:00,L,0.56515,0.56428,0.56428,0.56689,-1.0,sl,-2.21,0.46,-2.67,-9.66
2026-02-26 17:45:00,2026-02-27 01:45:00,L,0.56522,0.56538,0.56461,0.56644,0.262,time,0.41,0.46,-0.05,-9.71
2026-02-27 15:30:00,2026-02-27 23:30:00,S,0.56356,0.56327,0.56477,0.56113,0.239,time,0.74,0.46,0.28,-9.43
2026-03-02 17:30:00,2026-03-02 18:55:00,L,0.56954,0.56877,0.56877,0.57108,-1.0,sl,-1.97,0.46,-2.43,-11.86
2026-03-03 16:20:00,2026-03-03 16:35:00,L,0.57309,0.57249,0.57249,0.57429,-1.0,sl,-1.53,0.46,-1.99,-13.85
2026-03-03 17:25:00,2026-03-04 01:25:00,L,0.57255,0.57178,0.57105,0.57555,-0.514,time,-1.96,0.46,-2.42,-16.27
2026-03-05 15:40:00,2026-03-05 16:30:00,L,0.57255,0.57158,0.57158,0.57448,-1.0,sl,-2.46,0.46,-2.92,-19.19
2026-03-06 15:25:00,2026-03-06 15:30:00,L,0.57278,0.57227,0.57227,0.57381,-1.0,sl,-1.31,0.46,-1.77,-20.96
2026-03-06 17:30:00,2026-03-09 00:35:00,L,0.57202,0.57368,0.57049,0.57508,1.085,time,4.23,0.46,3.77,-17.19
2026-03-11 19:40:00,2026-03-11 20:30:00,L,0.57423,0.57355,0.57355,0.5756,-1.0,sl,-1.74,0.46,-2.2,-19.39
2026-03-12 16:50:00,2026-03-13 00:50:00,L,0.57596,0.57618,0.57479,0.5783,0.188,time,0.56,0.46,0.1,-19.29
2026-03-16 15:50:00,2026-03-16 21:15:00,L,0.57617,0.57512,0.57512,0.57826,-1.0,sl,-2.67,0.46,-3.13,-22.42
2026-03-18 15:10:00,2026-03-18 21:00:00,L,0.57516,0.57752,0.57398,0.57752,2.0,tp,6.01,0.46,5.55,-16.87
2026-03-19 17:40:00,2026-03-19 19:30:00,L,0.57673,0.57577,0.57577,0.57865,-1.0,sl,-2.45,0.46,-2.91,-19.78
2026-03-24 16:05:00,2026-03-24 18:45:00,L,0.5753,0.57407,0.57407,0.57777,-1.0,sl,-3.15,0.46,-3.61,-23.39
2026-03-25 15:10:00,2026-03-25 23:10:00,L,0.57289,0.57342,0.57152,0.57563,0.387,time,1.35,0.46,0.89,-22.5
2026-03-26 15:05:00,2026-03-26 23:05:00,L,0.57325,0.57303,0.57265,0.57446,-0.364,time,-0.56,0.46,-1.02,-23.52
2026-03-27 16:25:00,2026-03-27 18:35:00,L,0.57433,0.57386,0.57386,0.57526,-1.0,sl,-1.19,0.46,-1.65,-25.17
2026-03-27 19:05:00,2026-03-27 20:20:00,L,0.57415,0.57481,0.57382,0.57481,2.0,tp,1.69,0.46,1.23,-23.94
2026-03-31 18:30:00,2026-04-01 02:30:00,L,0.5746,0.57425,0.57351,0.57677,-0.322,time,-0.89,0.46,-1.35,-25.29
2026-04-02 18:40:00,2026-04-03 02:40:00,L,0.57371,0.57387,0.57313,0.57487,0.277,time,0.41,0.46,-0.05,-25.34
2026-04-03 17:15:00,2026-04-03 18:55:00,L,0.57321,0.57392,0.57285,0.57392,2.0,tp,1.82,0.46,1.36,-23.98
2026-04-03 19:10:00,2026-04-03 23:10:00,L,0.57401,0.57295,0.57295,0.57613,-1.0,sl,-2.7,0.46,-3.16,-27.14
