entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 16:20:00,2023-01-03 16:40:00,L,0.68419,0.68482,0.68388,0.68482,2.0,tp,1.59,0.46,1.13,1.13
2023-01-03 16:55:00,2023-01-03 17:05:00,L,0.68478,0.6865,0.68392,0.6865,2.0,tp,4.39,0.46,3.93,5.06
2023-01-03 17:20:00,2023-01-03 21:35:00,L,0.68662,0.68393,0.68393,0.692,-1.0,sl,-6.86,0.46,-7.32,-2.26
2023-01-04 15:15:00,2023-01-04 17:00:00,L,0.68519,0.68677,0.6844,0.68677,2.0,tp,4.03,0.46,3.57,1.31
2023-01-04 17:50:00,2023-01-05 01:50:00,L,0.68704,0.68951,0.68519,0.69074,1.337,time,6.29,0.46,5.83,7.14
2023-01-05 15:55:00,2023-01-05 23:55:00,L,0.68903,0.68958,0.68679,0.69351,0.245,time,1.4,0.46,0.94,8.08
2023-01-06 15:35:00,2023-01-06 23:35:00,L,0.68994,0.69038,0.68727,0.69527,0.165,time,1.12,0.46,0.66,8.74
2023-01-10 15:10:00,2023-01-10 17:00:00,L,0.68878,0.68738,0.68738,0.69157,-1.0,sl,-3.56,0.46,-4.02,4.72
2023-01-11 16:15:00,2023-01-12 00:15:00,L,0.69227,0.69316,0.69051,0.69578,0.507,time,2.27,0.46,1.81,6.53
2023-01-12 15:10:00,2023-01-12 15:25:00,L,0.69613,0.69436,0.69436,0.69967,-1.0,sl,-4.51,0.46,-4.97,1.56
2023-01-12 16:20:00,2023-01-12 17:10:00,L,0.69637,0.69351,0.69351,0.70208,-1.0,sl,-7.28,0.46,-7.74,-6.18
2023-01-12 18:10:00,2023-01-13 02:10:00,L,0.69351,0.693,0.69154,0.69746,-0.258,time,-1.3,0.46,-1.76,-7.94
2023-01-18 15:25:00,2023-01-18 15:30:00,S,0.68303,0.68144,0.68382,0.68144,2.0,tp,4.05,0.46,3.59,-4.35
2023-01-18 15:55:00,2023-01-18 23:55:00,S,0.68159,0.6787,0.68371,0.67735,1.365,time,7.36,0.46,6.9,2.55
2023-01-19 16:45:00,2023-01-20 00:45:00,S,0.68045,0.67962,0.68156,0.67824,0.751,time,2.11,0.46,1.65,4.2
2023-01-20 17:30:00,2023-01-23 01:35:00,L,0.68552,0.68759,0.68333,0.68991,0.943,time,5.27,0.46,4.81,9.01
2023-01-23 18:45:00,2023-01-24 02:45:00,L,0.68972,0.68927,0.68813,0.6929,-0.283,time,-1.15,0.46,-1.61,7.4
2023-01-24 19:25:00,2023-01-24 22:45:00,L,0.69065,0.69002,0.69002,0.69191,-1.0,sl,-1.61,0.46,-2.07,5.33
2023-01-26 16:35:00,2023-01-27 00:35:00,L,0.68799,0.69022,0.68598,0.69202,1.107,time,5.68,0.46,5.22,10.55
2023-01-27 17:20:00,2023-01-27 18:05:00,L,0.6925,0.69176,0.69176,0.69399,-1.0,sl,-1.89,0.46,-2.35,8.2
2023-01-30 15:25:00,2023-01-30 23:25:00,L,0.69137,0.69092,0.69024,0.69364,-0.397,time,-1.15,0.46,-1.61,6.59
2023-02-01 15:35:00,2023-02-01 16:35:00,S,0.68787,0.68846,0.68846,0.68668,-1.0,sl,-1.52,0.46,-1.98,4.61
2023-02-01 17:40:00,2023-02-01 21:45:00,S,0.6876,0.68415,0.68932,0.68415,2.0,tp,8.78,0.46,8.32,12.93
2023-02-02 19:55:00,2023-02-03 03:55:00,L,0.68537,0.68596,0.68379,0.68853,0.373,time,1.5,0.46,1.04,13.97
2023-02-03 15:25:00,2023-02-03 15:35:00,L,0.68409,0.6864,0.68293,0.6864,2.0,tp,5.9,0.46,5.44,19.41
2023-02-03 17:00:00,2023-02-03 17:00:00,L,0.68839,0.68951,0.68783,0.68951,2.0,tp,2.85,0.46,2.39,21.8
2023-02-03 17:05:00,2023-02-06 01:10:00,L,0.68973,0.69082,0.68783,0.69353,0.574,time,2.78,0.46,2.32,24.12
2023-02-08 15:40:00,2023-02-08 18:15:00,S,0.68638,0.68508,0.68703,0.68508,2.0,tp,3.31,0.46,2.85,26.97
2023-02-08 18:20:00,2023-02-09 02:20:00,S,0.68495,0.68464,0.6865,0.68185,0.2,time,0.79,0.46,0.33,27.3
2023-02-09 15:05:00,2023-02-09 15:30:00,S,0.68526,0.68582,0.68582,0.68414,-1.0,sl,-1.43,0.46,-1.89,25.41
2023-02-09 15:50:00,2023-02-09 23:50:00,S,0.68522,0.68539,0.68603,0.68361,-0.211,time,-0.43,0.46,-0.89,24.52
2023-02-14 17:10:00,2023-02-15 01:10:00,L,0.68969,0.69097,0.68746,0.69414,0.575,time,3.26,0.46,2.8,27.32
2023-02-17 17:20:00,2023-02-20 01:25:00,S,0.68734,0.68566,0.68946,0.68309,0.791,time,4.28,0.46,3.82,31.14
2023-02-20 16:40:00,2023-02-20 16:55:00,S,0.68676,0.68614,0.68707,0.68614,2.0,tp,1.57,0.46,1.11,32.25
2023-02-20 17:00:00,2023-02-21 01:00:00,S,0.68612,0.68605,0.68707,0.68422,0.074,time,0.18,0.46,-0.28,31.97
2023-02-21 15:45:00,2023-02-21 23:45:00,S,0.68518,0.68506,0.6878,0.67995,0.046,time,0.31,0.46,-0.15,31.82
2023-02-22 18:30:00,2023-02-23 02:30:00,L,0.68636,0.68743,0.68514,0.6888,0.878,time,2.73,0.46,2.27,34.09
2023-02-24 17:05:00,2023-02-24 21:15:00,L,0.6882,0.6909,0.68685,0.6909,2.0,tp,6.88,0.46,6.42,40.51
2023-03-01 17:05:00,2023-03-02 01:05:00,L,0.68925,0.69098,0.68782,0.69212,1.207,time,4.41,0.46,3.95,44.46
2023-03-02 15:40:00,2023-03-02 23:40:00,L,0.69168,0.69283,0.6907,0.69364,1.172,time,2.93,0.46,2.47,46.93
2023-03-06 15:20:00,2023-03-06 17:10:00,S,0.68579,0.6845,0.68643,0.6845,2.0,tp,3.28,0.46,2.82,49.75
2023-03-06 17:30:00,2023-03-07 01:30:00,S,0.68484,0.68367,0.68627,0.68198,0.817,time,2.98,0.46,2.52,52.27
2023-03-08 15:15:00,2023-03-08 17:25:00,S,0.68466,0.68231,0.68583,0.68231,2.0,tp,5.98,0.46,5.52,57.79
2023-03-08 17:35:00,2023-03-09 01:35:00,S,0.68197,0.6817,0.68497,0.67597,0.09,time,0.69,0.46,0.23,58.02
2023-03-09 17:10:00,2023-03-09 19:40:00,S,0.68033,0.67902,0.68098,0.67902,2.0,tp,3.33,0.46,2.87,60.89
2023-03-10 17:15:00,2023-03-13 00:20:00,S,0.66652,0.66464,0.66951,0.66054,0.629,time,4.79,0.46,4.33,65.22
2023-03-13 15:10:00,2023-03-13 16:35:00,S,0.66169,0.66395,0.66395,0.65717,-1.0,sl,-5.76,0.46,-6.22,59.0
2023-03-13 18:20:00,2023-03-14 02:20:00,S,0.66504,0.66358,0.66657,0.66199,0.956,time,3.72,0.46,3.26,62.26
2023-03-21 16:10:00,2023-03-21 17:40:00,S,0.67579,0.67262,0.67738,0.67262,2.0,tp,8.09,0.46,7.63,69.89
2023-03-21 18:05:00,2023-03-22 02:05:00,S,0.67261,0.67215,0.6736,0.67063,0.464,time,1.17,0.46,0.71,70.6
2023-03-23 16:45:00,2023-03-23 18:35:00,S,0.67021,0.66814,0.67125,0.66814,2.0,tp,5.28,0.46,4.82,75.42
2023-03-23 19:00:00,2023-03-23 21:15:00,S,0.66878,0.66708,0.66963,0.66708,2.0,tp,4.32,0.46,3.86,79.28
2023-03-24 15:30:00,2023-03-24 15:55:00,S,0.66599,0.66691,0.66691,0.66416,-1.0,sl,-2.34,0.46,-2.8,76.48
2023-03-30 15:40:00,2023-03-30 22:00:00,S,0.675,0.67609,0.67609,0.67282,-1.0,sl,-2.78,0.46,-3.24,73.24
2023-03-31 16:15:00,2023-03-31 22:55:00,S,0.67531,0.67692,0.67692,0.67209,-1.0,sl,-4.11,0.46,-4.57,68.67
2023-04-04 17:05:00,2023-04-04 17:05:00,S,0.67895,0.67779,0.67953,0.67779,2.0,tp,2.95,0.46,2.49,71.16
2023-04-04 17:10:00,2023-04-04 18:05:00,S,0.67794,0.67476,0.67953,0.67476,2.0,tp,8.09,0.46,7.63,78.79
2023-04-04 18:35:00,2023-04-05 02:35:00,S,0.67463,0.67386,0.67622,0.67145,0.484,time,1.96,0.46,1.5,80.29
2023-04-05 15:30:00,2023-04-05 16:45:00,S,0.67223,0.67277,0.67277,0.67115,-1.0,sl,-1.38,0.46,-1.84,78.45
2023-04-05 17:15:00,2023-04-05 19:20:00,S,0.67167,0.67325,0.67325,0.66851,-1.0,sl,-4.03,0.46,-4.49,73.96
2023-04-06 18:50:00,2023-04-07 02:50:00,S,0.6707,0.67017,0.67146,0.66919,0.7,time,1.35,0.46,0.89,74.85
2023-04-07 17:05:00,2023-04-07 21:25:00,S,0.67056,0.6688,0.67144,0.6688,2.0,tp,4.5,0.46,4.04,78.89
2023-04-12 15:15:00,2023-04-12 15:30:00,S,0.66875,0.6672,0.66953,0.6672,2.0,tp,3.96,0.46,3.5,82.39
2023-04-12 15:35:00,2023-04-12 23:35:00,S,0.66749,0.66674,0.66935,0.66376,0.402,time,1.91,0.46,1.45,83.84
2023-04-13 15:05:00,2023-04-13 21:15:00,S,0.66428,0.66553,0.66553,0.66178,-1.0,sl,-3.19,0.46,-3.65,80.19
2023-04-19 15:15:00,2023-04-19 23:15:00,S,0.66828,0.66698,0.66939,0.66606,1.171,time,3.31,0.46,2.85,83.04
2023-04-20 16:40:00,2023-04-20 17:25:00,S,0.66262,0.66351,0.66351,0.66083,-1.0,sl,-2.27,0.46,-2.73,80.31
2023-04-20 19:05:00,2023-04-20 21:55:00,S,0.66399,0.66287,0.66455,0.66287,2.0,tp,2.84,0.46,2.38,82.69
2023-04-21 16:45:00,2023-04-21 16:45:00,S,0.65818,0.65961,0.65961,0.65532,-1.0,sl,-3.65,0.46,-4.11,78.58
2023-04-24 16:55:00,2023-04-24 17:25:00,S,0.65634,0.65706,0.65706,0.6549,-1.0,sl,-1.83,0.46,-2.29,76.29
2023-04-25 16:55:00,2023-04-25 17:10:00,S,0.65356,0.65424,0.65424,0.6522,-1.0,sl,-1.74,0.46,-2.2,74.09
2023-04-25 18:40:00,2023-04-26 02:40:00,S,0.65455,0.65483,0.65551,0.65263,-0.291,time,-0.71,0.46,-1.17,72.92
2023-04-26 15:35:00,2023-04-26 18:00:00,S,0.6523,0.65363,0.65363,0.64963,-1.0,sl,-3.4,0.46,-3.86,69.06
2023-05-02 17:05:00,2023-05-02 17:40:00,S,0.65943,0.6559,0.6612,0.6559,2.0,tp,9.01,0.46,8.55,77.61
2023-05-03 15:05:00,2023-05-03 21:00:00,S,0.65216,0.65033,0.65308,0.65033,2.0,tp,4.67,0.46,4.21,81.82
2023-05-10 16:15:00,2023-05-11 00:15:00,S,0.66482,0.66454,0.66705,0.66036,0.125,time,0.71,0.46,0.25,82.07
2023-05-11 15:25:00,2023-05-11 16:00:00,S,0.66541,0.66338,0.66643,0.66338,2.0,tp,5.19,0.46,4.73,86.8
2023-05-12 15:35:00,2023-05-12 16:20:00,S,0.66233,0.66306,0.66306,0.66087,-1.0,sl,-1.86,0.46,-2.32,84.48
2023-05-15 16:05:00,2023-05-15 16:30:00,S,0.66349,0.66284,0.66381,0.66284,2.0,tp,1.64,0.46,1.18,85.66
2023-05-15 16:35:00,2023-05-15 17:55:00,S,0.66281,0.66365,0.66365,0.66112,-1.0,sl,-2.15,0.46,-2.61,83.05
2023-05-18 15:35:00,2023-05-18 17:50:00,L,0.66912,0.67156,0.6679,0.67156,2.0,tp,6.22,0.46,5.76,88.81
2023-05-19 16:40:00,2023-05-19 18:10:00,S,0.6687,0.66629,0.6699,0.66629,2.0,tp,6.13,0.46,5.67,94.48
2023-05-19 18:55:00,2023-05-22 03:00:00,S,0.66561,0.6658,0.66806,0.66072,-0.078,time,-0.48,0.46,-0.94,93.54
2023-05-22 17:05:00,2023-05-22 17:05:00,S,0.6645,0.66321,0.66514,0.66321,2.0,tp,3.27,0.46,2.81,96.35
2023-05-22 17:10:00,2023-05-22 17:50:00,S,0.66361,0.66515,0.66515,0.66053,-1.0,sl,-3.93,0.46,-4.39,91.96
2023-05-25 16:20:00,2023-05-26 00:20:00,S,0.66509,0.66355,0.66676,0.66175,0.923,time,3.92,0.46,3.46,95.42
2023-05-30 16:25:00,2023-05-30 18:05:00,S,0.66407,0.66495,0.66495,0.6623,-1.0,sl,-2.25,0.46,-2.71,92.71
2023-05-31 16:00:00,2023-05-31 17:00:00,L,0.66768,0.67015,0.66644,0.67015,2.0,tp,6.3,0.46,5.84,98.55
2023-05-31 17:20:00,2023-06-01 01:20:00,L,0.67028,0.67068,0.66775,0.67534,0.158,time,1.02,0.46,0.56,99.11
2023-06-01 15:05:00,2023-06-01 17:30:00,L,0.67003,0.67213,0.66898,0.67213,2.0,tp,5.36,0.46,4.9,104.01
2023-06-01 17:35:00,2023-06-02 01:35:00,L,0.67226,0.67338,0.67041,0.67596,0.605,time,2.85,0.46,2.39,106.4
2023-06-02 15:20:00,2023-06-02 15:25:00,L,0.67512,0.67474,0.67474,0.67588,-1.0,sl,-0.96,0.46,-1.42,104.98
2023-06-02 15:45:00,2023-06-02 23:45:00,L,0.67586,0.67681,0.67423,0.67911,0.585,time,2.42,0.46,1.96,106.94
2023-06-05 16:10:00,2023-06-05 17:00:00,L,0.6779,0.67716,0.67716,0.67939,-1.0,sl,-1.89,0.46,-2.35,104.59
2023-06-07 17:05:00,2023-06-08 01:05:00,L,0.67836,0.68048,0.67525,0.68457,0.683,time,5.4,0.46,4.94,109.53
2023-06-09 16:30:00,2023-06-12 00:35:00,L,0.67554,0.67643,0.67397,0.67868,0.567,time,2.27,0.46,1.81,111.34
2023-06-12 16:45:00,2023-06-12 17:35:00,L,0.67944,0.67864,0.67864,0.68104,-1.0,sl,-2.04,0.46,-2.5,108.84
2023-06-12 18:15:00,2023-06-13 02:15:00,L,0.68009,0.67962,0.67823,0.68381,-0.253,time,-1.2,0.46,-1.66,107.18
2023-06-13 15:20:00,2023-06-13 15:30:00,L,0.67936,0.67832,0.67832,0.68145,-1.0,sl,-2.66,0.46,-3.12,104.06
2023-06-13 16:10:00,2023-06-14 00:10:00,L,0.67968,0.67949,0.67744,0.68416,-0.085,time,-0.48,0.46,-0.94,103.12
2023-06-16 15:45:00,2023-06-16 23:45:00,L,0.67509,0.67738,0.67342,0.67844,1.367,time,5.83,0.46,5.37,108.49
2023-06-19 15:10:00,2023-06-19 16:40:00,L,0.67798,0.67946,0.67724,0.67946,2.0,tp,3.76,0.46,3.3,111.79
2023-06-19 17:10:00,2023-06-19 17:55:00,L,0.67974,0.67848,0.67848,0.68227,-1.0,sl,-3.22,0.46,-3.68,108.11
2023-06-21 15:35:00,2023-06-21 17:50:00,L,0.67979,0.67828,0.67828,0.6828,-1.0,sl,-3.84,0.46,-4.3,103.81
2023-06-21 18:55:00,2023-06-21 21:25:00,L,0.67913,0.67799,0.67799,0.68141,-1.0,sl,-2.91,0.46,-3.37,100.44
2023-06-22 18:10:00,2023-06-23 02:10:00,L,0.68113,0.68068,0.67936,0.68468,-0.254,time,-1.15,0.46,-1.61,98.83
2023-06-23 17:05:00,2023-06-26 01:15:00,L,0.6788,0.68004,0.67714,0.68212,0.748,time,3.16,0.46,2.7,101.53
2023-06-26 17:15:00,2023-06-27 01:15:00,L,0.67931,0.68068,0.67782,0.68229,0.919,time,3.49,0.46,3.03,104.56
2023-06-29 19:00:00,2023-06-30 03:00:00,L,0.67806,0.67853,0.67664,0.68091,0.33,time,1.2,0.46,0.74,105.3
2023-07-03 17:00:00,2023-07-03 17:00:00,L,0.67723,0.67659,0.67659,0.67852,-1.0,sl,-1.64,0.46,-2.1,103.2
2023-07-03 17:15:00,2023-07-03 18:45:00,L,0.67773,0.67645,0.67645,0.68029,-1.0,sl,-3.27,0.46,-3.73,99.47
2023-07-04 15:05:00,2023-07-04 23:05:00,L,0.67758,0.67843,0.67677,0.6792,1.052,time,2.17,0.46,1.71,101.18
2023-07-06 15:20:00,2023-07-06 15:30:00,S,0.67413,0.67329,0.67455,0.67329,2.0,tp,2.14,0.46,1.68,102.86
2023-07-06 19:20:00,2023-07-07 03:20:00,S,0.67073,0.66983,0.67198,0.66823,0.719,time,2.29,0.46,1.83,104.69
2023-07-07 15:40:00,2023-07-07 16:35:00,S,0.66949,0.67119,0.67119,0.6661,-1.0,sl,-4.32,0.46,-4.78,99.91
2023-07-07 19:00:00,2023-07-07 23:05:00,S,0.6689,0.66959,0.66959,0.66752,-1.0,sl,-1.76,0.46,-2.22,97.69
2023-07-10 16:10:00,2023-07-10 16:25:00,S,0.67019,0.66931,0.67063,0.66931,2.0,tp,2.23,0.46,1.77,99.46
2023-07-10 16:40:00,2023-07-10 19:45:00,S,0.66944,0.66706,0.67063,0.66706,2.0,tp,6.08,0.46,5.62,105.08
2023-07-10 19:55:00,2023-07-11 03:55:00,S,0.66696,0.66706,0.66794,0.66499,-0.102,time,-0.25,0.46,-0.71,104.37
2023-07-12 16:40:00,2023-07-13 00:40:00,S,0.65964,0.65718,0.66221,0.6545,0.957,time,6.27,0.46,5.81,110.18
2023-07-13 16:45:00,2023-07-14 00:45:00,S,0.65442,0.65491,0.65628,0.65071,-0.264,time,-1.25,0.46,-1.71,108.47
2023-07-14 16:30:00,2023-07-14 17:40:00,S,0.65561,0.65296,0.65693,0.65296,2.0,tp,6.74,0.46,6.28,114.75
2023-07-14 18:20:00,2023-07-17 02:25:00,S,0.65325,0.65149,0.655,0.64976,1.008,time,4.48,0.46,4.02,118.77
2023-07-18 15:55:00,2023-07-18 17:00:00,S,0.64901,0.65034,0.65034,0.64634,-1.0,sl,-3.4,0.46,-3.86,114.91
2023-07-21 16:15:00,2023-07-24 00:20:00,S,0.65478,0.6546,0.65647,0.65141,0.107,time,0.46,0.46,0.0,114.91
2023-07-25 17:05:00,2023-07-26 01:05:00,S,0.65749,0.65563,0.65892,0.65463,1.301,time,4.74,0.46,4.28,119.19
