exit_time,net_$,cum_net_$,equity_$,drawdown_%
2023-01-03 17:30:00,-1.93,-1.93,998.07,0.0
2023-01-03 18:00:00,2.51,0.58,1000.58,0.0
2023-01-04 02:05:00,0.21,0.79,1000.79,0.0
2023-01-05 19:15:00,-2.22,-1.43,998.57,-0.22
2023-01-06 02:50:00,3.84,2.41,1002.41,0.0
2023-01-09 01:40:00,-1.83,0.58,1000.58,-0.18
2023-01-10 01:05:00,-2.44,-1.86,998.14,-0.43
2023-01-11 17:30:00,-1.38,-3.24,996.76,-0.56
2023-01-12 01:05:00,-2.49,-5.73,994.27,-0.81
2023-01-16 19:25:00,-0.47,-6.2,993.8,-0.86
2023-01-19 17:45:00,1.47,-4.73,995.27,-0.71
2023-01-19 19:45:00,-3.25,-7.98,992.02,-1.04
2023-01-25 02:30:00,3.21,-4.77,995.23,-0.72
2023-01-27 16:00:00,-1.27,-6.04,993.96,-0.84
2023-01-27 20:30:00,3.08,-2.96,997.04,-0.54
2023-01-30 18:35:00,2.42,-0.54,999.46,-0.29
2023-02-03 15:30:00,3.09,2.55,1002.55,0.0
2023-02-16 15:35:00,-1.35,1.2,1001.2,-0.13
2023-02-16 16:55:00,-2.09,-0.89,999.11,-0.34
2023-02-16 18:45:00,-1.92,-2.81,997.19,-0.53
2023-02-21 16:40:00,-1.43,-4.24,995.76,-0.68
2023-02-21 17:45:00,-2.56,-6.8,993.2,-0.93
2023-02-21 19:20:00,-1.26,-8.06,991.94,-1.06
2023-02-28 01:10:00,-0.17,-8.23,991.77,-1.08
2023-02-28 17:00:00,-3.28,-11.51,988.49,-1.4
2023-03-09 17:35:00,-1.61,-13.12,986.88,-1.56
2023-03-09 19:15:00,1.13,-11.99,988.01,-1.45
2023-03-13 18:10:00,-1.98,-13.97,986.03,-1.65
2023-03-14 02:50:00,1.95,-12.02,987.98,-1.45
2023-03-16 17:40:00,-4.67,-16.69,983.31,-1.92
2023-03-16 18:40:00,-1.94,-18.63,981.37,-2.11
2023-03-20 17:45:00,2.69,-15.94,984.06,-1.84
2023-03-20 23:00:00,2.81,-13.13,986.87,-1.56
2023-03-23 18:35:00,5.74,-7.39,992.61,-0.99
2023-03-24 17:45:00,-4.2,-11.59,988.41,-1.41
2023-03-24 21:20:00,-1.74,-13.33,986.67,-1.58
2023-03-31 15:30:00,-2.03,-15.36,984.64,-1.79
2023-03-31 21:50:00,-4.04,-19.4,980.6,-2.19
2023-04-03 20:10:00,3.86,-15.54,984.46,-1.8
2023-04-06 15:20:00,1.88,-13.66,986.34,-1.62
2023-04-07 15:30:00,1.69,-11.97,988.03,-1.45
2023-04-07 23:45:00,1.47,-10.5,989.5,-1.3
2023-04-13 01:05:00,0.21,-10.29,989.71,-1.28
2023-04-17 23:35:00,1.92,-8.37,991.63,-1.09
2023-04-18 15:30:00,1.47,-6.9,993.1,-0.94
2023-04-18 23:35:00,-1.59,-8.49,991.51,-1.1
2023-04-25 15:30:00,0.89,-7.6,992.4,-1.01
2023-04-25 16:05:00,2.49,-5.11,994.89,-0.76
2023-04-26 16:00:00,2.19,-2.92,997.08,-0.55
2023-04-26 21:35:00,2.87,-0.05,999.95,-0.26
