symbol,quarter,trades,wins,WR_%,exp_R,PF,pass
CADJPY,2023Q1,38,14,36.84,-0.022,0.96,False
CADJPY,2023Q2,44,23,52.27,0.398,2.01,True
CADJPY,2023Q3,38,21,55.26,0.369,1.87,True
CADJPY,2023Q4,35,20,57.14,0.495,2.21,True
CADJPY,2024Q1,38,17,44.74,0.226,1.45,False
CADJPY,2024Q2,34,18,52.94,0.439,2.05,True
CADJPY,2024Q3,44,18,40.91,0.087,1.15,False
CADJPY,2024Q4,34,13,38.24,0.138,1.26,False
CADJPY,2025Q1,31,18,58.06,0.463,2.18,True
CADJPY,2025Q2,46,20,43.48,0.203,1.37,False
CADJPY,2025Q3,38,21,55.26,0.488,2.13,True
CADJPY,2025Q4,37,18,48.65,0.418,1.91,True
CADJPY,2026Q1,18,9,50.0,0.295,1.62,False
