symbol,mode,confirms,memory,min_r,atr_min,session,trades,WR_%,exp_R,PF,q_pass_%,score
CADJPY,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-13,499,47.9,0.437,1.61,46.2,22.97
CADJPY,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-13,533,47.47,0.424,1.56,46.2,22.54
CADJPY,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-13,556,46.94,0.408,1.53,46.2,22.02
CADJPY,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-13,480,48.12,0.444,1.61,38.5,19.36
CADJPY,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-12,451,47.89,0.437,1.6,38.5,19.12
CADJPY,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-12,501,47.11,0.413,1.55,30.8,14.49
CADJPY,RSI-gated,f_candle|f_ema,10,-,0.9,NY07-16,637,45.68,0.37,1.48,30.8,13.07
CADJPY,RSI-gated,f_candle|f_ema,15,-,0.0,NY07-16,825,44.12,0.324,1.42,30.8,11.51
CADJPY,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-12,440,47.73,0.432,1.58,23.1,11.27
CADJPY,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-12,487,47.23,0.417,1.55,23.1,10.77
CADJPY,RSI-gated,f_candle|f_ema,15,-,0.9,NY07-16,693,44.73,0.342,1.42,23.1,8.27
CADJPY,RSI-gated,f_candle|f_ema,10,-,0.0,NY07-16,760,44.47,0.334,1.44,23.1,8.01
CADJPY,OR,f_candle|f_ema,10,1,0.9,NY08-13,1562,45.45,0.364,1.44,15.4,5.15
CADJPY,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-13,1695,45.07,0.352,1.45,15.4,4.77
CADJPY,OR,f_candle|f_ema,10,1,0.9,NY08-12,1453,44.94,0.348,1.41,15.4,4.63
CADJPY,OR,f_candle|f_ema,10,1,0.9,NY07-16,1965,44.68,0.34,1.42,15.4,4.37
CADJPY,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-12,1578,44.55,0.337,1.43,15.4,4.24
CADJPY,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY07-16,2118,44.81,0.344,1.46,7.7,0.65
