symbol,overlay,trades,WR_%,exp_R,PF,q_pass_%,score
CADJPY,{'adx_min': 18.0},475,48.42,0.453,1.63,53.8,27.34
CADJPY,{'require_h1_rsi_align': True},371,52.29,0.569,1.88,38.5,23.52
CADJPY,{},499,47.9,0.437,1.61,46.2,22.97
CADJPY,"{'adx_min': 18.0, 'add_vol_confirm': True}",576,47.4,0.422,1.63,46.2,22.47
CADJPY,{'add_vol_confirm': True},603,46.93,0.408,1.61,46.2,22.01
CADJPY,{'adx_min': 22.0},392,49.49,0.485,1.72,38.5,20.72
CADJPY,"{'adx_min': 18.0, 'require_h1_rsi_align': True}",348,53.16,0.595,1.93,23.1,16.7
CADJPY,{'require_macd_align': True},329,48.94,0.468,1.58,15.4,8.63
CADJPY,"{'adx_min': 20.0, 'require_h1_rsi_align': True, 'require_macd_align': True}",206,55.34,0.66,1.97,0.0,7.34
CADJPY,"{'require_h1_rsi_align': True, 'require_macd_align': True}",257,52.53,0.576,1.79,0.0,4.53
CADJPY,"{'adx_min': 18.0, 'require_macd_align': True}",305,49.84,0.495,1.62,0.0,1.84
