entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 14:20:00,2023-01-03 15:05:00,S,96.067,95.72716,96.23692,95.72716,2.0,tp,4.27,0.25,4.02,4.02
2023-01-03 17:25:00,2023-01-03 17:30:00,S,95.91,96.04411,96.04411,95.64179,-1.0,sl,-1.68,0.25,-1.93,2.09
2023-01-03 17:45:00,2023-01-03 18:00:00,S,96.04,95.82002,96.14999,95.82002,2.0,tp,2.76,0.25,2.51,4.6
2023-01-03 18:05:00,2023-01-04 02:05:00,S,95.843,95.806,96.14984,95.22931,0.121,time,0.46,0.25,0.21,4.81
2023-01-05 18:55:00,2023-01-05 19:15:00,L,98.354,98.19694,98.19694,98.66812,-1.0,sl,-1.97,0.25,-2.22,2.59
2023-01-05 19:55:00,2023-01-06 02:50:00,L,98.158,98.48366,97.99517,98.48366,2.0,tp,4.09,0.25,3.84,6.43
2023-01-06 14:10:00,2023-01-06 15:20:00,L,98.621,98.47991,98.47991,98.90318,-1.0,sl,-1.77,0.25,-2.02,4.41
2023-01-06 17:50:00,2023-01-09 01:40:00,L,98.195,98.06934,98.06934,98.44632,-1.0,sl,-1.58,0.25,-1.83,2.58
2023-01-09 17:05:00,2023-01-10 01:05:00,L,98.593,98.419,98.26877,99.24145,-0.537,time,-2.19,0.25,-2.44,0.14
2023-01-11 17:25:00,2023-01-11 17:30:00,L,98.688,98.59831,98.59831,98.86738,-1.0,sl,-1.13,0.25,-1.38,-1.24
2023-01-11 17:55:00,2023-01-12 01:05:00,L,98.683,98.50485,98.50485,99.0393,-1.0,sl,-2.24,0.25,-2.49,-3.73
2023-01-13 22:30:00,2023-01-16 00:20:00,S,95.494,95.38142,95.55029,95.38142,2.0,tp,1.41,0.25,1.16,-2.57
2023-01-16 19:25:00,2023-01-16 19:25:00,S,96.067,96.08451,96.08451,96.03198,-1.0,sl,-0.22,0.25,-0.47,-3.04
2023-01-16 20:05:00,2023-01-16 20:15:00,S,96.089,96.015,96.126,96.015,2.0,tp,0.93,0.25,0.68,-2.36
2023-01-16 20:20:00,2023-01-17 00:50:00,S,96.001,95.75009,96.12646,95.75009,2.0,tp,3.15,0.25,2.9,0.54
2023-01-19 14:10:00,2023-01-19 14:10:00,S,95.293,95.20199,95.3385,95.20199,2.0,tp,1.14,0.25,0.89,1.43
2023-01-19 14:15:00,2023-01-19 15:50:00,S,95.21,95.3382,95.3382,94.95361,-1.0,sl,-1.61,0.25,-1.86,-0.43
2023-01-19 17:35:00,2023-01-19 17:45:00,S,95.396,95.2593,95.46435,95.2593,2.0,tp,1.72,0.25,1.47,1.04
2023-01-19 17:50:00,2023-01-19 19:45:00,S,95.227,95.46551,95.46551,94.74997,-1.0,sl,-3.0,0.25,-3.25,-2.21
2023-01-24 19:10:00,2023-01-25 02:30:00,L,97.287,97.56233,97.14933,97.56233,2.0,tp,3.46,0.25,3.21,1.0
2023-01-27 15:50:00,2023-01-27 16:00:00,L,97.37,97.28907,97.28907,97.53187,-1.0,sl,-1.02,0.25,-1.27,-0.27
2023-01-27 16:10:00,2023-01-27 20:30:00,L,97.395,97.65991,97.26255,97.65991,2.0,tp,3.33,0.25,3.08,2.81
2023-01-30 16:15:00,2023-01-30 18:35:00,L,97.532,97.74452,97.42574,97.74452,2.0,tp,2.67,0.25,2.42,5.23
2023-02-01 14:05:00,2023-02-01 15:15:00,L,97.561,97.41974,97.41974,97.84353,-1.0,sl,-1.77,0.25,-2.02,3.21
2023-02-02 21:25:00,2023-02-02 22:50:00,S,96.517,96.63569,96.63569,96.27961,-1.0,sl,-1.49,0.25,-1.74,1.47
2023-02-03 15:05:00,2023-02-03 15:30:00,L,96.173,96.43891,96.04004,96.43891,2.0,tp,3.34,0.25,3.09,4.56
2023-02-06 21:55:00,2023-02-06 21:55:00,L,98.611,98.56987,98.56987,98.69326,-1.0,sl,-0.52,0.25,-0.77,3.79
2023-02-06 22:30:00,2023-02-07 00:25:00,L,98.625,98.543,98.543,98.78901,-1.0,sl,-1.03,0.25,-1.28,2.51
2023-02-13 22:20:00,2023-02-13 22:35:00,L,99.246,99.21231,99.21231,99.31339,-1.0,sl,-0.42,0.25,-0.67,1.84
2023-02-16 15:10:00,2023-02-16 15:35:00,L,99.968,99.88009,99.88009,100.14382,-1.0,sl,-1.1,0.25,-1.35,0.49
2023-02-16 15:50:00,2023-02-16 16:55:00,L,100.006,99.85916,99.85916,100.29969,-1.0,sl,-1.84,0.25,-2.09,-1.6
2023-02-16 17:45:00,2023-02-16 18:45:00,L,99.732,99.59868,99.59868,99.99863,-1.0,sl,-1.67,0.25,-1.92,-3.52
2023-02-21 16:25:00,2023-02-21 16:40:00,L,99.92,99.82627,99.82627,100.10746,-1.0,sl,-1.18,0.25,-1.43,-4.95
2023-02-21 16:55:00,2023-02-21 17:45:00,L,99.99,99.80576,99.80576,100.35848,-1.0,sl,-2.31,0.25,-2.56,-7.51
2023-02-21 18:50:00,2023-02-21 19:20:00,L,99.79,99.70926,99.70926,99.95147,-1.0,sl,-1.01,0.25,-1.26,-8.77
2023-02-27 14:35:00,2023-02-27 15:05:00,L,100.206,100.3734,100.1223,100.3734,2.0,tp,2.1,0.25,1.85,-6.92
2023-02-27 17:10:00,2023-02-28 01:10:00,L,100.286,100.292,100.0987,100.66059,0.032,time,0.08,0.25,-0.17,-7.09
2023-02-28 16:25:00,2023-02-28 17:00:00,L,100.723,100.48188,100.48188,101.20524,-1.0,sl,-3.03,0.25,-3.28,-10.37
2023-03-02 21:10:00,2023-03-03 05:10:00,L,100.499,100.554,100.37998,100.73705,0.462,time,0.69,0.25,0.44,-9.93
2023-03-09 17:05:00,2023-03-09 17:35:00,S,98.905,99.01301,99.01301,98.68899,-1.0,sl,-1.36,0.25,-1.61,-11.54
2023-03-09 18:15:00,2023-03-09 19:15:00,S,99.031,98.92109,99.08596,98.92109,2.0,tp,1.38,0.25,1.13,-10.41
2023-03-13 18:05:00,2023-03-13 18:10:00,S,97.214,97.35147,97.35147,96.93907,-1.0,sl,-1.73,0.25,-1.98,-12.39
2023-03-13 18:50:00,2023-03-14 02:50:00,S,97.09,96.915,97.4099,96.4502,0.547,time,2.2,0.25,1.95,-10.44
2023-03-15 21:45:00,2023-03-16 05:45:00,S,96.761,96.535,97.24656,95.78988,0.465,time,2.84,0.25,2.59,-7.85
2023-03-16 17:15:00,2023-03-16 17:40:00,S,96.325,96.67704,96.67704,95.62092,-1.0,sl,-4.42,0.25,-4.67,-12.52
2023-03-16 18:00:00,2023-03-16 18:40:00,S,96.661,96.79585,96.79585,96.3913,-1.0,sl,-1.69,0.25,-1.94,-14.46
2023-03-20 17:10:00,2023-03-20 17:45:00,S,96.417,96.18296,96.53402,96.18296,2.0,tp,2.94,0.25,2.69,-11.77
2023-03-20 19:45:00,2023-03-20 23:00:00,S,96.303,96.05921,96.42489,96.05921,2.0,tp,3.06,0.25,2.81,-8.96
2023-03-23 15:05:00,2023-03-23 18:35:00,S,96.091,95.61386,96.32957,95.61386,2.0,tp,5.99,0.25,5.74,-3.22
2023-03-24 16:50:00,2023-03-24 17:45:00,S,94.601,94.91585,94.91585,93.9713,-1.0,sl,-3.95,0.25,-4.2,-7.42
2023-03-24 18:55:00,2023-03-24 21:20:00,S,95.131,95.24999,95.24999,94.89303,-1.0,sl,-1.49,0.25,-1.74,-9.16
2023-03-30 14:35:00,2023-03-30 14:45:00,L,97.732,97.83343,97.68129,97.83343,2.0,tp,1.27,0.25,1.02,-8.14
2023-03-30 14:50:00,2023-03-30 22:50:00,L,97.866,98.002,97.68116,98.23567,0.736,time,1.71,0.25,1.46,-6.68
2023-03-31 14:35:00,2023-03-31 15:30:00,L,98.262,98.16855,98.16855,98.44891,-1.0,sl,-1.17,0.25,-1.42,-8.1
2023-03-31 16:05:00,2023-03-31 21:50:00,L,98.337,98.03537,98.03537,98.94026,-1.0,sl,-3.79,0.25,-4.04,-12.14
2023-03-31 22:05:00,2023-04-03 00:00:00,L,98.126,98.45278,97.96261,98.45278,2.0,tp,4.1,0.25,3.85,-8.29
2023-04-03 14:55:00,2023-04-03 17:00:00,L,98.765,98.67052,98.67052,98.95397,-1.0,sl,-1.19,0.25,-1.44,-9.73
2023-04-03 18:30:00,2023-04-03 20:10:00,L,98.395,98.7222,98.2314,98.7222,2.0,tp,4.11,0.25,3.86,-5.87
2023-04-06 14:05:00,2023-04-06 14:30:00,S,97.529,97.63989,97.63989,97.30721,-1.0,sl,-1.39,0.25,-1.64,-7.51
2023-04-06 15:10:00,2023-04-06 15:20:00,S,97.612,97.44219,97.6969,97.44219,2.0,tp,2.13,0.25,1.88,-5.63
2023-04-07 15:05:00,2023-04-07 15:30:00,L,97.444,97.59825,97.36688,97.59825,2.0,tp,1.94,0.25,1.69,-3.94
2023-04-07 18:45:00,2023-04-07 23:45:00,L,97.72,97.85679,97.6516,97.85679,2.0,tp,1.72,0.25,1.47,-2.47
2023-04-12 14:25:00,2023-04-12 14:40:00,L,99.213,99.16301,99.16301,99.31299,-1.0,sl,-0.63,0.25,-0.88,-3.35
2023-04-12 17:05:00,2023-04-13 01:05:00,L,99.036,99.073,98.6622,99.78359,0.099,time,0.46,0.25,0.21,-3.14
