entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2026-02-20 15:15:00,2026-02-20 15:20:00,L,113.346,113.3211,113.3211,113.39579,-1.0,sl,-0.31,0.25,-0.56,-0.56
2026-02-20 15:35:00,2026-02-20 17:10:00,L,113.397,113.28126,113.28126,113.62848,-1.0,sl,-1.45,0.25,-1.7,-2.26
2026-02-25 17:20:00,2026-02-26 01:20:00,L,114.333,114.24,114.17781,114.64338,-0.599,time,-1.17,0.25,-1.42,-3.68
2026-02-26 17:05:00,2026-02-26 17:10:00,L,113.949,113.83869,113.83869,114.16961,-1.0,sl,-1.39,0.25,-1.64,-5.32
2026-02-26 17:50:00,2026-02-27 01:50:00,L,113.935,113.952,113.73973,114.32555,0.087,time,0.21,0.25,-0.04,-5.36
2026-03-02 19:10:00,2026-03-02 19:40:00,L,114.891,114.79637,114.79637,115.08026,-1.0,sl,-1.19,0.25,-1.44,-6.8
2026-03-02 19:50:00,2026-03-02 21:35:00,L,114.847,114.99856,114.77122,114.99856,2.0,tp,1.9,0.25,1.65,-5.15
2026-03-03 17:30:00,2026-03-04 01:30:00,L,114.983,115.318,114.70776,115.53349,1.217,time,4.21,0.25,3.96,-1.19
2026-03-05 17:15:00,2026-03-05 17:15:00,L,115.426,115.35711,115.35711,115.56377,-1.0,sl,-0.87,0.25,-1.12,-2.31
2026-03-05 18:00:00,2026-03-05 18:00:00,L,115.207,115.15645,115.15645,115.30811,-1.0,sl,-0.63,0.25,-0.88,-3.19
2026-03-06 15:50:00,2026-03-06 20:40:00,L,115.627,116.14014,115.37043,116.14014,2.0,tp,6.44,0.25,6.19,3.0
2026-03-09 15:55:00,2026-03-09 17:00:00,L,116.665,116.59101,116.59101,116.81298,-1.0,sl,-0.93,0.25,-1.18,1.82
2026-03-09 18:00:00,2026-03-09 20:55:00,L,116.449,116.6254,116.3608,116.6254,2.0,tp,2.22,0.25,1.97,3.79
2026-03-10 16:05:00,2026-03-10 17:40:00,L,116.374,116.18243,116.18243,116.75714,-1.0,sl,-2.41,0.25,-2.66,1.13
2026-03-27 15:05:00,2026-03-27 17:20:00,L,115.314,115.22069,115.22069,115.50062,-1.0,sl,-1.17,0.25,-1.42,-0.29
2026-03-27 17:45:00,2026-03-27 17:55:00,L,115.215,115.32802,115.15849,115.32802,2.0,tp,1.42,0.25,1.17,0.88
2026-03-27 18:00:00,2026-03-30 03:05:00,L,115.382,115.15629,115.15629,115.83341,-1.0,sl,-2.83,0.25,-3.08,-2.2
2026-04-01 16:30:00,2026-04-01 18:30:00,S,114.129,114.22216,114.22216,113.94269,-1.0,sl,-1.17,0.25,-1.42,-3.62
2026-04-01 19:50:00,2026-04-01 20:00:00,S,114.299,114.22909,114.33395,114.22909,2.0,tp,0.88,0.25,0.63,-2.99
2026-04-02 18:40:00,2026-04-02 20:00:00,L,114.472,114.67644,114.36978,114.67644,2.0,tp,2.57,0.25,2.32,-0.67
2026-04-08 17:50:00,2026-04-08 17:50:00,S,114.23,114.30045,114.30045,114.08909,-1.0,sl,-0.88,0.25,-1.13,-1.8
2026-04-08 18:20:00,2026-04-08 18:55:00,S,114.383,114.28087,114.43406,114.28087,2.0,tp,1.28,0.25,1.03,-0.77
2026-04-08 19:10:00,2026-04-08 19:40:00,S,114.298,114.43259,114.43259,114.02882,-1.0,sl,-1.69,0.25,-1.94,-2.71
2026-04-09 19:50:00,2026-04-09 21:00:00,L,114.895,114.98159,114.8517,114.98159,2.0,tp,1.09,0.25,0.84,-1.87
2026-04-10 18:20:00,2026-04-13 02:25:00,L,115.062,115.16,114.96374,115.25853,0.997,time,1.23,0.25,0.98,-0.89
2026-04-16 15:05:00,2026-04-16 16:45:00,L,115.817,116.02311,115.71394,116.02311,2.0,tp,2.59,0.25,2.34,1.45
2026-04-20 17:05:00,2026-04-20 20:10:00,L,116.028,116.30718,115.88841,116.30718,2.0,tp,3.51,0.25,3.26,4.71
2026-04-21 15:30:00,2026-04-21 17:30:00,L,116.532,116.72716,116.43442,116.72716,2.0,tp,2.45,0.25,2.2,6.91
2026-04-22 15:45:00,2026-04-22 16:35:00,L,116.572,116.48195,116.48195,116.7521,-1.0,sl,-1.13,0.25,-1.38,5.53
2026-04-24 15:25:00,2026-04-24 23:25:00,L,116.555,116.611,116.40046,116.86407,0.362,time,0.7,0.25,0.45,5.98
2026-04-27 18:25:00,2026-04-28 02:25:00,L,116.949,117.026,116.85834,117.13031,0.849,time,0.97,0.25,0.72,6.7
2026-04-30 18:20:00,2026-04-30 18:30:00,S,115.115,115.23002,115.23002,114.88496,-1.0,sl,-1.44,0.25,-1.69,5.01
2026-05-08 15:05:00,2026-05-08 15:05:00,S,114.864,114.77935,114.90633,114.77935,2.0,tp,1.06,0.25,0.81,5.82
2026-05-08 15:10:00,2026-05-08 15:30:00,S,114.771,114.5003,114.90635,114.5003,2.0,tp,3.4,0.25,3.15,8.97
2026-05-08 19:15:00,2026-05-08 21:45:00,S,114.464,114.52676,114.52676,114.33849,-1.0,sl,-0.79,0.25,-1.04,7.93
