entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 17:25:00,2023-01-03 17:30:00,S,95.91,96.04411,96.04411,95.64179,-1.0,sl,-1.68,0.25,-1.93,-1.93
2023-01-03 17:45:00,2023-01-03 18:00:00,S,96.04,95.82002,96.14999,95.82002,2.0,tp,2.76,0.25,2.51,0.58
2023-01-03 18:05:00,2023-01-04 02:05:00,S,95.843,95.806,96.14984,95.22931,0.121,time,0.46,0.25,0.21,0.79
2023-01-05 18:55:00,2023-01-05 19:15:00,L,98.354,98.19694,98.19694,98.66812,-1.0,sl,-1.97,0.25,-2.22,-1.43
2023-01-05 19:55:00,2023-01-06 02:50:00,L,98.158,98.48366,97.99517,98.48366,2.0,tp,4.09,0.25,3.84,2.41
2023-01-06 17:50:00,2023-01-09 01:40:00,L,98.195,98.06934,98.06934,98.44632,-1.0,sl,-1.58,0.25,-1.83,0.58
2023-01-09 17:05:00,2023-01-10 01:05:00,L,98.593,98.419,98.26877,99.24145,-0.537,time,-2.19,0.25,-2.44,-1.86
2023-01-11 17:25:00,2023-01-11 17:30:00,L,98.688,98.59831,98.59831,98.86738,-1.0,sl,-1.13,0.25,-1.38,-3.24
2023-01-11 17:55:00,2023-01-12 01:05:00,L,98.683,98.50485,98.50485,99.0393,-1.0,sl,-2.24,0.25,-2.49,-5.73
2023-01-16 19:25:00,2023-01-16 19:25:00,S,96.067,96.08451,96.08451,96.03198,-1.0,sl,-0.22,0.25,-0.47,-6.2
2023-01-19 17:35:00,2023-01-19 17:45:00,S,95.396,95.2593,95.46435,95.2593,2.0,tp,1.72,0.25,1.47,-4.73
2023-01-19 17:50:00,2023-01-19 19:45:00,S,95.227,95.46551,95.46551,94.74997,-1.0,sl,-3.0,0.25,-3.25,-7.98
2023-01-24 19:10:00,2023-01-25 02:30:00,L,97.287,97.56233,97.14933,97.56233,2.0,tp,3.46,0.25,3.21,-4.77
2023-01-27 15:50:00,2023-01-27 16:00:00,L,97.37,97.28907,97.28907,97.53187,-1.0,sl,-1.02,0.25,-1.27,-6.04
2023-01-27 16:10:00,2023-01-27 20:30:00,L,97.395,97.65991,97.26255,97.65991,2.0,tp,3.33,0.25,3.08,-2.96
2023-01-30 16:15:00,2023-01-30 18:35:00,L,97.532,97.74452,97.42574,97.74452,2.0,tp,2.67,0.25,2.42,-0.54
2023-02-03 15:05:00,2023-02-03 15:30:00,L,96.173,96.43891,96.04004,96.43891,2.0,tp,3.34,0.25,3.09,2.55
2023-02-16 15:10:00,2023-02-16 15:35:00,L,99.968,99.88009,99.88009,100.14382,-1.0,sl,-1.1,0.25,-1.35,1.2
2023-02-16 15:50:00,2023-02-16 16:55:00,L,100.006,99.85916,99.85916,100.29969,-1.0,sl,-1.84,0.25,-2.09,-0.89
2023-02-16 17:45:00,2023-02-16 18:45:00,L,99.732,99.59868,99.59868,99.99863,-1.0,sl,-1.67,0.25,-1.92,-2.81
2023-02-21 16:25:00,2023-02-21 16:40:00,L,99.92,99.82627,99.82627,100.10746,-1.0,sl,-1.18,0.25,-1.43,-4.24
2023-02-21 16:55:00,2023-02-21 17:45:00,L,99.99,99.80576,99.80576,100.35848,-1.0,sl,-2.31,0.25,-2.56,-6.8
2023-02-21 18:50:00,2023-02-21 19:20:00,L,99.79,99.70926,99.70926,99.95147,-1.0,sl,-1.01,0.25,-1.26,-8.06
2023-02-27 17:10:00,2023-02-28 01:10:00,L,100.286,100.292,100.0987,100.66059,0.032,time,0.08,0.25,-0.17,-8.23
2023-02-28 16:25:00,2023-02-28 17:00:00,L,100.723,100.48188,100.48188,101.20524,-1.0,sl,-3.03,0.25,-3.28,-11.51
