exit_time,net_$,cum_net_$,equity_$,drawdown_%
2023-01-03 15:30:00,-2.35,-2.35,997.65,0.0
2023-01-03 17:55:00,3.68,1.33,1001.33,0.0
2023-01-05 19:05:00,-2.12,-0.79,999.21,-0.21
2023-01-11 00:20:00,-0.67,-1.46,998.54,-0.28
2023-01-25 01:25:00,-1.38,-2.84,997.16,-0.42
2023-01-30 02:05:00,-2.78,-5.62,994.38,-0.69
2023-02-20 17:50:00,2.01,-3.61,996.39,-0.49
2023-02-21 18:25:00,-4.43,-8.04,991.96,-0.94
2023-02-22 02:35:00,-0.38,-8.42,991.58,-0.97
2023-03-02 17:15:00,-1.51,-9.93,990.07,-1.12
2023-03-03 01:30:00,-0.63,-10.56,989.44,-1.19
2023-03-06 16:00:00,-1.71,-12.27,987.73,-1.36
2023-03-06 16:30:00,-1.67,-13.94,986.06,-1.52
2023-03-06 18:55:00,5.37,-8.57,991.43,-0.99
2023-03-09 02:10:00,0.98,-7.59,992.41,-0.89
2023-03-10 16:35:00,-7.29,-14.88,985.12,-1.62
2023-03-12 23:00:00,-5.23,-20.11,979.89,-2.14
2023-03-15 01:45:00,0.05,-20.06,979.94,-2.14
2023-03-20 20:35:00,6.11,-13.95,986.05,-1.53
2023-03-23 21:20:00,10.77,-3.18,996.82,-0.45
2023-03-24 15:55:00,-3.63,-6.81,993.19,-0.81
2023-03-24 16:30:00,-2.44,-9.25,990.75,-1.06
2023-03-27 19:45:00,2.54,-6.71,993.29,-0.8
2023-03-31 15:30:00,-3.52,-10.23,989.77,-1.15
2023-03-31 16:45:00,5.24,-4.99,995.01,-0.63
2023-04-03 17:00:00,-3.44,-8.43,991.57,-0.97
2023-04-04 16:40:00,-3.43,-11.86,988.14,-1.32
2023-04-07 23:35:00,2.09,-9.77,990.23,-1.11
2023-04-11 17:05:00,3.22,-6.55,993.45,-0.79
2023-04-12 23:50:00,4.97,-1.58,998.42,-0.29
2023-04-13 21:40:00,6.86,5.28,1005.28,0.0
2023-04-14 21:05:00,5.52,10.8,1010.8,0.0
2023-04-17 17:15:00,-3.96,6.84,1006.84,-0.39
2023-04-19 18:25:00,3.34,10.18,1010.18,-0.06
2023-04-20 15:25:00,-1.39,8.79,1008.79,-0.2
2023-04-20 18:00:00,-4.23,4.56,1004.56,-0.62
2023-04-24 18:35:00,-1.12,3.44,1003.44,-0.73
2023-04-24 18:55:00,0.59,4.03,1004.03,-0.67
2023-04-25 00:00:00,-2.02,2.01,1002.01,-0.87
2023-05-01 23:55:00,2.68,4.69,1004.69,-0.6
2023-05-12 16:25:00,-2.48,2.21,1002.21,-0.85
2023-05-12 17:30:00,4.08,6.29,1006.29,-0.45
2023-05-15 02:00:00,3.43,9.72,1009.72,-0.11
2023-05-15 17:05:00,4.29,14.01,1014.01,0.0
2023-05-18 17:40:00,-2.16,11.85,1011.85,-0.21
2023-05-19 02:00:00,1.13,12.98,1012.98,-0.1
2023-05-23 01:20:00,-0.13,12.85,1012.85,-0.11
2023-06-02 15:30:00,-1.52,11.33,1011.33,-0.26
2023-06-02 23:45:00,6.73,18.06,1018.06,0.0
2023-06-06 01:30:00,1.62,19.68,1019.68,0.0
2023-06-08 01:05:00,-0.71,18.97,1018.97,-0.07
2023-06-09 15:30:00,-2.79,16.18,1016.18,-0.34
2023-06-09 17:35:00,-2.99,13.19,1013.19,-0.64
2023-06-13 17:00:00,5.29,18.48,1018.48,-0.12
2023-06-26 21:50:00,-2.76,15.72,1015.72,-0.39
2023-06-27 15:10:00,-1.39,14.33,1014.33,-0.52
2023-06-27 19:00:00,5.23,19.56,1019.56,-0.01
2023-07-03 17:25:00,1.68,21.24,1021.24,0.0
2023-07-04 01:30:00,3.9,25.14,1025.14,0.0
2023-07-17 00:55:00,-2.65,22.49,1022.49,-0.26
2023-07-17 15:50:00,4.46,26.95,1026.95,0.0
2023-07-19 00:45:00,8.16,35.11,1035.11,0.0
2023-07-19 17:30:00,-4.42,30.69,1030.69,-0.43
2023-07-19 17:50:00,-2.05,28.64,1028.64,-0.63
2023-07-19 22:25:00,2.29,30.93,1030.93,-0.4
2023-07-21 17:05:00,3.12,34.05,1034.05,-0.1
2023-07-27 15:15:00,-2.69,31.36,1031.36,-0.36
2023-07-27 15:35:00,-2.55,28.81,1028.81,-0.61
2023-07-31 15:40:00,1.7,30.51,1030.51,-0.44
2023-07-31 16:45:00,7.05,37.56,1037.56,0.0
2023-08-09 16:00:00,2.36,39.92,1039.92,0.0
2023-08-10 00:05:00,0.24,40.16,1040.16,0.0
2023-08-10 23:35:00,3.44,43.6,1043.6,0.0
2023-08-11 17:00:00,-1.36,42.24,1042.24,-0.13
2023-08-14 01:10:00,2.94,45.18,1045.18,0.0
2023-08-14 19:45:00,6.61,51.79,1051.79,0.0
2023-08-15 17:05:00,-5.23,46.56,1046.56,-0.5
2023-08-16 02:10:00,-0.99,45.57,1045.57,-0.59
2023-08-17 15:15:00,-1.83,43.74,1043.74,-0.77
2023-08-28 18:35:00,2.38,46.12,1046.12,-0.54
2023-08-30 02:50:00,0.34,46.46,1046.46,-0.51
2023-09-04 18:50:00,1.69,48.15,1048.15,-0.35
2023-09-15 16:00:00,0.98,49.13,1049.13,-0.25
2023-09-15 17:00:00,-1.55,47.58,1047.58,-0.4
2023-09-15 18:00:00,1.27,48.85,1048.85,-0.28
2023-09-18 00:00:00,-2.68,46.17,1046.17,-0.53
2023-09-20 15:20:00,0.77,46.94,1046.94,-0.46
2023-09-20 17:30:00,2.99,49.93,1049.93,-0.18
2023-09-27 17:05:00,1.34,51.27,1051.27,-0.05
2023-09-27 17:20:00,-2.53,48.74,1048.74,-0.29
2023-10-03 17:00:00,2.5,51.24,1051.24,-0.05
2023-10-03 17:10:00,8.0,59.24,1059.24,0.0
2023-10-04 01:15:00,-2.79,56.45,1056.45,-0.26
2023-10-05 01:05:00,-0.23,56.22,1056.22,-0.29
2023-10-06 16:20:00,3.3,59.52,1059.52,0.0
2023-10-09 00:30:00,5.79,65.31,1065.31,0.0
2023-10-09 20:55:00,2.25,67.56,1067.56,0.0
2023-10-10 15:15:00,-3.05,64.51,1064.51,-0.29
2023-10-10 15:50:00,-3.07,61.44,1061.44,-0.57
2023-10-11 00:15:00,-0.86,60.58,1060.58,-0.65
2023-10-12 15:30:00,-1.87,58.71,1058.71,-0.83
2023-10-12 16:40:00,-3.74,54.97,1054.97,-1.18
2023-10-13 17:25:00,5.78,60.75,1060.75,-0.64
2023-10-17 23:55:00,4.28,65.03,1065.03,-0.24
2023-10-20 17:15:00,-1.78,63.25,1063.25,-0.4
2023-10-24 01:15:00,1.37,64.62,1064.62,-0.28
2023-10-31 18:00:00,-3.19,61.43,1061.43,-0.57
2023-10-31 19:00:00,4.16,65.59,1065.59,-0.18
2023-11-02 18:05:00,-3.71,61.88,1061.88,-0.53
2023-11-06 23:05:00,0.31,62.19,1062.19,-0.5
2023-11-07 17:30:00,2.5,64.69,1064.69,-0.27
2023-11-09 15:25:00,-1.43,63.26,1063.26,-0.4
2023-11-09 16:15:00,-1.56,61.7,1061.7,-0.55
2023-11-09 17:45:00,1.43,63.13,1063.13,-0.41
2023-11-13 02:10:00,1.72,64.85,1064.85,-0.25
2023-11-13 17:05:00,-2.4,62.45,1062.45,-0.48
2023-11-14 01:25:00,4.42,66.87,1066.87,-0.06
2023-11-14 15:30:00,4.99,71.86,1071.86,0.0
2023-11-14 23:35:00,3.65,75.51,1075.51,0.0
2023-11-22 15:40:00,4.48,79.99,1079.99,0.0
2023-11-23 17:05:00,4.49,84.48,1084.48,0.0
2023-12-01 17:55:00,4.23,88.71,1088.71,0.0
2023-12-04 00:00:00,-7.55,81.16,1081.16,-0.69
2023-12-06 23:20:00,0.29,81.45,1081.45,-0.67
2023-12-14 17:00:00,-6.89,74.56,1074.56,-1.3
2023-12-21 15:30:00,-2.15,72.41,1072.41,-1.5
2023-12-21 23:35:00,-1.37,71.04,1071.04,-1.62
2023-12-26 17:00:00,4.38,75.42,1075.42,-1.22
2023-12-28 17:40:00,-4.02,71.4,1071.4,-1.59
2024-01-05 15:30:00,-1.66,69.74,1069.74,-1.74
2024-01-05 23:35:00,-4.75,64.99,1064.99,-2.18
2024-01-15 17:35:00,-1.65,63.34,1063.34,-2.33
2024-01-15 19:30:00,-2.56,60.78,1060.78,-2.57
2024-01-16 18:00:00,4.4,65.18,1065.18,-2.16
2024-01-17 22:55:00,6.52,71.7,1071.7,-1.56
2024-01-24 17:00:00,-2.02,69.68,1069.68,-1.75
2024-01-24 21:40:00,7.11,76.79,1076.79,-1.09
2024-02-05 01:00:00,-1.21,75.58,1075.58,-1.21
2024-02-20 15:10:00,1.53,77.11,1077.11,-1.07
2024-02-20 17:35:00,-3.59,73.52,1073.52,-1.4
2024-03-05 02:10:00,-3.66,69.86,1069.86,-1.73
2024-03-07 02:00:00,2.82,72.68,1072.68,-1.47
2024-03-07 16:15:00,-3.5,69.18,1069.18,-1.79
2024-03-07 17:05:00,-1.99,67.19,1067.19,-1.98
2024-03-07 17:15:00,0.64,67.83,1067.83,-1.92
2024-03-20 17:20:00,-1.03,66.8,1066.8,-2.01
2024-03-20 19:10:00,-2.17,64.63,1064.63,-2.21
2024-03-22 18:10:00,-3.84,60.79,1060.79,-2.56
2024-03-26 00:05:00,3.47,64.26,1064.26,-2.25
2024-03-27 02:05:00,2.13,66.39,1066.39,-2.05
2024-03-27 16:45:00,-2.59,63.8,1063.8,-2.29
2024-04-02 22:20:00,4.22,68.02,1068.02,-1.9
2024-04-08 17:15:00,2.46,70.48,1070.48,-1.67
2024-04-09 17:35:00,2.95,73.43,1073.43,-1.4
2024-04-16 20:15:00,2.68,76.11,1076.11,-1.16
2024-04-17 19:25:00,-1.88,74.23,1074.23,-1.33
2024-04-18 16:15:00,-2.14,72.09,1072.09,-1.53
2024-04-18 22:55:00,-2.68,69.41,1069.41,-1.77
2024-04-24 00:50:00,-4.11,65.3,1065.3,-2.15
2024-04-26 00:45:00,3.61,68.91,1068.91,-1.82
2024-05-01 16:40:00,3.0,71.91,1071.91,-1.54
2024-05-03 15:10:00,-1.38,70.53,1070.53,-1.67
2024-05-03 15:35:00,4.07,74.6,1074.6,-1.3
2024-05-09 15:25:00,-1.91,72.69,1072.69,-1.47
2024-05-09 23:35:00,1.28,73.97,1073.97,-1.35
2024-05-10 15:30:00,-1.03,72.94,1072.94,-1.45
2024-05-10 17:25:00,-1.57,71.37,1071.37,-1.59
2024-05-10 18:40:00,3.31,74.68,1074.68,-1.29
2024-05-27 16:30:00,0.73,75.41,1075.41,-1.22
2024-05-27 19:00:00,2.54,77.95,1077.95,-0.99
2024-05-30 20:20:00,6.08,84.03,1084.03,-0.43
2024-06-06 00:10:00,-4.37,79.66,1079.66,-0.83
2024-06-06 17:55:00,-2.29,77.37,1077.37,-1.04
2024-06-06 19:35:00,-1.79,75.58,1075.58,-1.21
2024-06-11 02:35:00,2.01,77.59,1077.59,-1.02
2024-06-13 15:25:00,-1.43,76.16,1076.16,-1.15
2024-06-13 16:25:00,2.53,78.69,1078.69,-0.92
2024-06-14 00:30:00,-0.81,77.88,1077.88,-0.99
2024-06-27 15:25:00,-1.45,76.43,1076.43,-1.13
2024-06-27 23:40:00,-0.13,76.3,1076.3,-1.14
2024-06-28 17:55:00,5.06,81.36,1081.36,-0.68
2024-06-28 19:10:00,0.7,82.06,1082.06,-0.61
2024-07-04 02:20:00,2.18,84.24,1084.24,-0.41
2024-07-05 23:40:00,6.05,90.29,1090.29,0.0
2024-07-10 15:50:00,-1.18,89.11,1089.11,-0.11
2024-07-10 16:10:00,-1.26,87.85,1087.85,-0.22
2024-07-16 22:55:00,3.25,91.1,1091.1,0.0
2024-07-29 16:30:00,-1.95,89.15,1089.15,-0.18
2024-07-31 17:00:00,4.51,93.66,1093.66,0.0
2024-07-31 20:30:00,-5.27,88.39,1088.39,-0.48
2024-08-05 16:35:00,-3.56,84.83,1084.83,-0.81
2024-08-05 17:00:00,-8.08,76.75,1076.75,-1.55
2024-08-05 19:05:00,-8.54,68.21,1068.21,-2.33
2024-08-08 18:35:00,8.8,77.01,1077.01,-1.52
2024-08-19 18:05:00,-1.56,75.45,1075.45,-1.67
2024-08-19 19:40:00,-1.79,73.66,1073.66,-1.83
2024-08-23 19:50:00,9.15,82.81,1082.81,-0.99
2024-08-30 01:05:00,5.84,88.65,1088.65,-0.46
2024-09-03 16:25:00,-3.49,85.16,1085.16,-0.78
2024-09-05 23:20:00,-2.97,82.19,1082.19,-1.05
2024-09-06 23:35:00,4.36,86.55,1086.55,-0.65
2024-09-11 15:30:00,-3.29,83.26,1083.26,-0.95
2024-09-13 18:05:00,5.57,88.83,1088.83,-0.44
2024-09-26 15:25:00,2.12,90.95,1090.95,-0.25
2024-09-26 23:35:00,8.59,99.54,1099.54,0.0
2024-10-01 18:25:00,-4.9,94.64,1094.64,-0.45
2024-10-25 17:05:00,4.36,99.0,1099.0,-0.05
2024-11-13 18:20:00,3.55,102.55,1102.55,0.0
2024-11-20 17:05:00,-4.35,98.2,1098.2,-0.39
2024-11-20 17:35:00,-2.71,95.49,1095.49,-0.64
2024-11-20 18:30:00,-2.63,92.86,1092.86,-0.88
2024-11-29 19:05:00,5.22,98.08,1098.08,-0.41
2024-12-13 01:35:00,1.06,99.14,1099.14,-0.31
2024-12-17 15:35:00,-1.26,97.88,1097.88,-0.42
2024-12-17 16:55:00,2.52,100.4,1100.4,-0.2
2024-12-17 19:05:00,-4.36,96.04,1096.04,-0.59
2024-12-20 16:25:00,-3.87,92.17,1092.17,-0.94
2024-12-20 18:30:00,-3.21,88.96,1088.96,-1.23
2024-12-23 16:50:00,-2.0,86.96,1086.96,-1.41
2025-01-03 23:10:00,-3.2,83.76,1083.76,-1.7
2025-01-06 15:20:00,-1.69,82.07,1082.07,-1.86
2025-01-06 16:15:00,-3.79,78.28,1078.28,-2.2
2025-01-07 00:30:00,4.05,82.33,1082.33,-1.83
2025-01-14 15:30:00,-1.76,80.57,1080.57,-1.99
2025-01-14 17:30:00,4.15,84.72,1084.72,-1.62
2025-01-21 18:20:00,-2.5,82.22,1082.22,-1.84
2025-01-31 17:50:00,-4.84,77.38,1077.38,-2.28
2025-02-03 15:55:00,0.91,78.29,1078.29,-2.2
2025-02-03 17:15:00,4.72,83.01,1083.01,-1.77
2025-02-03 23:30:00,-6.03,76.98,1076.98,-2.32
2025-02-05 16:05:00,-3.4,73.58,1073.58,-2.63
2025-02-05 17:00:00,2.82,76.4,1076.4,-2.37
2025-02-11 15:15:00,-1.64,74.76,1074.76,-2.52
2025-02-19 15:25:00,-1.53,73.23,1073.23,-2.66
2025-02-24 16:45:00,3.26,76.49,1076.49,-2.36
2025-02-26 20:55:00,6.17,82.66,1082.66,-1.8
2025-03-06 16:55:00,-3.28,79.38,1079.38,-2.1
2025-03-19 20:00:00,-3.44,75.94,1075.94,-2.41
2025-03-20 23:05:00,1.87,77.81,1077.81,-2.24
2025-04-07 01:00:00,-10.92,66.89,1066.89,-3.23
2025-04-09 18:30:00,-3.4,63.49,1063.49,-3.54
2025-04-09 20:20:00,-3.41,60.08,1060.08,-3.85
2025-04-14 17:45:00,5.57,65.65,1065.65,-3.35
2025-04-21 20:35:00,-2.35,63.3,1063.3,-3.56
2025-05-01 19:20:00,5.34,68.64,1068.64,-3.08
2025-05-08 17:30:00,2.76,71.4,1071.4,-2.83
2025-05-09 01:35:00,0.81,72.21,1072.21,-2.75
2025-05-13 17:15:00,-1.22,70.99,1070.99,-2.86
2025-05-13 19:15:00,-3.43,67.56,1067.56,-3.17
2025-05-26 15:10:00,-1.03,66.53,1066.53,-3.27
2025-05-26 16:55:00,1.6,68.13,1068.13,-3.12
2025-06-04 17:00:00,-1.59,66.54,1066.54,-3.27
2025-06-04 19:10:00,-2.81,63.73,1063.73,-3.52
2025-06-05 23:50:00,5.0,68.73,1068.73,-3.07
2025-06-10 18:50:00,2.86,71.59,1071.59,-2.81
2025-06-11 21:10:00,-5.26,66.33,1066.33,-3.29
2025-06-16 17:30:00,-4.48,61.85,1061.85,-3.69
2025-06-16 21:45:00,3.61,65.46,1065.46,-3.36
2025-06-17 23:40:00,-1.3,64.16,1064.16,-3.48
2025-06-19 17:20:00,-1.5,62.66,1062.66,-3.62
2025-06-19 22:50:00,3.2,65.86,1065.86,-3.33
2025-06-23 16:00:00,-1.9,63.96,1063.96,-3.5
2025-06-23 16:30:00,2.36,66.32,1066.32,-3.29
2025-06-23 17:10:00,-4.08,62.24,1062.24,-3.66
2025-06-24 00:05:00,-4.52,57.72,1057.72,-4.07
2025-06-27 15:55:00,3.48,61.2,1061.2,-3.75
2025-06-27 17:30:00,-7.41,53.79,1053.79,-4.42
2025-06-30 00:00:00,-5.35,48.44,1048.44,-4.91
2025-07-02 15:15:00,-2.24,46.2,1046.2,-5.11
2025-07-02 16:25:00,3.03,49.23,1049.23,-4.84
2025-07-02 18:10:00,-4.27,44.96,1044.96,-5.22
2025-07-03 15:30:00,-1.45,43.51,1043.51,-5.35
2025-07-03 23:35:00,4.77,48.28,1048.28,-4.92
2025-07-04 16:40:00,1.36,49.64,1049.64,-4.8
2025-07-09 19:15:00,-3.23,46.41,1046.41,-5.09
2025-07-25 16:35:00,-1.98,44.43,1044.43,-5.27
2025-08-06 18:35:00,2.35,46.78,1046.78,-5.06
2025-08-06 19:50:00,-3.57,43.21,1043.21,-5.38
2025-08-12 15:30:00,-2.49,40.72,1040.72,-5.61
2025-08-12 16:00:00,-3.22,37.5,1037.5,-5.9
2025-08-13 00:25:00,3.14,40.64,1040.64,-5.62
2025-08-13 16:00:00,-2.69,37.95,1037.95,-5.86
2025-08-22 01:05:00,3.04,40.99,1040.99,-5.58
2025-08-29 15:25:00,-1.86,39.13,1039.13,-5.75
2025-08-29 23:40:00,1.33,40.46,1040.46,-5.63
2025-09-01 18:55:00,-2.33,38.13,1038.13,-5.84
2025-09-02 17:05:00,-1.53,36.6,1036.6,-5.98
2025-09-02 17:15:00,-1.58,35.02,1035.02,-6.12
2025-09-02 17:40:00,-1.64,33.38,1033.38,-6.27
2025-09-03 01:50:00,0.47,33.85,1033.85,-6.23
2025-09-03 17:00:00,-1.66,32.19,1032.19,-6.38
2025-09-05 21:50:00,5.55,37.74,1037.74,-5.88
2025-09-11 19:25:00,-3.23,34.51,1034.51,-6.17
2025-09-12 16:15:00,-1.38,33.13,1033.13,-6.3
2025-09-12 16:55:00,-1.16,31.97,1031.97,-6.4
2025-09-12 18:35:00,2.11,34.08,1034.08,-6.21
2025-09-15 16:15:00,-1.19,32.89,1032.89,-6.32
2025-09-15 22:40:00,3.07,35.96,1035.96,-6.04
2025-09-18 19:20:00,-2.95,33.01,1033.01,-6.31
2025-09-23 19:10:00,2.2,35.21,1035.21,-6.11
2025-09-26 00:20:00,3.05,38.26,1038.26,-5.83
2025-10-06 17:55:00,5.27,43.53,1043.53,-5.35
2025-10-08 16:30:00,-1.73,41.8,1041.8,-5.51
2025-10-08 16:45:00,-1.52,40.28,1040.28,-5.65
2025-10-08 17:30:00,-2.71,37.57,1037.57,-5.89
2025-10-08 19:00:00,-2.86,34.71,1034.71,-6.15
2025-10-16 18:40:00,-2.51,32.2,1032.2,-6.38
2025-10-17 19:00:00,1.74,33.94,1033.94,-6.22
2025-10-22 01:40:00,-2.26,31.68,1031.68,-6.43
2025-10-24 15:30:00,-2.14,29.54,1029.54,-6.62
2025-10-30 19:30:00,-3.62,25.92,1025.92,-6.95
2025-11-10 19:00:00,0.59,26.51,1026.51,-6.9
2025-11-13 16:45:00,-2.6,23.91,1023.91,-7.13
2025-11-13 18:20:00,4.88,28.79,1028.79,-6.69
2025-11-14 15:50:00,1.91,30.7,1030.7,-6.52
2025-11-14 17:00:00,-5.12,25.58,1025.58,-6.98
2025-11-14 23:50:00,-2.95,22.63,1022.63,-7.25
2025-11-19 23:30:00,3.88,26.51,1026.51,-6.9
2025-12-08 16:20:00,-2.32,24.19,1024.19,-7.11
2025-12-08 17:20:00,-2.89,21.3,1021.3,-7.37
2025-12-11 16:55:00,-1.82,19.48,1019.48,-7.53
2025-12-11 17:55:00,3.53,23.01,1023.01,-7.21
2025-12-12 17:55:00,-2.28,20.73,1020.73,-7.42
2025-12-18 17:00:00,1.27,22.0,1022.0,-7.31
2025-12-19 00:00:00,-2.75,19.25,1019.25,-7.56
2025-12-19 16:05:00,3.07,22.32,1022.32,-7.28
2025-12-19 21:55:00,5.02,27.34,1027.34,-6.82
2025-12-22 23:50:00,1.35,28.69,1028.69,-6.7
2025-12-23 17:50:00,0.93,29.62,1029.62,-6.61
2025-12-23 23:55:00,5.74,35.36,1035.36,-6.09
2025-12-31 18:40:00,-3.15,32.21,1032.21,-6.38
2026-01-12 15:45:00,2.13,34.34,1034.34,-6.19
2026-01-13 17:55:00,-3.81,30.53,1030.53,-6.53
2026-01-13 19:00:00,1.16,31.69,1031.69,-6.43
2026-02-04 16:30:00,-2.31,29.38,1029.38,-6.64
2026-02-04 17:50:00,-3.17,26.21,1026.21,-6.92
2026-02-05 16:55:00,-2.59,23.62,1023.62,-7.16
2026-02-05 19:25:00,1.83,25.45,1025.45,-6.99
2026-02-09 17:00:00,3.5,28.95,1028.95,-6.68
2026-02-10 01:05:00,4.47,33.42,1033.42,-6.27
