symbol,mode,confirms,memory,min_r,atr_min,session,trades,WR_%,exp_R,PF,q_pass_%,score
CHFJPY,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-12,413,43.83,0.315,1.34,30.8,11.21
CHFJPY,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-12,401,43.39,0.302,1.31,30.8,10.78
CHFJPY,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-13,458,44.32,0.33,1.34,23.1,7.86
CHFJPY,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-13,438,44.29,0.329,1.34,23.1,7.83
CHFJPY,RSI-gated,f_candle|f_ema,15,-,0.9,NY07-16,528,43.75,0.312,1.34,23.1,7.29
CHFJPY,RSI-gated,f_candle|f_ema,15,-,0.0,NY07-16,666,42.94,0.288,1.32,23.1,6.48
CHFJPY,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-13,396,41.67,0.25,1.19,23.1,5.21
CHFJPY,RSI-gated,f_candle|f_ema,10,-,0.9,NY07-16,460,41.3,0.239,1.2,23.1,4.84
CHFJPY,RSI-gated,f_candle|f_ema,10,-,0.0,NY07-16,592,40.37,0.211,1.18,23.1,3.91
CHFJPY,OR,f_candle|f_ema,10,1,0.9,NY07-16,1724,43.68,0.31,1.34,15.4,3.37
CHFJPY,OR,f_candle|f_ema,10,1,0.9,NY08-13,1431,43.68,0.31,1.31,15.4,3.37
CHFJPY,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-13,374,41.71,0.251,1.18,15.4,1.4
CHFJPY,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-12,353,41.08,0.232,1.18,15.4,0.77
CHFJPY,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-12,341,40.47,0.214,1.14,15.4,0.16
CHFJPY,OR,f_candle|f_ema,10,1,0.9,NY08-12,1340,43.88,0.316,1.32,7.7,-0.27
CHFJPY,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-12,1431,43.89,0.317,1.36,7.7,-0.27
CHFJPY,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-13,1527,43.55,0.306,1.34,7.7,-0.6
CHFJPY,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY07-16,1848,43.51,0.305,1.35,7.7,-0.65
