entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 14:50:00,2023-01-03 15:30:00,S,139.558,139.7618,139.7618,139.1504,-1.0,sl,-2.56,0.48,-3.04,-3.04
2023-01-03 15:50:00,2023-01-03 17:55:00,S,139.68,139.34841,139.84579,139.34841,2.0,tp,4.16,0.48,3.68,0.64
2023-01-05 18:55:00,2023-01-05 19:05:00,L,142.642,142.51105,142.51105,142.9039,-1.0,sl,-1.64,0.48,-2.12,-1.48
2023-01-05 19:30:00,2023-01-05 20:25:00,L,142.321,142.22379,142.22379,142.51542,-1.0,sl,-1.22,0.48,-1.7,-3.18
2023-01-05 20:45:00,2023-01-05 21:35:00,L,142.27,142.42967,142.19016,142.42967,2.0,tp,2.01,0.48,1.53,-1.65
2023-01-06 16:10:00,2023-01-06 17:00:00,L,142.715,142.48445,142.48445,143.17611,-1.0,sl,-2.9,0.48,-3.38,-5.03
2023-01-09 20:00:00,2023-01-09 20:15:00,L,143.267,143.19862,143.19862,143.40376,-1.0,sl,-0.86,0.48,-1.34,-6.37
2023-01-09 20:30:00,2023-01-09 20:35:00,L,143.213,143.1595,143.1595,143.31999,-1.0,sl,-0.67,0.48,-1.15,-7.52
2023-01-09 22:10:00,2023-01-10 00:00:00,L,143.106,142.97582,142.97582,143.36636,-1.0,sl,-1.64,0.48,-2.12,-9.64
2023-01-13 21:05:00,2023-01-13 21:15:00,S,137.94,138.01935,138.01935,137.7813,-1.0,sl,-1.0,0.48,-1.48,-11.12
2023-01-13 21:25:00,2023-01-13 22:20:00,S,137.965,138.03201,138.03201,137.83099,-1.0,sl,-0.84,0.48,-1.32,-12.44
2023-01-16 20:05:00,2023-01-17 03:30:00,S,138.882,139.09346,139.09346,138.45907,-1.0,sl,-2.66,0.48,-3.14,-15.58
2023-01-24 17:25:00,2023-01-25 01:25:00,S,141.007,141.079,141.32416,140.37268,-0.227,time,-0.9,0.48,-1.38,-16.96
2023-01-26 21:05:00,2023-01-27 01:25:00,L,141.454,141.25792,141.25792,141.84616,-1.0,sl,-2.46,0.48,-2.94,-19.9
2023-01-27 18:55:00,2023-01-30 02:05:00,S,140.89,141.07276,141.07276,140.52448,-1.0,sl,-2.3,0.48,-2.78,-22.68
2023-02-01 14:40:00,2023-02-01 15:15:00,L,141.725,141.56154,141.56154,142.05193,-1.0,sl,-2.05,0.48,-2.53,-25.21
2023-02-06 22:10:00,2023-02-07 00:05:00,L,142.801,142.9163,142.74335,142.9163,2.0,tp,1.45,0.48,0.97,-24.24
2023-02-16 18:05:00,2023-02-16 18:35:00,L,144.961,144.83118,144.83118,145.22065,-1.0,sl,-1.63,0.48,-2.11,-26.35
2023-02-16 19:05:00,2023-02-16 20:55:00,L,144.917,144.75323,144.75323,145.24454,-1.0,sl,-2.06,0.48,-2.54,-28.89
2023-02-16 21:15:00,2023-02-16 21:15:00,L,144.769,144.72004,144.72004,144.86691,-1.0,sl,-0.61,0.48,-1.09,-29.98
2023-02-16 22:00:00,2023-02-16 22:05:00,L,144.799,144.6906,144.6906,145.01579,-1.0,sl,-1.36,0.48,-1.84,-31.82
2023-02-20 15:40:00,2023-02-20 15:45:00,L,145.028,145.11706,144.98347,145.11706,2.0,tp,1.12,0.48,0.64,-31.18
2023-02-20 15:50:00,2023-02-20 22:00:00,L,145.131,145.42568,144.98366,145.42568,2.0,tp,3.7,0.48,3.22,-27.96
