entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2026-02-17 16:55:00,2026-02-17 18:20:00,S,198.848,198.98214,198.98214,198.57973,-1.0,sl,-1.68,0.48,-2.16,-2.16
2026-03-09 16:30:00,2026-03-09 17:35:00,L,203.259,203.02624,203.02624,203.72453,-1.0,sl,-2.92,0.48,-3.4,-5.56
2026-03-10 18:50:00,2026-03-10 19:05:00,L,203.09,203.02263,203.02263,203.22475,-1.0,sl,-0.85,0.48,-1.33,-6.89
2026-03-19 17:30:00,2026-03-19 17:50:00,S,200.322,200.00709,200.47945,200.00709,2.0,tp,3.96,0.48,3.48,-3.41
2026-03-20 16:35:00,2026-03-20 18:20:00,L,201.573,202.09132,201.31384,202.09132,2.0,tp,6.51,0.48,6.03,2.62
2026-03-27 16:40:00,2026-03-27 17:15:00,S,200.79,200.48444,200.94278,200.48444,2.0,tp,3.84,0.48,3.36,5.98
2026-04-02 16:25:00,2026-04-02 16:50:00,S,199.621,199.29672,199.78314,199.29672,2.0,tp,4.07,0.48,3.59,9.57
2026-04-07 15:25:00,2026-04-07 16:15:00,S,199.904,199.72997,199.99102,199.72997,2.0,tp,2.19,0.48,1.71,11.28
2026-04-07 16:20:00,2026-04-07 17:35:00,S,199.753,199.95169,199.95169,199.35563,-1.0,sl,-2.5,0.48,-2.98,8.3
2026-04-10 18:45:00,2026-04-13 01:25:00,L,201.783,201.54155,201.54155,202.2659,-1.0,sl,-3.03,0.48,-3.51,4.79
2026-04-15 15:05:00,2026-04-15 23:05:00,L,203.282,203.318,203.06136,203.72327,0.163,time,0.45,0.48,-0.03,4.76
2026-04-29 17:05:00,2026-04-29 18:15:00,L,202.41,202.78712,202.22144,202.78712,2.0,tp,4.74,0.48,4.26,9.02
2026-05-01 15:30:00,2026-05-01 16:50:00,S,200.786,200.5587,200.89965,200.5587,2.0,tp,2.85,0.48,2.37,11.39
2026-05-04 17:00:00,2026-05-04 17:15:00,S,200.656,200.75239,200.75239,200.46322,-1.0,sl,-1.21,0.48,-1.69,9.7
2026-05-04 18:20:00,2026-05-04 19:30:00,S,200.75,200.55538,200.84731,200.55538,2.0,tp,2.44,0.48,1.96,11.66
2026-05-06 15:15:00,2026-05-06 16:30:00,S,200.47,200.30491,200.55254,200.30491,2.0,tp,2.07,0.48,1.59,13.25
2026-05-06 18:25:00,2026-05-06 20:20:00,S,200.588,200.78426,200.78426,200.19548,-1.0,sl,-2.47,0.48,-2.95,10.3
2026-05-11 15:25:00,2026-05-11 17:20:00,L,201.805,202.07913,201.66794,202.07913,2.0,tp,3.44,0.48,2.96,13.26
2026-05-12 15:20:00,2026-05-12 16:20:00,L,201.778,201.6374,201.6374,202.0592,-1.0,sl,-1.77,0.48,-2.25,11.01
