entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 15:10:00,2023-01-03 15:30:00,S,139.612,139.7611,139.7611,139.3138,-1.0,sl,-1.87,0.48,-2.35,-2.35
2023-01-03 15:50:00,2023-01-03 17:55:00,S,139.68,139.34841,139.84579,139.34841,2.0,tp,4.16,0.48,3.68,1.33
2023-01-05 18:55:00,2023-01-05 19:05:00,L,142.642,142.51105,142.51105,142.9039,-1.0,sl,-1.64,0.48,-2.12,-0.79
2023-01-10 16:20:00,2023-01-11 00:20:00,L,143.201,143.186,142.97476,143.65347,-0.066,time,-0.19,0.48,-0.67,-1.46
2023-01-24 17:25:00,2023-01-25 01:25:00,S,141.007,141.079,141.32416,140.37268,-0.227,time,-0.9,0.48,-1.38,-2.84
2023-01-27 18:55:00,2023-01-30 02:05:00,S,140.89,141.07276,141.07276,140.52448,-1.0,sl,-2.3,0.48,-2.78,-5.62
2023-02-20 16:10:00,2023-02-20 17:50:00,L,145.083,145.28139,144.98381,145.28139,2.0,tp,2.49,0.48,2.01,-3.61
2023-02-21 17:40:00,2023-02-21 18:25:00,L,145.682,145.36715,145.36715,146.31171,-1.0,sl,-3.95,0.48,-4.43,-8.04
2023-02-21 18:35:00,2023-02-22 02:35:00,L,145.473,145.481,145.34078,145.73745,0.061,time,0.1,0.48,-0.38,-8.42
2023-03-02 17:05:00,2023-03-02 17:15:00,L,145.11,145.02825,145.02825,145.27349,-1.0,sl,-1.03,0.48,-1.51,-9.93
2023-03-02 17:30:00,2023-03-03 01:30:00,L,145.013,145.001,144.82047,145.39807,-0.062,time,-0.15,0.48,-0.63,-10.56
2023-03-06 15:25:00,2023-03-06 16:00:00,L,145.469,145.37136,145.37136,145.66429,-1.0,sl,-1.23,0.48,-1.71,-12.27
2023-03-06 16:25:00,2023-03-06 16:30:00,L,145.396,145.30112,145.30112,145.58575,-1.0,sl,-1.19,0.48,-1.67,-13.94
2023-03-06 16:40:00,2023-03-06 18:55:00,L,145.522,145.98798,145.28901,145.98798,2.0,tp,5.85,0.48,5.37,-8.57
2023-03-08 18:10:00,2023-03-09 02:10:00,L,145.568,145.684,145.20019,146.30361,0.315,time,1.46,0.48,0.98,-7.59
2023-03-10 16:05:00,2023-03-10 16:35:00,L,147.308,146.76588,146.76588,148.39224,-1.0,sl,-6.81,0.48,-7.29,-14.88
2023-03-10 18:20:00,2023-03-12 23:00:00,L,146.424,146.04621,146.04621,147.17959,-1.0,sl,-4.75,0.48,-5.23,-20.11
2023-03-14 17:45:00,2023-03-15 01:45:00,L,146.964,147.006,146.71517,147.46166,0.169,time,0.53,0.48,0.05,-20.06
2023-03-20 17:25:00,2023-03-20 20:35:00,S,142.204,141.67901,142.46649,141.67901,2.0,tp,6.59,0.48,6.11,-13.95
2023-03-23 18:15:00,2023-03-23 21:20:00,S,143.199,142.30323,143.64688,142.30323,2.0,tp,11.25,0.48,10.77,-3.18
2023-03-24 15:50:00,2023-03-24 15:55:00,S,141.846,142.09703,142.09703,141.34393,-1.0,sl,-3.15,0.48,-3.63,-6.81
2023-03-24 16:05:00,2023-03-24 16:30:00,S,142.015,142.17134,142.17134,141.70232,-1.0,sl,-1.96,0.48,-2.44,-9.25
2023-03-27 17:50:00,2023-03-27 19:45:00,L,143.372,143.61234,143.25183,143.61234,2.0,tp,3.02,0.48,2.54,-6.71
2023-03-31 15:10:00,2023-03-31 15:30:00,L,145.342,145.10034,145.10034,145.82532,-1.0,sl,-3.04,0.48,-3.52,-10.23
2023-03-31 15:45:00,2023-03-31 16:45:00,L,145.29,145.74557,145.06221,145.74557,2.0,tp,5.72,0.48,5.24,-4.99
2023-04-03 15:20:00,2023-04-03 17:00:00,L,145.347,145.11131,145.11131,145.81838,-1.0,sl,-2.96,0.48,-3.44,-8.43
2023-04-04 16:15:00,2023-04-04 16:40:00,L,145.567,145.33183,145.33183,146.03735,-1.0,sl,-2.95,0.48,-3.43,-11.86
2023-04-07 15:35:00,2023-04-07 23:35:00,L,145.814,146.019,145.26675,146.90851,0.375,time,2.57,0.48,2.09,-9.77
2023-04-11 16:20:00,2023-04-11 17:05:00,L,147.075,147.36992,146.92754,147.36992,2.0,tp,3.7,0.48,3.22,-6.55
2023-04-12 15:50:00,2023-04-12 23:50:00,L,148.108,148.542,147.66998,148.98405,0.991,time,5.45,0.48,4.97,-1.58
2023-04-13 17:00:00,2023-04-13 21:40:00,L,148.932,149.51673,148.63964,149.51673,2.0,tp,7.34,0.48,6.86,5.28
2023-04-14 15:35:00,2023-04-14 21:05:00,L,149.029,149.50692,148.79004,149.50692,2.0,tp,6.0,0.48,5.52,10.8
2023-04-17 15:35:00,2023-04-17 17:15:00,L,149.853,149.57564,149.57564,150.40771,-1.0,sl,-3.48,0.48,-3.96,6.84
2023-04-19 16:10:00,2023-04-19 18:25:00,L,149.677,149.98129,149.52485,149.98129,2.0,tp,3.82,0.48,3.34,10.18
2023-04-20 15:15:00,2023-04-20 15:25:00,L,150.32,150.24768,150.24768,150.46465,-1.0,sl,-0.91,0.48,-1.39,8.79
2023-04-20 15:55:00,2023-04-20 18:00:00,L,150.277,149.97852,149.97852,150.87396,-1.0,sl,-3.75,0.48,-4.23,4.56
2023-04-24 18:35:00,2023-04-24 18:35:00,L,151.184,151.13273,151.13273,151.28654,-1.0,sl,-0.64,0.48,-1.12,3.44
2023-04-24 18:50:00,2023-04-24 18:55:00,L,151.138,151.22301,151.09549,151.22301,2.0,tp,1.07,0.48,0.59,4.03
2023-04-24 19:00:00,2023-04-25 00:00:00,L,151.218,151.09561,151.09561,151.46278,-1.0,sl,-1.54,0.48,-2.02,2.01
2023-05-01 19:00:00,2023-05-01 23:55:00,L,153.351,153.60298,153.22501,153.60298,2.0,tp,3.16,0.48,2.68,4.69
2023-05-12 15:05:00,2023-05-12 16:25:00,L,150.831,150.67162,150.67162,151.14976,-1.0,sl,-2.0,0.48,-2.48,2.21
2023-05-12 17:05:00,2023-05-12 17:30:00,L,150.568,150.9314,150.3863,150.9314,2.0,tp,4.56,0.48,4.08,6.29
2023-05-12 17:55:00,2023-05-15 02:00:00,L,150.818,151.129,150.39,151.674,0.727,time,3.91,0.48,3.43,9.72
2023-05-15 16:05:00,2023-05-15 17:05:00,L,151.694,152.07396,151.50402,152.07396,2.0,tp,4.77,0.48,4.29,14.01
2023-05-18 17:15:00,2023-05-18 17:40:00,L,153.068,152.9343,152.9343,153.33541,-1.0,sl,-1.68,0.48,-2.16,11.85
2023-05-18 18:00:00,2023-05-19 02:00:00,L,153.05,153.178,152.84655,153.4569,0.629,time,1.61,0.48,1.13,12.98
2023-05-22 17:20:00,2023-05-23 01:20:00,L,154.261,154.289,153.93386,154.91529,0.086,time,0.35,0.48,-0.13,12.85
2023-06-02 15:15:00,2023-06-02 15:30:00,L,153.201,153.118,153.118,153.36699,-1.0,sl,-1.04,0.48,-1.52,11.33
2023-06-02 15:45:00,2023-06-02 23:45:00,L,153.398,153.972,153.04479,154.10442,1.625,time,7.21,0.48,6.73,18.06
2023-06-05 17:30:00,2023-06-06 01:30:00,L,153.799,153.966,153.42705,154.5429,0.449,time,2.1,0.48,1.62,19.68
2023-06-07 17:05:00,2023-06-08 01:05:00,L,153.953,153.935,153.66634,154.52631,-0.063,time,-0.23,0.48,-0.71,18.97
2023-06-09 15:20:00,2023-06-09 15:30:00,L,154.685,154.50073,154.50073,155.05353,-1.0,sl,-2.31,0.48,-2.79,16.18
2023-06-09 16:00:00,2023-06-09 17:35:00,L,154.575,154.37504,154.37504,154.97492,-1.0,sl,-2.51,0.48,-2.99,13.19
2023-06-13 16:25:00,2023-06-13 17:00:00,L,153.787,154.24606,153.55747,154.24606,2.0,tp,5.77,0.48,5.29,18.48
2023-06-26 18:20:00,2023-06-26 21:50:00,L,160.43,160.24865,160.24865,160.7927,-1.0,sl,-2.28,0.48,-2.76,15.72
2023-06-27 15:05:00,2023-06-27 15:10:00,L,160.491,160.41821,160.41821,160.63658,-1.0,sl,-0.91,0.48,-1.39,14.33
2023-06-27 15:35:00,2023-06-27 19:00:00,L,160.615,161.06949,160.38776,161.06949,2.0,tp,5.71,0.48,5.23,19.56
2023-07-03 17:15:00,2023-07-03 17:25:00,L,160.762,160.93411,160.67594,160.93411,2.0,tp,2.16,0.48,1.68,21.24
2023-07-03 17:30:00,2023-07-04 01:30:00,L,160.996,161.345,160.67635,161.63529,1.092,time,4.38,0.48,3.9,25.14
2023-07-14 17:55:00,2023-07-17 00:55:00,L,160.902,160.72906,160.72906,161.24789,-1.0,sl,-2.17,0.48,-2.65,22.49
2023-07-17 15:05:00,2023-07-17 15:50:00,L,161.01,161.40351,160.81325,161.40351,2.0,tp,4.94,0.48,4.46,26.95
2023-07-18 16:45:00,2023-07-19 00:45:00,L,161.155,161.843,160.65955,162.1459,1.389,time,8.64,0.48,8.16,35.11
2023-07-19 15:55:00,2023-07-19 17:30:00,L,162.777,162.46359,162.46359,163.40382,-1.0,sl,-3.94,0.48,-4.42,30.69
2023-07-19 17:40:00,2023-07-19 17:50:00,L,162.539,162.41368,162.41368,162.78963,-1.0,sl,-1.57,0.48,-2.05,28.64
2023-07-19 18:10:00,2023-07-19 22:25:00,L,162.452,162.67254,162.34173,162.67254,2.0,tp,2.77,0.48,2.29,30.93
2023-07-21 15:55:00,2023-07-21 17:05:00,L,163.454,163.74061,163.3107,163.74061,2.0,tp,3.6,0.48,3.12,34.05
2023-07-27 15:15:00,2023-07-27 15:15:00,L,163.587,163.41112,163.41112,163.93876,-1.0,sl,-2.21,0.48,-2.69,31.36
2023-07-27 15:25:00,2023-07-27 15:35:00,L,163.37,163.20522,163.20522,163.69956,-1.0,sl,-2.07,0.48,-2.55,28.81
2023-07-31 15:30:00,2023-07-31 15:40:00,L,162.945,163.11882,162.85809,163.11882,2.0,tp,2.18,0.48,1.7,30.51
2023-07-31 15:50:00,2023-07-31 16:45:00,L,163.158,163.75728,162.85836,163.75728,2.0,tp,7.53,0.48,7.05,37.56
2023-08-09 15:30:00,2023-08-09 16:00:00,L,163.465,163.69139,163.3518,163.69139,2.0,tp,2.84,0.48,2.36,39.92
2023-08-09 16:05:00,2023-08-10 00:05:00,L,163.718,163.775,163.3522,164.44961,0.156,time,0.72,0.48,0.24,40.16
2023-08-10 15:35:00,2023-08-10 23:35:00,L,164.803,165.115,164.26456,165.87987,0.579,time,3.92,0.48,3.44,43.6
2023-08-11 16:55:00,2023-08-11 17:00:00,L,164.998,164.92778,164.92778,165.13845,-1.0,sl,-0.88,0.48,-1.36,42.24
2023-08-11 17:05:00,2023-08-14 01:10:00,L,165.076,165.348,164.81656,165.59487,1.048,time,3.42,0.48,2.94,45.18
2023-08-14 17:05:00,2023-08-14 19:45:00,L,165.096,165.66079,164.8136,165.66079,2.0,tp,7.09,0.48,6.61,51.79
2023-08-15 15:45:00,2023-08-15 17:05:00,L,166.088,165.7098,165.7098,166.84441,-1.0,sl,-4.75,0.48,-5.23,46.56
2023-08-15 18:10:00,2023-08-16 02:10:00,L,165.752,165.711,165.53411,166.18778,-0.188,time,-0.51,0.48,-0.99,45.57
2023-08-17 15:05:00,2023-08-17 15:15:00,L,166.233,166.12571,166.12571,166.44758,-1.0,sl,-1.35,0.48,-1.83,43.74
2023-08-28 15:10:00,2023-08-28 18:35:00,L,165.652,165.87949,165.53826,165.87949,2.0,tp,2.86,0.48,2.38,46.12
