exit_time,net_$,cum_net_$,equity_$,drawdown_%
2023-01-04 18:20:00,-3.92,-3.92,996.08,0.0
2023-01-04 20:45:00,-3.43,-7.35,992.65,-0.34
2023-01-09 15:40:00,-4.35,-11.7,988.3,-0.78
2023-01-09 16:00:00,-2.79,-14.49,985.51,-1.06
2023-01-09 19:00:00,-2.42,-16.91,983.09,-1.3
2023-01-19 15:50:00,-2.86,-19.77,980.23,-1.59
2023-01-19 16:55:00,-2.1,-21.87,978.13,-1.8
2023-01-19 17:55:00,2.76,-19.11,980.89,-1.52
2023-01-20 02:00:00,1.07,-18.04,981.96,-1.42
2023-01-23 17:50:00,7.74,-10.3,989.7,-0.64
2023-01-25 15:30:00,-1.83,-12.13,987.87,-0.82
2023-01-26 00:00:00,6.48,-5.65,994.35,-0.17
2023-01-26 18:35:00,1.39,-4.26,995.74,-0.03
2023-02-07 16:25:00,-1.5,-5.76,994.24,-0.18
2023-02-07 18:30:00,4.19,-1.57,998.43,0.0
2023-02-13 17:35:00,2.78,1.21,1001.21,0.0
2023-02-14 01:40:00,-1.52,-0.31,999.69,-0.15
2023-02-15 01:35:00,5.32,5.01,1005.01,0.0
2023-02-17 16:20:00,-3.2,1.81,1001.81,-0.32
2023-02-17 17:15:00,-3.53,-1.72,998.28,-0.67
2023-02-20 00:05:00,-2.89,-4.61,995.39,-0.96
2023-02-22 17:10:00,6.37,1.76,1001.76,-0.32
2023-03-03 00:00:00,-2.75,-0.99,999.01,-0.6
2023-03-08 20:35:00,6.07,5.08,1005.08,0.0
2023-03-09 16:25:00,1.64,6.72,1006.72,0.0
2023-03-09 19:35:00,5.83,12.55,1012.55,0.0
2023-03-10 20:20:00,10.9,23.45,1023.45,0.0
2023-03-15 00:35:00,-4.15,19.3,1019.3,-0.41
2023-03-20 23:00:00,-3.11,16.19,1016.19,-0.71
2023-03-28 16:50:00,-1.62,14.57,1014.57,-0.87
2023-03-29 15:40:00,1.32,15.89,1015.89,-0.74
2023-03-29 16:45:00,-3.42,12.47,1012.47,-1.07
2023-03-30 02:10:00,1.97,14.44,1014.44,-0.88
2023-03-31 16:00:00,-2.99,11.45,1011.45,-1.17
2023-03-31 18:25:00,-6.1,5.35,1005.35,-1.77
2023-04-04 15:55:00,4.52,9.87,1009.87,-1.33
2023-04-05 00:15:00,1.5,11.37,1011.37,-1.18
2023-04-05 17:00:00,-4.03,7.34,1007.34,-1.57
2023-04-05 17:30:00,-4.01,3.33,1003.33,-1.97
2023-04-05 17:50:00,-3.08,0.25,1000.25,-2.27
2023-04-05 22:35:00,-3.73,-3.48,996.52,-2.63
2023-04-10 20:45:00,-2.15,-5.63,994.37,-2.84
2023-04-12 17:30:00,7.93,2.3,1002.3,-2.07
2023-04-17 16:20:00,-3.06,-0.76,999.24,-2.37
2023-04-27 02:40:00,-2.16,-2.92,997.08,-2.58
2023-04-27 16:55:00,-1.73,-4.65,995.35,-2.75
2023-04-27 20:00:00,-1.89,-6.54,993.46,-2.93
2023-04-28 16:20:00,4.44,-2.1,997.9,-2.5
2023-05-03 19:20:00,-3.39,-5.49,994.51,-2.83
2023-05-03 19:50:00,-1.72,-7.21,992.79,-3.0
2023-05-03 19:55:00,-1.27,-8.48,991.52,-3.12
2023-05-10 01:55:00,0.79,-7.69,992.31,-3.04
2023-05-10 20:35:00,-2.8,-10.49,989.51,-3.32
2023-05-12 16:45:00,0.92,-9.57,990.43,-3.23
2023-05-12 18:35:00,6.12,-3.45,996.55,-2.63
2023-05-15 17:25:00,2.29,-1.16,998.84,-2.4
2023-05-16 01:40:00,4.24,3.08,1003.08,-1.99
2023-05-17 01:10:00,3.54,6.62,1006.62,-1.64
2023-05-18 16:25:00,3.06,9.68,1009.68,-1.35
2023-05-26 16:55:00,3.28,12.96,1012.96,-1.02
2023-05-31 19:55:00,-5.2,7.76,1007.76,-1.53
2023-06-07 17:30:00,-3.12,4.64,1004.64,-1.84
2023-06-07 20:05:00,-2.11,2.53,1002.53,-2.04
2023-06-09 03:15:00,-1.06,1.47,1001.47,-2.15
2023-06-14 16:00:00,1.77,3.24,1003.24,-1.97
2023-06-14 21:00:00,-4.31,-1.07,998.93,-2.4
2023-06-16 00:05:00,6.58,5.51,1005.51,-1.75
2023-06-16 17:55:00,5.09,10.6,1010.6,-1.26
2023-06-27 19:05:00,6.15,16.75,1016.75,-0.65
2023-06-28 17:55:00,2.07,18.82,1018.82,-0.45
2023-06-28 18:30:00,-2.88,15.94,1015.94,-0.73
2023-06-28 22:35:00,5.31,21.25,1021.25,-0.21
2023-07-05 19:15:00,-5.55,15.7,1015.7,-0.76
2023-07-07 17:10:00,-2.96,12.74,1012.74,-1.05
2023-07-07 17:30:00,1.02,13.76,1013.76,-0.95
2023-07-10 02:10:00,0.45,14.21,1014.21,-0.9
2023-07-10 16:50:00,-2.66,11.55,1011.55,-1.16
2023-07-10 19:55:00,-2.78,8.77,1008.77,-1.43
2023-07-17 19:40:00,-2.59,6.18,1006.18,-1.69
2023-07-19 00:00:00,-2.32,3.86,1003.86,-1.91
2023-07-19 16:30:00,-2.32,1.54,1001.54,-2.14
2023-07-19 17:55:00,3.31,4.85,1004.85,-1.82
2023-07-20 00:05:00,-6.99,-2.14,997.86,-2.5
2023-07-25 17:05:00,5.1,2.96,1002.96,-2.0
2023-07-26 17:35:00,2.23,5.19,1005.19,-1.78
2023-07-26 21:40:00,-3.64,1.55,1001.55,-2.14
2023-08-02 23:15:00,3.53,5.08,1005.08,-1.79
2023-08-03 18:05:00,-3.76,1.32,1001.32,-2.16
2023-08-03 19:40:00,-1.91,-0.59,999.41,-2.35
2023-08-07 16:55:00,4.03,3.44,1003.44,-1.96
2023-08-08 01:25:00,-1.86,1.58,1001.58,-2.14
2023-08-08 15:20:00,-1.84,-0.26,999.74,-2.32
2023-08-08 16:20:00,-1.59,-1.85,998.15,-2.47
2023-08-08 16:30:00,1.18,-0.67,999.33,-2.36
2023-08-08 18:10:00,-3.07,-3.74,996.26,-2.66
2023-08-08 20:20:00,-2.19,-5.93,994.07,-2.87
2023-08-15 17:55:00,-3.42,-9.35,990.65,-3.2
2023-08-15 19:40:00,2.52,-6.83,993.17,-2.96
2023-08-17 01:05:00,2.21,-4.62,995.38,-2.74
2023-08-17 15:35:00,-3.21,-7.83,992.17,-3.06
2023-08-18 17:50:00,-1.96,-9.79,990.21,-3.25
2023-08-21 18:15:00,5.02,-4.77,995.23,-2.76
2023-08-30 19:15:00,6.76,1.99,1001.99,-2.1
2023-09-05 17:25:00,-4.31,-2.32,997.68,-2.52
2023-09-06 02:55:00,1.02,-1.3,998.7,-2.42
