symbol,quarter,trades,wins,WR_%,exp_R,PF,pass
EURAUD,2023Q1,35,15,42.86,0.182,1.33,False
EURAUD,2023Q2,37,18,48.65,0.33,1.69,True
EURAUD,2023Q3,39,13,33.33,-0.1,0.84,False
EURAUD,2023Q4,32,17,53.12,0.408,1.91,True
EURAUD,2024Q1,34,13,38.24,0.008,1.01,False
EURAUD,2024Q2,37,19,51.35,0.348,1.76,True
EURAUD,2024Q3,37,19,51.35,0.39,1.85,True
EURAUD,2024Q4,38,17,44.74,0.266,1.54,False
EURAUD,2025Q1,28,12,42.86,0.197,1.37,False
EURAUD,2025Q2,37,16,43.24,0.154,1.27,False
EURAUD,2025Q3,42,26,61.9,0.713,2.95,True
EURAUD,2025Q4,42,21,50.0,0.204,1.42,True
EURAUD,2026Q1,22,11,50.0,0.342,1.68,False
