symbol,mode,confirms,memory,min_r,atr_min,session,trades,WR_%,exp_R,PF,q_pass_%,score
EURAUD,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-13,460,47.17,0.415,1.53,46.2,22.25
EURAUD,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-13,437,46.68,0.4,1.48,46.2,21.76
EURAUD,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-13,392,47.96,0.439,1.53,38.5,19.19
EURAUD,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-12,365,47.67,0.43,1.52,38.5,18.9
EURAUD,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-12,374,47.59,0.428,1.52,38.5,18.82
EURAUD,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-13,417,47.48,0.424,1.51,38.5,18.71
EURAUD,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-12,418,46.89,0.407,1.51,38.5,18.12
EURAUD,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-12,408,46.57,0.397,1.48,38.5,17.8
EURAUD,RSI-gated,f_candle|f_ema,15,-,0.9,NY07-16,567,44.97,0.349,1.42,38.5,16.2
EURAUD,RSI-gated,f_candle|f_ema,15,-,0.0,NY07-16,710,43.94,0.318,1.39,30.8,11.33
EURAUD,RSI-gated,f_candle|f_ema,10,-,0.9,NY07-16,515,44.85,0.346,1.41,23.1,8.39
EURAUD,OR,f_candle|f_ema,10,1,0.9,NY08-13,1481,44.63,0.339,1.4,23.1,8.17
EURAUD,OR,f_candle|f_ema,10,1,0.9,NY08-12,1395,44.3,0.329,1.39,23.1,7.84
EURAUD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-13,1604,44.26,0.328,1.41,23.1,7.8
EURAUD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-12,1509,44.07,0.322,1.4,23.1,7.61
EURAUD,RSI-gated,f_candle|f_ema,10,-,0.0,NY07-16,647,43.28,0.298,1.35,23.1,6.82
EURAUD,OR,f_candle|f_ema,10,1,0.9,NY07-16,1842,43.49,0.305,1.35,7.7,-0.67
EURAUD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY07-16,2005,43.14,0.294,1.34,0.0,-4.86
