symbol,overlay,trades,WR_%,exp_R,PF,q_pass_%,score
EURAUD,{},460,47.17,0.415,1.53,46.2,22.25
EURAUD,{'add_vol_confirm': True},535,45.42,0.363,1.46,38.5,16.65
EURAUD,{'adx_min': 18.0},412,47.09,0.413,1.52,30.8,14.47
EURAUD,"{'adx_min': 18.0, 'add_vol_confirm': True}",488,45.9,0.377,1.48,30.8,13.29
EURAUD,{'require_h1_rsi_align': True},353,51.56,0.547,1.8,15.4,11.25
EURAUD,{'require_macd_align': True},342,46.78,0.404,1.37,23.1,10.32
EURAUD,"{'adx_min': 18.0, 'require_h1_rsi_align': True}",310,51.94,0.558,1.82,7.7,7.78
EURAUD,"{'require_h1_rsi_align': True, 'require_macd_align': True}",268,50.0,0.5,1.55,0.0,2.0
EURAUD,"{'adx_min': 20.0, 'require_h1_rsi_align': True, 'require_macd_align': True}",200,50.0,0.5,1.54,0.0,2.0
EURAUD,{'adx_min': 22.0},323,47.06,0.412,1.49,0.0,-0.94
EURAUD,"{'adx_min': 18.0, 'require_macd_align': True}",295,46.44,0.393,1.33,0.0,-1.56
