entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-04 17:20:00,2023-01-04 18:20:00,S,1.54675,1.54909,1.54909,1.54207,-1.0,sl,-3.34,0.58,-3.92,-3.92
2023-01-04 19:00:00,2023-01-04 20:45:00,S,1.54826,1.55026,1.55026,1.54427,-1.0,sl,-2.85,0.58,-3.43,-7.35
2023-01-04 21:15:00,2023-01-05 01:30:00,S,1.55055,1.55239,1.55239,1.54686,-1.0,sl,-2.63,0.58,-3.21,-10.56
2023-01-09 14:20:00,2023-01-09 15:40:00,S,1.5453,1.54681,1.54681,1.54227,-1.0,sl,-2.16,0.58,-2.74,-13.3
2023-01-09 15:55:00,2023-01-09 16:00:00,S,1.54538,1.54693,1.54693,1.54228,-1.0,sl,-2.21,0.58,-2.79,-16.09
2023-01-09 16:40:00,2023-01-09 19:00:00,S,1.54765,1.54894,1.54894,1.54506,-1.0,sl,-1.84,0.58,-2.42,-18.51
2023-01-19 15:45:00,2023-01-19 15:50:00,L,1.56855,1.56695,1.56695,1.57175,-1.0,sl,-2.28,0.58,-2.86,-21.37
2023-01-19 17:05:00,2023-01-19 17:55:00,L,1.56423,1.56657,1.56306,1.56657,2.0,tp,3.34,0.58,2.76,-18.61
2023-01-19 18:00:00,2023-01-20 02:00:00,L,1.56572,1.56688,1.56312,1.57092,0.446,time,1.65,0.58,1.07,-17.54
2023-01-20 14:10:00,2023-01-20 14:40:00,S,1.56427,1.56223,1.56529,1.56223,2.0,tp,2.91,0.58,2.33,-15.21
2023-01-20 14:45:00,2023-01-20 22:45:00,S,1.56174,1.5569,1.5653,1.55463,1.361,time,6.9,0.58,6.32,-8.89
2023-01-23 16:35:00,2023-01-23 16:45:00,S,1.55736,1.55527,1.5584,1.55527,2.0,tp,2.98,0.58,2.4,-6.49
2023-01-23 16:50:00,2023-01-23 17:50:00,S,1.55549,1.54965,1.55841,1.54965,2.0,tp,8.32,0.58,7.74,1.25
