entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2026-02-18 16:20:00,2026-02-18 17:05:00,S,1.67449,1.67133,1.67607,1.67133,2.0,tp,4.5,0.58,3.92,3.92
2026-02-20 15:20:00,2026-02-20 17:00:00,S,1.66926,1.66567,1.67105,1.66567,2.0,tp,5.11,0.58,4.53,8.45
2026-02-24 17:05:00,2026-02-24 18:10:00,S,1.67271,1.66795,1.67509,1.66795,2.0,tp,6.78,0.58,6.2,14.65
2026-02-27 16:15:00,2026-03-02 00:00:00,S,1.66062,1.66403,1.66403,1.65379,-1.0,sl,-4.87,0.58,-5.45,9.2
2026-03-03 16:00:00,2026-03-03 16:40:00,S,1.65296,1.65664,1.65664,1.6456,-1.0,sl,-5.25,0.58,-5.83,3.37
2026-03-05 17:00:00,2026-03-05 18:00:00,S,1.6487,1.65254,1.65254,1.64103,-1.0,sl,-5.47,0.58,-6.05,-2.68
2026-03-16 18:00:00,2026-03-16 18:20:00,S,1.6281,1.62874,1.62874,1.62681,-1.0,sl,-0.92,0.58,-1.5,-4.18
2026-03-16 19:20:00,2026-03-16 23:05:00,S,1.6285,1.62606,1.62972,1.62606,2.0,tp,3.47,0.58,2.89,-1.29
2026-03-17 17:20:00,2026-03-17 17:20:00,S,1.62453,1.62527,1.62527,1.62305,-1.0,sl,-1.05,0.58,-1.63,-2.92
2026-03-17 17:45:00,2026-03-17 18:05:00,S,1.62496,1.62276,1.62606,1.62276,2.0,tp,3.13,0.58,2.55,-0.37
2026-03-17 18:10:00,2026-03-18 02:10:00,S,1.6227,1.62291,1.62606,1.61598,-0.062,time,-0.3,0.58,-0.88,-1.25
2026-03-23 16:35:00,2026-03-23 17:25:00,L,1.64882,1.65314,1.64666,1.65314,2.0,tp,6.17,0.58,5.59,4.34
2026-03-25 15:35:00,2026-03-25 15:55:00,L,1.66391,1.66559,1.66307,1.66559,2.0,tp,2.4,0.58,1.82,6.16
2026-03-25 16:00:00,2026-03-25 16:25:00,L,1.66555,1.66305,1.66305,1.67056,-1.0,sl,-3.57,0.58,-4.15,2.01
2026-03-30 15:20:00,2026-03-30 15:25:00,L,1.67358,1.67316,1.67316,1.67442,-1.0,sl,-0.6,0.58,-1.18,0.83
2026-03-30 16:15:00,2026-03-30 17:55:00,L,1.674,1.67233,1.67233,1.67733,-1.0,sl,-2.38,0.58,-2.96,-2.13
2026-04-08 15:25:00,2026-04-08 19:00:00,S,1.6586,1.65479,1.6605,1.65479,2.0,tp,5.43,0.58,4.85,2.72
2026-04-17 15:05:00,2026-04-17 15:50:00,S,1.64399,1.64096,1.64551,1.64096,2.0,tp,4.33,0.58,3.75,6.47
2026-04-23 15:10:00,2026-04-23 20:05:00,S,1.6346,1.63724,1.63724,1.62933,-1.0,sl,-3.76,0.58,-4.34,2.13
2026-04-28 15:40:00,2026-04-28 16:20:00,S,1.63319,1.63169,1.63394,1.63169,2.0,tp,2.14,0.58,1.56,3.69
2026-05-01 15:05:00,2026-05-01 16:55:00,S,1.63251,1.6306,1.63346,1.6306,2.0,tp,2.72,0.58,2.14,5.83
2026-05-06 15:20:00,2026-05-06 19:15:00,S,1.62398,1.62516,1.62516,1.62162,-1.0,sl,-1.68,0.58,-2.26,3.57
2026-05-07 15:55:00,2026-05-07 16:00:00,S,1.62281,1.62352,1.62352,1.6214,-1.0,sl,-1.01,0.58,-1.59,1.98
2026-05-07 16:15:00,2026-05-07 17:40:00,S,1.62403,1.62252,1.62479,1.62252,2.0,tp,2.15,0.58,1.57,3.55
