entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-04 17:20:00,2023-01-04 18:20:00,S,1.54675,1.54909,1.54909,1.54207,-1.0,sl,-3.34,0.58,-3.92,-3.92
2023-01-04 19:00:00,2023-01-04 20:45:00,S,1.54826,1.55026,1.55026,1.54427,-1.0,sl,-2.85,0.58,-3.43,-7.35
2023-01-09 15:05:00,2023-01-09 15:40:00,S,1.54416,1.54681,1.54681,1.53887,-1.0,sl,-3.77,0.58,-4.35,-11.7
2023-01-09 15:55:00,2023-01-09 16:00:00,S,1.54538,1.54693,1.54693,1.54228,-1.0,sl,-2.21,0.58,-2.79,-14.49
2023-01-09 16:40:00,2023-01-09 19:00:00,S,1.54765,1.54894,1.54894,1.54506,-1.0,sl,-1.84,0.58,-2.42,-16.91
2023-01-19 15:45:00,2023-01-19 15:50:00,L,1.56855,1.56695,1.56695,1.57175,-1.0,sl,-2.28,0.58,-2.86,-19.77
2023-01-19 16:35:00,2023-01-19 16:55:00,L,1.56497,1.56391,1.56391,1.5671,-1.0,sl,-1.52,0.58,-2.1,-21.87
2023-01-19 17:05:00,2023-01-19 17:55:00,L,1.56423,1.56657,1.56306,1.56657,2.0,tp,3.34,0.58,2.76,-19.11
2023-01-19 18:00:00,2023-01-20 02:00:00,L,1.56572,1.56688,1.56312,1.57092,0.446,time,1.65,0.58,1.07,-18.04
2023-01-23 16:50:00,2023-01-23 17:50:00,S,1.55549,1.54965,1.55841,1.54965,2.0,tp,8.32,0.58,7.74,-10.3
2023-01-25 15:30:00,2023-01-25 15:30:00,S,1.53678,1.53766,1.53766,1.53502,-1.0,sl,-1.25,0.58,-1.83,-12.13
2023-01-25 17:55:00,2023-01-26 00:00:00,S,1.54034,1.53539,1.54282,1.53539,2.0,tp,7.06,0.58,6.48,-5.65
2023-01-26 18:15:00,2023-01-26 18:35:00,S,1.53287,1.53149,1.53356,1.53149,2.0,tp,1.97,0.58,1.39,-4.26
