exit_time,net_$,cum_net_$,equity_$,drawdown_%
2025-01-22 15:45:00,1.53,1.53,1001.53,0.0
2025-01-22 16:15:00,-2.07,-0.54,999.46,-0.21
2025-01-22 18:55:00,-2.35,-2.89,997.11,-0.44
2025-01-23 16:35:00,-2.16,-5.05,994.95,-0.66
2025-01-24 15:05:00,-1.41,-6.46,993.54,-0.8
2025-01-24 17:00:00,5.01,-1.45,998.55,-0.3
2025-01-27 02:00:00,-2.18,-3.63,996.37,-0.52
2025-01-27 16:20:00,3.74,0.11,1000.11,-0.14
2025-01-27 19:10:00,-4.67,-4.56,995.44,-0.61
2025-01-30 01:05:00,0.1,-4.46,995.54,-0.6
2025-01-30 15:45:00,3.82,-0.64,999.36,-0.22
2025-01-30 17:00:00,1.98,1.34,1001.34,-0.02
2025-01-30 18:40:00,-2.75,-1.41,998.59,-0.29
2025-01-31 15:30:00,-2.41,-3.82,996.18,-0.53
2025-01-31 16:10:00,2.74,-1.08,998.92,-0.26
2025-01-31 17:35:00,-6.24,-7.32,992.68,-0.88
2025-01-31 19:05:00,-3.58,-10.9,989.1,-1.24
2025-02-04 18:15:00,4.41,-6.49,993.51,-0.8
2025-02-04 20:10:00,-4.55,-11.04,988.96,-1.26
2025-02-05 16:50:00,-2.26,-13.3,986.7,-1.48
2025-02-05 20:50:00,-3.5,-16.8,983.2,-1.83
2025-02-06 18:05:00,2.77,-14.03,985.97,-1.55
2025-02-06 20:35:00,-3.75,-17.78,982.22,-1.93
2025-02-07 15:25:00,2.33,-15.45,984.55,-1.7
2025-02-07 23:35:00,9.34,-6.11,993.89,-0.76
2025-02-10 15:30:00,-1.84,-7.95,992.05,-0.95
2025-02-10 16:25:00,3.23,-4.72,995.28,-0.62
2025-02-11 00:50:00,2.3,-2.42,997.58,-0.39
2025-02-11 15:25:00,1.65,-0.77,999.23,-0.23
2025-02-11 17:00:00,-3.3,-4.07,995.93,-0.56
2025-02-13 21:25:00,-3.89,-7.96,992.04,-0.95
2025-02-18 19:20:00,2.66,-5.3,994.7,-0.68
2025-02-19 15:20:00,1.38,-3.92,996.08,-0.54
2025-02-19 17:35:00,-3.15,-7.07,992.93,-0.86
2025-02-19 18:15:00,1.46,-5.61,994.39,-0.71
2025-02-19 20:25:00,-3.75,-9.36,990.64,-1.09
2025-02-20 16:40:00,0.68,-8.68,991.32,-1.02
2025-02-20 17:25:00,-1.72,-10.4,989.6,-1.19
2025-02-21 16:05:00,-1.64,-12.04,987.96,-1.35
2025-02-21 19:55:00,-2.43,-14.47,985.53,-1.6
2025-02-24 16:55:00,2.37,-12.1,987.9,-1.36
2025-02-25 01:05:00,3.77,-8.33,991.67,-0.98
2025-02-25 17:20:00,5.1,-3.23,996.77,-0.48
2025-02-25 23:00:00,6.78,3.55,1003.55,0.0
2025-02-26 17:10:00,-2.66,0.89,1000.89,-0.27
2025-02-26 17:55:00,4.1,4.99,1004.99,0.0
2025-02-26 19:25:00,-2.91,2.08,1002.08,-0.29
2025-02-27 15:40:00,-3.5,-1.42,998.58,-0.64
2025-02-27 16:00:00,-5.5,-6.92,993.08,-1.19
2025-02-27 17:10:00,-4.1,-11.02,988.98,-1.59
2025-02-28 17:00:00,4.11,-6.91,993.09,-1.18
2025-03-03 01:05:00,5.59,-1.32,998.68,-0.63
2025-03-03 15:15:00,-2.19,-3.51,996.49,-0.85
2025-03-03 17:00:00,3.52,0.01,1000.01,-0.5
2025-03-03 22:00:00,10.54,10.55,1010.55,0.0
2025-03-04 18:20:00,7.89,18.44,1018.44,0.0
2025-03-04 20:25:00,10.35,28.79,1028.79,0.0
2025-03-05 16:30:00,5.82,34.61,1034.61,0.0
2025-03-06 00:40:00,0.6,35.21,1035.21,0.0
2025-03-06 15:10:00,-1.53,33.68,1033.68,-0.15
2025-03-06 17:05:00,-6.97,26.71,1026.71,-0.82
2025-03-07 19:05:00,10.17,36.88,1036.88,0.0
2025-03-10 17:15:00,-3.44,33.44,1033.44,-0.33
2025-03-10 19:45:00,4.37,37.81,1037.81,0.0
2025-03-11 16:00:00,10.34,48.15,1048.15,0.0
2025-03-11 21:10:00,-11.12,37.03,1037.03,-1.06
2025-03-12 18:30:00,-3.97,33.06,1033.06,-1.44
2025-03-13 18:15:00,1.88,34.94,1034.94,-1.26
2025-03-14 02:20:00,2.05,36.99,1036.99,-1.06
2025-03-18 18:40:00,5.75,42.74,1042.74,-0.52
2025-03-27 15:35:00,4.24,46.98,1046.98,-0.11
2025-03-28 00:05:00,1.64,48.62,1048.62,0.0
2025-03-28 16:30:00,8.27,56.89,1056.89,0.0
2025-03-31 01:55:00,-1.22,55.67,1055.67,-0.12
2025-03-31 16:50:00,3.42,59.09,1059.09,0.0
2025-03-31 17:00:00,-2.06,57.03,1057.03,-0.19
2025-03-31 17:20:00,-1.93,55.1,1055.1,-0.38
2025-03-31 19:25:00,-4.03,51.07,1051.07,-0.76
2025-04-02 15:30:00,2.13,53.2,1053.2,-0.56
2025-04-02 16:50:00,3.5,56.7,1056.7,-0.23
2025-04-02 23:15:00,8.14,64.84,1064.84,0.0
2025-04-03 16:30:00,-6.9,57.94,1057.94,-0.65
2025-04-03 16:55:00,-2.25,55.69,1055.69,-0.86
2025-04-03 18:15:00,-6.13,49.56,1049.56,-1.43
2025-04-04 17:35:00,-10.24,39.32,1039.32,-2.4
2025-04-04 19:35:00,-5.09,34.23,1034.23,-2.87
2025-04-07 16:55:00,-9.69,24.54,1024.54,-3.78
2025-04-09 16:35:00,-3.15,21.39,1021.39,-4.08
2025-04-09 20:00:00,-5.8,15.59,1015.59,-4.63
2025-04-10 17:55:00,5.07,20.66,1020.66,-4.15
2025-04-11 02:00:00,1.31,21.97,1021.97,-4.03
2025-04-11 15:55:00,8.68,30.65,1030.65,-3.21
2025-04-11 19:35:00,-14.25,16.4,1016.4,-4.55
2025-04-15 01:15:00,2.59,18.99,1018.99,-4.31
2025-04-15 18:00:00,8.01,27.0,1027.0,-3.55
2025-04-15 18:55:00,-3.0,24.0,1024.0,-3.84
2025-04-16 15:30:00,-1.55,22.45,1022.45,-3.98
2025-04-16 15:50:00,-3.15,19.3,1019.3,-4.28
2025-04-16 18:25:00,-6.02,13.28,1013.28,-4.84
2025-04-16 18:45:00,1.9,15.18,1015.18,-4.66
2025-04-17 02:55:00,-1.1,14.08,1014.08,-4.77
2025-04-18 23:05:00,-1.03,13.05,1013.05,-4.86
2025-04-21 16:15:00,-4.58,8.47,1008.47,-5.29
2025-04-21 16:55:00,-1.44,7.03,1007.03,-5.43
2025-04-21 17:20:00,-2.08,4.95,1004.95,-5.62
2025-04-21 18:15:00,-2.44,2.51,1002.51,-5.85
2025-04-21 19:55:00,6.25,8.76,1008.76,-5.27
2025-04-24 15:20:00,-1.95,6.81,1006.81,-5.45
2025-04-24 17:45:00,3.78,10.59,1010.59,-5.09
2025-04-25 01:55:00,-0.34,10.25,1010.25,-5.13
2025-04-28 01:10:00,-1.25,9.0,1009.0,-5.24
2025-04-28 19:55:00,6.91,15.91,1015.91,-4.6
2025-04-29 16:00:00,4.39,20.3,1020.3,-4.18
2025-04-29 20:55:00,-3.15,17.15,1017.15,-4.48
2025-05-02 16:50:00,4.43,21.58,1021.58,-4.06
2025-05-05 15:45:00,2.65,24.23,1024.23,-3.81
2025-05-05 18:25:00,-4.71,19.52,1019.52,-4.26
2025-05-06 18:45:00,-3.17,16.35,1016.35,-4.55
2025-05-07 16:40:00,-1.75,14.6,1014.6,-4.72
2025-05-07 18:15:00,-3.13,11.47,1011.47,-5.01
2025-05-08 17:25:00,-5.09,6.38,1006.38,-5.49
2025-05-08 18:00:00,-3.26,3.12,1003.12,-5.8
2025-05-09 16:25:00,2.64,5.76,1005.76,-5.55
2025-05-12 00:00:00,-5.07,0.69,1000.69,-6.02
