symbol,quarter,trades,wins,WR_%,exp_R,PF,pass
EURCAD,2023Q1,75,41,54.67,0.463,2.31,True
EURCAD,2023Q2,71,43,60.56,0.437,2.2,True
EURCAD,2023Q3,87,47,54.02,0.334,1.81,True
EURCAD,2023Q4,73,37,50.68,0.416,2.07,True
EURCAD,2024Q1,77,43,55.84,0.265,1.65,True
EURCAD,2024Q2,78,42,53.85,0.312,1.7,True
EURCAD,2024Q3,77,39,50.65,0.212,1.46,True
EURCAD,2024Q4,79,42,53.16,0.363,1.86,True
EURCAD,2025Q1,76,34,44.74,0.266,1.56,False
EURCAD,2025Q2,76,33,43.42,0.132,1.26,False
EURCAD,2025Q3,74,36,48.65,0.168,1.37,True
EURCAD,2025Q4,75,38,50.67,0.305,1.7,True
EURCAD,2026Q1,39,21,53.85,0.347,1.87,True
