symbol,mode,confirms,memory,min_r,atr_min,session,trades,WR_%,exp_R,PF,q_pass_%,score
EURCAD,OR,f_candle|f_ema,10,1,0.9,NY08-12,484,46.69,0.401,1.54,60.0,28.69
EURCAD,OR,f_candle|f_ema,10,1,0.9,NY08-13,524,46.18,0.385,1.51,60.0,28.18
EURCAD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-12,514,46.5,0.395,1.53,40.0,18.5
EURCAD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-13,560,45.89,0.377,1.5,40.0,17.89
EURCAD,OR,f_candle|f_ema,10,1,0.9,NY07-16,733,44.61,0.338,1.42,40.0,16.61
EURCAD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY07-16,778,44.22,0.326,1.4,40.0,16.22
EURCAD,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-13,146,43.15,0.295,1.38,20.0,5.15
EURCAD,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-13,148,42.57,0.277,1.35,20.0,4.57
EURCAD,RSI-gated,f_candle|f_ema,15,-,0.0,NY07-16,261,40.23,0.207,1.2,20.0,2.23
EURCAD,RSI-gated,f_candle|f_ema,10,-,0.0,NY07-16,240,40.0,0.2,1.21,20.0,2.0
EURCAD,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-12,134,44.03,0.321,1.42,0.0,-3.97
EURCAD,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-12,134,44.03,0.321,1.42,0.0,-3.97
EURCAD,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-13,130,43.85,0.315,1.42,0.0,-4.15
EURCAD,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-13,132,43.18,0.295,1.38,0.0,-4.82
EURCAD,RSI-gated,f_candle|f_ema,10,-,0.9,NY07-16,213,39.91,0.197,1.22,0.0,-8.09
EURCAD,RSI-gated,f_candle|f_ema,15,-,0.9,NY07-16,231,39.83,0.195,1.19,0.0,-8.17
EURCAD,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-12,119,44.54,0.336,1.44,0.0,-13.46
EURCAD,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-12,119,44.54,0.336,1.44,0.0,-13.46
