symbol,overlay,trades,WR_%,exp_R,PF,q_pass_%,score
EURCAD,"{'require_h1_rsi_align': True, 'require_macd_align': True}",957,51.83,0.555,1.72,84.6,46.14
EURCAD,{'require_h1_rsi_align': True},1339,51.61,0.548,1.85,84.6,45.91
EURCAD,"{'adx_min': 20.0, 'require_h1_rsi_align': True, 'require_macd_align': True}",723,51.59,0.548,1.62,76.9,42.05
EURCAD,"{'adx_min': 18.0, 'require_h1_rsi_align': True}",1155,50.91,0.527,1.74,76.9,41.37
EURCAD,{'require_macd_align': True},1059,48.54,0.456,1.5,69.2,35.15
EURCAD,{'add_vol_confirm': True},1665,48.53,0.456,1.65,69.2,35.14
EURCAD,"{'adx_min': 18.0, 'require_macd_align': True}",891,48.82,0.465,1.48,61.5,31.59
EURCAD,"{'adx_min': 18.0, 'add_vol_confirm': True}",1425,48.63,0.459,1.61,61.5,31.4
EURCAD,{'adx_min': 22.0},1070,46.92,0.407,1.49,53.8,25.84
EURCAD,{},1515,48.05,0.442,1.6,46.2,23.13
EURCAD,{'adx_min': 18.0},1301,47.58,0.427,1.54,38.5,18.81
